peromyscus_maniculatus ENSPEMG00000000171
microtus_ochrogaster ENSMOCG00000001554
cricetulus_griseus ENSCGRG00015020229
cricetulus_griseus ENSCGRG00000018699
mus_spretus MGP_SPRETEiJ_G0034533
mus_spicilegus ENSMSIG00000001603
mus_musculus ENSMUSG00000034732
mus_caroli MGP_CAROLIEiJ_G0033367
mus_pahari MGP_PahariEiJ_G0031908
rattus_norvegicus ENSRNOG00000003354
nannospalax_galili ENSNGAG00000004371
jaculus_jaculus ENSJJAG00000011960
cavia_aperea ENSCAPG00000010714
cavia_porcellus ENSCPOG00000002555
chinchilla_lanigera ENSCLAG00000000647
fukomys_damarensis ENSFDAG00000000126
spermophilus_dauricus ENSSDAG00000018781
marmota_marmota ENSMMMG00000003448
urocitellus_parryii ENSUPAG00010021879
oryctolagus_cuniculus ENSOCUG00000010919
ochotona_princeps ENSOPRG00000000856
tupaia_belangeri ENSTBEG00000016482
homo_sapiens ENSG00000174740
gorilla_gorilla ENSGGOG00000007622
pan_troglodytes ENSPTRG00000022078
pan_paniscus ENSPPAG00000007378
pongo_abelii ENSPPYG00000020526
nomascus_leucogenys ENSNLEG00000035086
macaca_nemestrina ENSMNEG00000037604
macaca_fascicularis ENSMFAG00000024561
theropithecus_gelada ENSTGEG00000025724
papio_anubis ENSPANG00000018282
cercocebus_atys ENSCATG00000043083
mandrillus_leucophaeus ENSMLEG00000028318
chlorocebus_sabaeus ENSCSAG00000000065
piliocolobus_tephrosceles ENSPTEG00000013021
colobus_angolensis ENSCANG00000011473
rhinopithecus_roxellana ENSRROG00000036708
rhinopithecus_bieti ENSRBIG00000011760
callithrix_jacchus ENSCJAG00000003665
cebus_capucinus ENSCCAG00000032154
saimiri_boliviensis ENSSBOG00000008658
aotus_nancymaae ENSANAG00000005063
carlito_syrichta ENSTSYG00000036351
propithecus_coquereli ENSPCOG00000000676
microcebus_murinus ENSMICG00000041706
prolemur_simus ENSPSMG00000023050
otolemur_garnettii ENSOGAG00000006882
pteropus_vampyrus ENSPVAG00000006465
myotis_lucifugus ENSMLUG00000008244
sorex_araneus ENSSARG00000014012
vicugna_pacos ENSVPAG00000001063
sus_scrofa ENSSSCG00000040194
ovis_aries ENSOARG00000010260
capra_hircus ENSCHIG00000019004
bos_indicus ENSBIXG00005006433
bos_taurus ENSBTAG00000019942
bos_mutus ENSBMUG00000010418
bison_bison ENSBBBG00000019566
equus_caballus ENSECAG00000003452
equus_asinus ENSEASG00005014396
ursus_americanus ENSUAMG00000013627
ursus_maritimus ENSUMAG00000023934
ailuropoda_melanoleuca ENSAMEG00000020114
neovison_vison ENSNVIG00000014257
mustela_putorius ENSMPUG00000018465
vulpes_vulpes ENSVVUG00000013172
panthera_pardus ENSPPRG00000010742
panthera_tigris ENSPTIG00000001480
procavia_capensis ENSPCAG00000015577
echinops_telfairi ENSETEG00000011832
