notechis_scutatus ENSNSUG00000002923
pogona_vitticeps ENSPVIG00000004477
salvator_merianae ENSSMRG00000022261
anolis_carolinensis ENSACAG00000000079
manacus_vitellinus ENSMVIG00005012243
cyanistes_caeruleus ENSCCEG00000009059
ficedula_albicollis ENSFALG00000010364
taeniopygia_guttata ENSTGUG00000008599
serinus_canaria ENSSCAG00000008045
lonchura_striata_domestica ENSLSDG00000011125
parus_major ENSPMJG00000009666
calidris_pugnax ENSCPUG00000018801
melopsittacus_undulatus ENSMUNG00000006393
zonotrichia_albicollis ENSZALG00000005709
junco_hyemalis ENSJHYG00000012919
chelonoidis_abingdonii ENSCABG00000020914
gopherus_agassizii ENSGAGG00000019274
chrysemys_picta_bellii ENSCPBG00000019514
pelodiscus_sinensis ENSPSIG00000017164
crocodylus_porosus ENSCPRG00005017631
gallus_gallus ENSGALG00000007000
coturnix_japonica ENSCJPG00005020621
numida_meleagris ENSNMEG00000023112
anser_brachyrhynchus ENSABRG00000010079
anas_platyrhynchos_platyrhynchos ENSAPLG00000025793
nothoprocta_perdicaria ENSNPEG00000007951
anas_platyrhynchos_platyrhynchos ENSAPLG00000010629
calidris_pygmaea ENSCPGG00000013473
lepidothrix_coronata ENSLCOG00000014467
latimeria_chalumnae ENSLACG00000008783
phascolarctos_cinereus ENSPCIG00000024170
notamacropus_eugenii ENSMEUG00000000528
sarcophilus_harrisii ENSSHAG00000017631
monodelphis_domestica ENSMODG00000012819
ornithorhynchus_anatinus ENSOANG00000009426
xenopus_tropicalis ENSXETG00000022346
sphenodon_punctatus ENSSPUG00000011649
periophthalmus_magnuspinnatus ENSPMGG00000020184
hippocampus_comes ENSHCOG00000004685
scophthalmus_maximus ENSSMAG00000011598
cynoglossus_semilaevis ENSCSEG00000015540
mola_mola ENSMMOG00000015724
takifugu_rubripes ENSTRUG00000007882
labrus_bergylta ENSLBEG00000001163
gasterosteus_aculeatus ENSGACG00000014846
mastacembelus_armatus ENSMAMG00000008221
monopterus_albus ENSMALG00000000582
seriola_dumerili ENSSDUG00000010226
seriola_lalandi_dorsalis ENSSLDG00000014938
anabas_testudineus ENSATEG00000006753
amphiprion_percula ENSAPEG00000000960
amphiprion_ocellaris ENSAOCG00000023004
acanthochromis_polyacanthus ENSAPOG00000020150
stegastes_partitus ENSSPAG00000011463
astatotilapia_calliptera ENSACLG00000020698
maylandia_zebra ENSMZEG00005004792
haplochromis_burtoni ENSHBUG00000019423
pundamilia_nyererei ENSPNYG00000007457
neolamprologus_brichardi ENSNBRG00000005513
oreochromis_niloticus ENSONIG00000003070
amphilophus_citrinellus ENSACIG00000007601
poecilia_mexicana ENSPMEG00000021269
poecilia_mexicana ENSPMEG00000018411
poecilia_formosa ENSPFOG00000018113
poecilia_formosa ENSPFOG00000018110
poecilia_latipinna ENSPLAG00000023042
