hucho_hucho ENSHHUG00000015035
seriola_lalandi ENSSLDG00000007538
latimeria_chalumnae ENSLACG00000005458
ailuropoda_melanoleuca ENSAMEG00000003723
canis_lupus ENSCAFG00000019078
nannospalax_galili ENSNGAG00000016301
choloepus_hoffmanni ENSCHOG00000011412
echinops_telfairi ENSETEG00000017855
ornithorhynchus_anatinus ENSOANG00000012101
taeniopygia_guttata ENSTGUG00000016122
manacus_vitellinus ENSMVIG00005004699
latimeria_chalumnae ENSLACG00000006498
poecilia_formosa ENSPFOG00000010359
poecilia_latipinna ENSPLAG00000019053
poecilia_mexicana ENSPMEG00000022027
poecilia_reticulata ENSPREG00000009933
xiphophorus_maculatus ENSXMAG00000003982
xiphophorus_couchianus ENSXCOG00000017709
cyprinodon_variegatus ENSCVAG00000018857
oryzias_latipes ENSORLG00000004701
oryzias_latipes ENSORLG00020009286
gouania_willdenowi ENSGWIG00000006607
mastacembelus_armatus ENSMAMG00000018285
monopterus_albus ENSMALG00000017435
anabas_testudineus ENSATEG00000022265
seriola_lalandi ENSSLDG00000011004
seriola_dumerili ENSSDUG00000011489
amphiprion_ocellaris ENSAOCG00000023606
amphiprion_percula ENSAPEG00000009380
acanthochromis_polyacanthus ENSAPOG00000002488
stegastes_partitus ENSSPAG00000022266
parambassis_ranga ENSPRNG00000011338
pundamilia_nyererei ENSPNYG00000016745
astatotilapia_calliptera ENSACLG00000005845
maylandia_zebra ENSMZEG00005007819
haplochromis_burtoni ENSHBUG00000017172
oreochromis_niloticus ENSONIG00000013150
gasterosteus_aculeatus ENSGACG00000010966
cottoperca_gobio ENSCGOG00000023496
labrus_bergylta ENSLBEG00000021281
esox_lucius ENSELUG00000021395
clupea_harengus ENSCHAG00000004865
lepisosteus_oculatus ENSLOCG00000006137
callorhinchus_milii ENSCMIG00000010013
eptatretus_burgeri ENSEBUG00000005906
