xiphophorus_couchianus ENSXCOG00000003691
xiphophorus_maculatus ENSXMAG00000028895
fundulus_heteroclitus ENSFHEG00000022525
kryptolebias_marmoratus ENSKMAG00000005679
astatotilapia_calliptera ENSACLG00000006239
gouania_willdenowi ENSGWIG00000003469
parambassis_ranga ENSPRNG00000014068
mastacembelus_armatus ENSMAMG00000001917
anabas_testudineus ENSATEG00000001569
seriola_dumerili ENSSDUG00000003652
seriola_lalandi ENSSLDG00000012917
lates_calcarifer ENSLCAG00010022015
scophthalmus_maximus ENSSMAG00000003768
cottoperca_gobio ENSCGOG00000024262
gasterosteus_aculeatus ENSGACG00000000850
larimichthys_crocea ENSLCRG00005008405
gadus_morhua ENSGMOG00000007505
electrophorus_electricus ENSEEEG00000016799
astyanax_mexicanus ENSAMXG00000040312
paramormyrops_kingsleyae ENSPKIG00000007433
scleropages_formosus ENSSFOG00015022814
erpetoichthys_calabaricus ENSECRG00000010752
latimeria_chalumnae ENSLACG00000004080
chelonoidis_abingdonii ENSCABG00000002417
