cavia_aperea ENSCAPG00000007406
octodon_degus ENSODEG00000014116
heterocephalus_glaber_female ENSHGLG00000013034
urocitellus_parryii ENSUPAG00010003557
marmota_marmota_marmota ENSMMMG00000005155
ictidomys_tridecemlineatus ENSSTOG00000023461
spermophilus_dauricus ENSSDAG00000004348
castor_canadensis ENSCCNG00000021638
dipodomys_ordii ENSDORG00000027584
cricetulus_griseus_crigri ENSCGRG00000007663
cricetulus_griseus_chok1gshd ENSCGRG00001019940
mesocricetus_auratus ENSMAUG00000021043
microtus_ochrogaster ENSMOCG00000012326
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019623
mus_musculus ENSMUSG00000093668
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018740
mus_pahari MGP_PahariEiJ_G0015819
rattus_norvegicus ENSRNOG00000062285
meriones_unguiculatus ENSMUGG00000006833
nannospalax_galili ENSNGAG00000000553
homo_sapiens ENSG00000248483
pan_paniscus ENSPPAG00000014596
chlorocebus_sabaeus ENSCSAG00000019424
callithrix_jacchus ENSCJAG00000010488
carlito_syrichta ENSTSYG00000029048
mustela_putorius_furo ENSMPUG00000018493
neovison_vison ENSNVIG00000005807
sus_scrofa ENSSSCG00000036467
equus_asinus_asinus ENSEASG00005019515
equus_caballus ENSECAG00000035271
