taeniopygia_guttata ENSTGUG00000007503
meleagris_gallopavo ENSMGAG00000003137
ornithorhynchus_anatinus ENSOANG00000030067
chrysemys_picta_bellii ENSCPBG00000023415
chelonoidis_abingdonii ENSCABG00000007800
pelodiscus_sinensis ENSPSIG00000014455
crocodylus_porosus ENSCPRG00005011042
apteryx_haastii ENSAHAG00000003277
apteryx_owenii ENSAOWG00000003274
apteryx_rowi ENSARWG00000006321
dromaius_novaehollandiae ENSDNVG00000001183
nothoprocta_perdicaria ENSNPEG00000005438
calidris_pygmaea ENSCPGG00000006854
calidris_pugnax ENSCPUG00000005054
melopsittacus_undulatus ENSMUNG00000001327
gallus_gallus ENSGALG00000053640
coturnix_japonica ENSCJPG00005015826
numida_meleagris ENSNMEG00000012070
anser_brachyrhynchus ENSABRG00000011534
anas_platyrhynchos_platyrhynchos ENSAPLG00000027566
sphenodon_punctatus ENSSPUG00000004147
pogona_vitticeps ENSPVIG00000017626
notechis_scutatus ENSNSUG00000000491
salvator_merianae ENSSMRG00000022704
phascolarctos_cinereus ENSPCIG00000031294
phascolarctos_cinereus ENSPCIG00000013803
notamacropus_eugenii ENSMEUG00000015029
sarcophilus_harrisii ENSSHAG00000009367
monodelphis_domestica ENSMODG00000006238
loxodonta_africana ENSLAFG00000002458
procavia_capensis ENSPCAG00000007544
pteropus_vampyrus ENSPVAG00000014056
myotis_lucifugus ENSMLUG00000002194
sorex_araneus ENSSARG00000010285
equus_caballus ENSECAG00000040045
equus_caballus ENSECAG00000011343
equus_asinus_asinus ENSEASG00005002557
ursus_americanus ENSUAMG00000021859
ursus_americanus ENSUAMG00000021858
ursus_maritimus ENSUMAG00000004065
ailuropoda_melanoleuca ENSAMEG00000009853
neovison_vison ENSNVIG00000020871
mustela_putorius_furo ENSMPUG00000001160
canis_lupus_dingo ENSCAFG00020027464
canis_lupus_dingo ENSCAFG00020027463
canis_lupus_familiaris ENSCAFG00000005142
vulpes_vulpes ENSVVUG00000012086
panthera_pardus ENSPPRG00000010040
panthera_tigris_altaica ENSPTIG00000019328
felis_catus ENSFCAG00000006484
bos_mutus ENSBMUG00000003030
bos_taurus ENSBTAG00000008908
bison_bison_bison ENSBBBG00000022655
capra_hircus ENSCHIG00000008882
ovis_aries ENSOARG00000005257
tursiops_truncatus ENSTTRG00000011345
sus_scrofa ENSSSCG00000007117
dipodomys_ordii ENSDORG00000011855
castor_canadensis ENSCCNG00000008601
cricetulus_griseus_crigri ENSCGRG00000012721
cricetulus_griseus_chok1gshd ENSCGRG00001003944
cricetulus_griseus_crigri-picr ENSCGRG00015005527
mesocricetus_auratus ENSMAUG00000019656
microtus_ochrogaster ENSMOCG00000017816
peromyscus_maniculatus_bairdii ENSPEMG00000011285
mus_spicilegus ENSMSIG00000003080
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025327
mus_musculus ENSMUSG00000027439
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024409
mus_pahari MGP_PahariEiJ_G0025852
rattus_norvegicus ENSRNOG00000004735
meriones_unguiculatus ENSMUGG00000020459
nannospalax_galili ENSNGAG00000024012
jaculus_jaculus ENSJJAG00000008172
urocitellus_parryii ENSUPAG00010009780
ictidomys_tridecemlineatus ENSSTOG00000009820
spermophilus_dauricus ENSSDAG00000016551
marmota_marmota_marmota ENSMMMG00000004407
chinchilla_lanigera ENSCLAG00000014714
octodon_degus ENSODEG00000013020
cavia_aperea ENSCAPG00000002173
cavia_porcellus ENSCPOG00000010790
heterocephalus_glaber_male ENSHGLG00100015117
