chinchilla_lanigera ENSCLAG00000018076
octodon_degus ENSODEG00000005108
cavia_porcellus ENSCPOG00000040405
heterocephalus_glaber_male ENSHGLG00100020786
ictidomys_tridecemlineatus ENSSTOG00000027714
urocitellus_parryii ENSUPAG00010012889
marmota_marmota_marmota ENSMMMG00000009247
mus_musculus ENSMUSG00000074004
mus_spicilegus ENSMSIG00000026629
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031124
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030014
mus_pahari MGP_PahariEiJ_G0013235
rattus_norvegicus ENSRNOG00000014471
meriones_unguiculatus ENSMUGG00000026346
microtus_ochrogaster ENSMOCG00000010357
peromyscus_maniculatus_bairdii ENSPEMG00000016161
cricetulus_griseus_crigri ENSCGRG00000005175
cricetulus_griseus_chok1gshd ENSCGRG00001000647
cricetulus_griseus_crigri-picr ENSCGRG00015012945
mesocricetus_auratus ENSMAUG00000016711
nannospalax_galili ENSNGAG00000014322
castor_canadensis ENSCCNG00000005777
oryctolagus_cuniculus ENSOCUG00000013809
prolemur_simus ENSPSMG00000012738
otolemur_garnettii ENSOGAG00000027236
homo_sapiens ENSG00000198488
gorilla_gorilla ENSGGOG00000000016
pan_troglodytes ENSPTRG00000023606
pan_paniscus ENSPPAG00000004892
pongo_abelii ENSPPYG00000003704
nomascus_leucogenys ENSNLEG00000016789
papio_anubis ENSPANG00000006331
theropithecus_gelada ENSTGEG00000001514
cercocebus_atys ENSCATG00000031669
macaca_fascicularis ENSMFAG00000044198
macaca_mulatta ENSMMUG00000018173
macaca_nemestrina ENSMNEG00000035934
chlorocebus_sabaeus ENSCSAG00000000617
piliocolobus_tephrosceles ENSPTEG00000036049
colobus_angolensis_palliatus ENSCANG00000040625
rhinopithecus_bieti ENSRBIG00000039681
rhinopithecus_roxellana ENSRROG00000033910
callithrix_jacchus ENSCJAG00000048141
saimiri_boliviensis_boliviensis ENSSBOG00000023913
canis_lupus_dingo ENSCAFG00020001446
canis_lupus_familiaris ENSCAFG00000005189
ailuropoda_melanoleuca ENSAMEG00000018928
felis_catus ENSFCAG00000014442
panthera_pardus ENSPPRG00000017917
bos_taurus ENSBTAG00000047129
bos_mutus ENSBMUG00000024020
capra_hircus ENSCHIG00000003265
ovis_aries ENSOARG00000006811
sus_scrofa ENSSSCG00000014874
equus_caballus ENSECAG00000019463
equus_asinus_asinus ENSEASG00005014207
dasypus_novemcinctus ENSDNOG00000030622
loxodonta_africana ENSLAFG00000002020
