oryctolagus_cuniculus ENSOCUG00000011032
ochotona_princeps ENSOPRG00000016514
erinaceus_europaeus ENSEEUG00000014029
ovis_aries ENSOARG00000019322
capra_hircus ENSCHIG00000025543
bison_bison_bison ENSBBBG00000022811
bos_mutus ENSBMUG00000025935
tursiops_truncatus ENSTTRG00000010614
sus_scrofa ENSSSCG00000002028
mustela_putorius_furo ENSMPUG00000006680
neovison_vison ENSNVIG00000021433
ursus_americanus ENSUAMG00000024393
ursus_maritimus ENSUMAG00000014306
ailuropoda_melanoleuca ENSAMEG00000016811
canis_lupus_familiaris ENSCAFG00000011613
canis_lupus_dingo ENSCAFG00020006603
vulpes_vulpes ENSVVUG00000025101
pteropus_vampyrus ENSPVAG00000005166
equus_asinus_asinus ENSEASG00005011759
equus_caballus ENSECAG00000019773
myotis_lucifugus ENSMLUG00000017212
panthera_pardus ENSPPRG00000014733
panthera_tigris_altaica ENSPTIG00000012480
felis_catus ENSFCAG00000009089
sorex_araneus ENSSARG00000000616
cebus_capucinus ENSCCAG00000032505
saimiri_boliviensis_boliviensis ENSSBOG00000027769
callithrix_jacchus ENSCJAG00000007844
aotus_nancymaae ENSANAG00000028216
gorilla_gorilla ENSGGOG00000017125
homo_sapiens ENSG00000166091
pan_troglodytes ENSPTRG00000006172
pan_paniscus ENSPPAG00000018100
pongo_abelii ENSPPYG00000005668
nomascus_leucogenys ENSNLEG00000015036
colobus_angolensis_palliatus ENSCANG00000027759
piliocolobus_tephrosceles ENSPTEG00000017640
rhinopithecus_bieti ENSRBIG00000041910
rhinopithecus_roxellana ENSRROG00000010686
macaca_nemestrina ENSMNEG00000026515
macaca_fascicularis ENSMFAG00000030275
macaca_mulatta ENSMMUG00000014752
cercocebus_atys ENSCATG00000012549
theropithecus_gelada ENSTGEG00000020375
mandrillus_leucophaeus ENSMLEG00000028694
chlorocebus_sabaeus ENSCSAG00000016008
papio_anubis ENSPANG00000022753
carlito_syrichta ENSTSYG00000006244
propithecus_coquereli ENSPCOG00000005147
microcebus_murinus ENSMICG00000010037
prolemur_simus ENSPSMG00000007515
otolemur_garnettii ENSOGAG00000008716
tupaia_belangeri ENSTBEG00000001021
heterocephalus_glaber_male ENSHGLG00100014710
heterocephalus_glaber_female ENSHGLG00000019519
fukomys_damarensis ENSFDAG00000001239
chinchilla_lanigera ENSCLAG00000013030
octodon_degus ENSODEG00000002188
cavia_porcellus ENSCPOG00000007027
cavia_aperea ENSCAPG00000009542
ictidomys_tridecemlineatus ENSSTOG00000002567
urocitellus_parryii ENSUPAG00010010806
spermophilus_dauricus ENSSDAG00000007579
marmota_marmota_marmota ENSMMMG00000013324
peromyscus_maniculatus_bairdii ENSPEMG00000016770
microtus_ochrogaster ENSMOCG00000001040
cricetulus_griseus_crigri-picr ENSCGRG00015019540
cricetulus_griseus_crigri ENSCGRG00000009043
cricetulus_griseus_chok1gshd ENSCGRG00001003452
mesocricetus_auratus ENSMAUG00000020256
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020170
mus_musculus ENSMUSG00000040759
mus_spicilegus ENSMSIG00000017353
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019281
mus_pahari MGP_PahariEiJ_G0030299
rattus_norvegicus ENSRNOG00000016828
meriones_unguiculatus ENSMUGG00000012018
nannospalax_galili ENSNGAG00000012704
jaculus_jaculus ENSJJAG00000015340
castor_canadensis ENSCCNG00000024909
dipodomys_ordii ENSDORG00000013239
bos_taurus ENSBTAG00000032709
dasypus_novemcinctus ENSDNOG00000041659
echinops_telfairi ENSETEG00000019020
procavia_capensis ENSPCAG00000001660
monodelphis_domestica ENSMODG00000004428
phascolarctos_cinereus ENSPCIG00000035211
sarcophilus_harrisii ENSSHAG00000014965
pogona_vitticeps ENSPVIG00000014641
notechis_scutatus ENSNSUG00000014865
salvator_merianae ENSSMRG00000004432
anolis_carolinensis ENSACAG00000022912
xenopus_tropicalis ENSXETG00000032367
