cyprinodon_variegatus ENSCVAG00000016009
fundulus_heteroclitus ENSFHEG00000003530
poecilia_mexicana ENSPMEG00000015512
poecilia_formosa ENSPFOG00000017948
poecilia_latipinna ENSPLAG00000022039
poecilia_reticulata ENSPREG00000007091
xiphophorus_maculatus ENSXMAG00000017362
xiphophorus_couchianus ENSXCOG00000013784
gambusia_affinis ENSGAFG00000016299
kryptolebias_marmoratus ENSKMAG00000012992
oryzias_latipes ENSORLG00000016450
oryzias_latipes_asm223469v1 ENSORLG00015007870
oryzias_latipes ENSORLG00020008676
oryzias_melastigma ENSOMEG00000003411
amphiprion_ocellaris ENSAOCG00000020740
amphiprion_percula ENSAPEG00000021659
acanthochromis_polyacanthus ENSAPOG00000002967
stegastes_partitus ENSSPAG00000003726
pundamilia_nyererei ENSPNYG00000022181
haplochromis_burtoni ENSHBUG00000008609
neolamprologus_brichardi ENSNBRG00000011057
amphilophus_citrinellus ENSACIG00000013710
labrus_bergylta ENSLBEG00000009881
mola_mola ENSMMOG00000007033
gasterosteus_aculeatus ENSGACG00000020044
cynoglossus_semilaevis ENSCSEG00000004687
monopterus_albus ENSMALG00000011901
esox_lucius ENSELUG00000003396
ictalurus_punctatus ENSIPUG00000024121
