capra_hircus ENSCHIG00000024866
ovis_aries ENSOARG00000012815
bos_mutus ENSBMUG00000001658
bos_taurus ENSBTAG00000038650
bison_bison_bison ENSBBBG00000020247
sus_scrofa ENSSSCG00000013102
vicugna_pacos ENSVPAG00000001686
neovison_vison ENSNVIG00000022224
mustela_putorius_furo ENSMPUG00000014514
ursus_maritimus ENSUMAG00000011508
ursus_americanus ENSUAMG00000008637
ailuropoda_melanoleuca ENSAMEG00000000423
canis_lupus_familiaris ENSCAFG00000010370
canis_lupus_dingo ENSCAFG00020007762
canis_lupus_dingo ENSCAFG00020000575
vulpes_vulpes ENSVVUG00000026630
panthera_tigris_altaica ENSPTIG00000018903
panthera_pardus ENSPPRG00000009995
felis_catus ENSFCAG00000007252
myotis_lucifugus ENSMLUG00000016871
pteropus_vampyrus ENSPVAG00000017817
equus_asinus_asinus ENSEASG00005008025
equus_caballus ENSECAG00000017347
sorex_araneus ENSSARG00000003631
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023633
mus_musculus ENSMUSG00000024672
mus_spicilegus ENSMSIG00000030607
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022719
mus_pahari MGP_PahariEiJ_G0014213
rattus_norvegicus ENSRNOG00000020953
meriones_unguiculatus ENSMUGG00000014023
peromyscus_maniculatus_bairdii ENSPEMG00000017311
microtus_ochrogaster ENSMOCG00000013822
cricetulus_griseus_crigri ENSCGRG00000017868
cricetulus_griseus_chok1gshd ENSCGRG00001024882
cricetulus_griseus_crigri-picr ENSCGRG00015007129
mesocricetus_auratus ENSMAUG00000011580
jaculus_jaculus ENSJJAG00000016373
castor_canadensis ENSCCNG00000001402
cavia_porcellus ENSCPOG00000001318
theropithecus_gelada ENSTGEG00000019643
papio_anubis ENSPANG00000002367
mandrillus_leucophaeus ENSMLEG00000028360
cercocebus_atys ENSCATG00000033616
macaca_mulatta ENSMMUG00000040935
macaca_fascicularis ENSMFAG00000042905
macaca_nemestrina ENSMNEG00000031089
chlorocebus_sabaeus ENSCSAG00000006188
piliocolobus_tephrosceles ENSPTEG00000028326
colobus_angolensis_palliatus ENSCANG00000028449
rhinopithecus_roxellana ENSRROG00000029526
rhinopithecus_bieti ENSRBIG00000034602
pan_troglodytes ENSPTRG00000003712
pan_paniscus ENSPPAG00000042495
homo_sapiens ENSG00000166927
gorilla_gorilla ENSGGOG00000001675
pongo_abelii ENSPPYG00000003215
nomascus_leucogenys ENSNLEG00000033069
cebus_capucinus ENSCCAG00000021745
saimiri_boliviensis_boliviensis ENSSBOG00000024416
callithrix_jacchus ENSCJAG00000038663
aotus_nancymaae ENSANAG00000036913
carlito_syrichta ENSTSYG00000012821
propithecus_coquereli ENSPCOG00000016917
microcebus_murinus ENSMICG00000038698
prolemur_simus ENSPSMG00000020632
otolemur_garnettii ENSOGAG00000033921
tupaia_belangeri ENSTBEG00000005448
loxodonta_africana ENSLAFG00000004592
procavia_capensis ENSPCAG00000013590
echinops_telfairi ENSETEG00000006870
dasypus_novemcinctus ENSDNOG00000032200
choloepus_hoffmanni ENSCHOG00000011651
