sphenodon_punctatus ENSSPUG00000000847
pogona_vitticeps ENSPVIG00000010282
gopherus_agassizii ENSGAGG00000008186
chelonoidis_abingdonii ENSCABG00000017713
chrysemys_picta_bellii ENSCPBG00000023405
pelodiscus_sinensis ENSPSIG00000002928
sorex_araneus ENSSARG00000011619
erinaceus_europaeus ENSEEUG00000012808
oryctolagus_cuniculus ENSOCUG00000013908
pteropus_vampyrus ENSPVAG00000016949
myotis_lucifugus ENSMLUG00000008754
equus_asinus_asinus ENSEASG00005004292
equus_caballus ENSECAG00000014996
capra_hircus ENSCHIG00000015445
ovis_aries ENSOARG00000017655
bos_taurus ENSBTAG00000005578
bos_mutus ENSBMUG00000001087
bison_bison_bison ENSBBBG00000024233
sus_scrofa ENSSSCG00000012980
macaca_nemestrina ENSMNEG00000035393
macaca_mulatta ENSMMUG00000019839
macaca_fascicularis ENSMFAG00000001136
cercocebus_atys ENSCATG00000038421
mandrillus_leucophaeus ENSMLEG00000035009
papio_anubis ENSPANG00000021813
theropithecus_gelada ENSTGEG00000008214
chlorocebus_sabaeus ENSCSAG00000007991
colobus_angolensis_palliatus ENSCANG00000040731
piliocolobus_tephrosceles ENSPTEG00000025802
rhinopithecus_roxellana ENSRROG00000042827
rhinopithecus_bieti ENSRBIG00000038205
pan_paniscus ENSPPAG00000042045
pan_troglodytes ENSPTRG00000003890
homo_sapiens ENSG00000172977
gorilla_gorilla ENSGGOG00000003283
pongo_abelii ENSPPYG00000003052
nomascus_leucogenys ENSNLEG00000005789
callithrix_jacchus ENSCJAG00000001971
saimiri_boliviensis_boliviensis ENSSBOG00000020725
cebus_capucinus ENSCCAG00000033565
aotus_nancymaae ENSANAG00000035412
carlito_syrichta ENSTSYG00000034862
prolemur_simus ENSPSMG00000023031
microcebus_murinus ENSMICG00000008880
propithecus_coquereli ENSPCOG00000028886
otolemur_garnettii ENSOGAG00000014123
heterocephalus_glaber_male ENSHGLG00100016499
heterocephalus_glaber_female ENSHGLG00000009569
fukomys_damarensis ENSFDAG00000009343
cavia_porcellus ENSCPOG00000013693
octodon_degus ENSODEG00000017848
chinchilla_lanigera ENSCLAG00000015794
ictidomys_tridecemlineatus ENSSTOG00000003133
urocitellus_parryii ENSUPAG00010009430
spermophilus_dauricus ENSSDAG00000013435
marmota_marmota_marmota ENSMMMG00000019926
cricetulus_griseus_crigri ENSCGRG00000010782
cricetulus_griseus_chok1gshd ENSCGRG00001016070
cricetulus_griseus_crigri-picr ENSCGRG00015015688
mesocricetus_auratus ENSMAUG00000016030
microtus_ochrogaster ENSMOCG00000009162
peromyscus_maniculatus_bairdii ENSPEMG00000015147
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023475
mus_spicilegus ENSMSIG00000001364
mus_musculus ENSMUSG00000024926
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022561
mus_pahari MGP_PahariEiJ_G0014058
rattus_norvegicus ENSRNOG00000061012
nannospalax_galili ENSNGAG00000018671
jaculus_jaculus ENSJJAG00000023662
dipodomys_ordii ENSDORG00000012563
castor_canadensis ENSCCNG00000024699
meriones_unguiculatus ENSMUGG00000001130
loxodonta_africana ENSLAFG00000015634
ailuropoda_melanoleuca ENSAMEG00000017350
ursus_americanus ENSUAMG00000020794
neovison_vison ENSNVIG00000015594
mustela_putorius_furo ENSMPUG00000011620
canis_lupus_dingo ENSCAFG00020015072
canis_lupus_familiaris ENSCAFG00000013299
vulpes_vulpes ENSVVUG00000027078
panthera_tigris_altaica ENSPTIG00000012360
panthera_pardus ENSPPRG00000002162
felis_catus ENSFCAG00000000038
notamacropus_eugenii ENSMEUG00000006191
phascolarctos_cinereus ENSPCIG00000014346
monodelphis_domestica ENSMODG00000009581
latimeria_chalumnae ENSLACG00000010274
neolamprologus_brichardi ENSNBRG00000020811
