otolemur_garnettii ENSOGAG00000004991
echinops_telfairi ENSETEG00000015391
canis_lupus_familiaris ENSCAFG00000030895
canis_lupus_dingo ENSCAFG00020025515
vulpes_vulpes ENSVVUG00000011449
neovison_vison ENSNVIG00000011875
mustela_putorius_furo ENSMPUG00000015610
ursus_maritimus ENSUMAG00000012475
ursus_americanus ENSUAMG00000022053
ailuropoda_melanoleuca ENSAMEG00000016952
panthera_pardus ENSPPRG00000008658
panthera_tigris_altaica ENSPTIG00000016926
felis_catus ENSFCAG00000002278
equus_caballus ENSECAG00000013061
equus_asinus_asinus ENSEASG00005016878
sorex_araneus ENSSARG00000001123
ictalurus_punctatus ENSIPUG00000003852
ficedula_albicollis ENSFALG00000002775
zonotrichia_albicollis ENSZALG00000017558
apteryx_owenii ENSAOWG00000002992
phascolarctos_cinereus ENSPCIG00000006585
monopterus_albus ENSMALG00000015823
takifugu_rubripes ENSTRUG00000022609
acanthochromis_polyacanthus ENSAPOG00000011584
pan_paniscus ENSPPAG00000029545
pan_troglodytes ENSPTRG00000009419
gorilla_gorilla ENSGGOG00000015456
homo_sapiens ENSG00000154975
pongo_abelii ENSPPYG00000008263
nomascus_leucogenys ENSNLEG00000007945
mandrillus_leucophaeus ENSMLEG00000038750
cercocebus_atys ENSCATG00000039920
rhinopithecus_roxellana ENSRROG00000035087
rhinopithecus_bieti ENSRBIG00000036304
macaca_nemestrina ENSMNEG00000038854
macaca_fascicularis ENSMFAG00000021148
papio_anubis ENSPANG00000022378
theropithecus_gelada ENSTGEG00000024351
piliocolobus_tephrosceles ENSPTEG00000039397
colobus_angolensis_palliatus ENSCANG00000018902
saimiri_boliviensis_boliviensis ENSSBOG00000026052
callithrix_jacchus ENSCJAG00000011392
cebus_capucinus ENSCCAG00000033937
aotus_nancymaae ENSANAG00000027963
propithecus_coquereli ENSPCOG00000026750
microcebus_murinus ENSMICG00000043674
prolemur_simus ENSPSMG00000008752
tupaia_belangeri ENSTBEG00000014774
carlito_syrichta ENSTSYG00000003025
chinchilla_lanigera ENSCLAG00000014796
octodon_degus ENSODEG00000016234
cavia_aperea ENSCAPG00000011997
cavia_porcellus ENSCPOG00000015491
heterocephalus_glaber_female ENSHGLG00000012469
heterocephalus_glaber_male ENSHGLG00100008086
fukomys_damarensis ENSFDAG00000007408
ictidomys_tridecemlineatus ENSSTOG00000016378
spermophilus_dauricus ENSSDAG00000001750
marmota_marmota_marmota ENSMMMG00000021089
cricetulus_griseus_chok1gshd ENSCGRG00001017785
cricetulus_griseus_crigri ENSCGRG00000004358
cricetulus_griseus_crigri-picr ENSCGRG00015021723
mesocricetus_auratus ENSMAUG00000017037
microtus_ochrogaster ENSMOCG00000011451
peromyscus_maniculatus_bairdii ENSPEMG00000000626
mus_spicilegus ENSMSIG00000006012
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017813
mus_musculus ENSMUSG00000056158
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016967
mus_pahari MGP_PahariEiJ_G0018098
rattus_norvegicus ENSRNOG00000002626
meriones_unguiculatus ENSMUGG00000006954
nannospalax_galili ENSNGAG00000022109
jaculus_jaculus ENSJJAG00000011249
urocitellus_parryii ENSUPAG00010023439
dipodomys_ordii ENSDORG00000011701
ovis_aries ENSOARG00000004061
