cyprinodon_variegatus ENSCVAG00000018522
fundulus_heteroclitus ENSFHEG00000021860
poecilia_mexicana ENSPMEG00000010948
poecilia_formosa ENSPFOG00000000918
poecilia_latipinna ENSPLAG00000003302
poecilia_reticulata ENSPREG00000018667
gambusia_affinis ENSGAFG00000015989
xiphophorus_couchianus ENSXCOG00000018708
kryptolebias_marmoratus ENSKMAG00000010266
amphiprion_ocellaris ENSAOCG00000015858
amphiprion_percula ENSAPEG00000021606
acanthochromis_polyacanthus ENSAPOG00000001452
stegastes_partitus ENSSPAG00000001296
oryzias_latipes ENSORLG00000017089
oryzias_latipes ENSORLG00020016124
oryzias_latipes_asm223469v1 ENSORLG00015006802
oryzias_melastigma ENSOMEG00000003651
astatotilapia_calliptera ENSACLG00000024816
haplochromis_burtoni ENSHBUG00000003065
maylandia_zebra ENSMZEG00005021716
pundamilia_nyererei ENSPNYG00000008445
neolamprologus_brichardi ENSNBRG00000014868
oreochromis_niloticus ENSONIG00000013818
amphilophus_citrinellus ENSACIG00000007126
xiphophorus_maculatus ENSXMAG00000029393
mastacembelus_armatus ENSMAMG00000017819
monopterus_albus ENSMALG00000004593
anabas_testudineus ENSATEG00000011298
seriola_dumerili ENSSDUG00000016754
tetraodon_nigroviridis ENSTNIG00000004450
takifugu_rubripes ENSTRUG00000011582
mola_mola ENSMMOG00000014719
labrus_bergylta ENSLBEG00000006579
cynoglossus_semilaevis ENSCSEG00000009398
hippocampus_comes ENSHCOG00000012899
esox_lucius ENSELUG00000007506
astyanax_mexicanus ENSAMXG00000012588
pygocentrus_nattereri ENSPNAG00000009047
ictalurus_punctatus ENSIPUG00000025101
scleropages_formosus ENSSFOG00015021826
paramormyrops_kingsleyae ENSPKIG00000018259
lepisosteus_oculatus ENSLOCG00000008663
chelonoidis_abingdonii ENSCABG00000020312
gopherus_agassizii ENSGAGG00000024630
chrysemys_picta_bellii ENSCPBG00000013566
pelodiscus_sinensis ENSPSIG00000007714
cyanistes_caeruleus ENSCCEG00000011709
crocodylus_porosus ENSCPRG00005012027
lonchura_striata_domestica ENSLSDG00000014435
taeniopygia_guttata ENSTGUG00000001115
serinus_canaria ENSSCAG00000005206
lepidothrix_coronata ENSLCOG00000005263
manacus_vitellinus ENSMVIG00005019672
ficedula_albicollis ENSFALG00000007522
parus_major ENSPMJG00000005625
zonotrichia_albicollis ENSZALG00000002848
melopsittacus_undulatus ENSMUNG00000008691
calidris_pygmaea ENSCPGG00000015454
calidris_pugnax ENSCPUG00000009958
anser_brachyrhynchus ENSABRG00000021726
anas_platyrhynchos_platyrhynchos ENSAPLG00000001327
gallus_gallus ENSGALG00000005351
coturnix_japonica ENSCJPG00005006144
numida_meleagris ENSNMEG00000014383
apteryx_haastii ENSAHAG00000013210
apteryx_owenii ENSAOWG00000010200
apteryx_rowi ENSARWG00000007919
dromaius_novaehollandiae ENSDNVG00000016788
nothoprocta_perdicaria ENSNPEG00000016262
sphenodon_punctatus ENSSPUG00000003144
anolis_carolinensis ENSACAG00000003401
pogona_vitticeps ENSPVIG00000002172
notechis_scutatus ENSNSUG00000013564
salvator_merianae ENSSMRG00000019345
phascolarctos_cinereus ENSPCIG00000015716
notamacropus_eugenii ENSMEUG00000011470
sarcophilus_harrisii ENSSHAG00000009542
monodelphis_domestica ENSMODG00000013415
ictidomys_tridecemlineatus ENSSTOG00000006419
spermophilus_dauricus ENSSDAG00000009623
urocitellus_parryii ENSUPAG00010003694
marmota_marmota_marmota ENSMMMG00000020196
castor_canadensis ENSCCNG00000005948
prolemur_simus ENSPSMG00000012302
propithecus_coquereli ENSPCOG00000016453
microcebus_murinus ENSMICG00000046260
saimiri_boliviensis_boliviensis ENSSBOG00000036108
cebus_capucinus ENSCCAG00000028901
callithrix_jacchus ENSCJAG00000017318
aotus_nancymaae ENSANAG00000025903
pan_troglodytes ENSPTRG00000017180
pan_paniscus ENSPPAG00000041868
homo_sapiens ENSG00000061455
gorilla_gorilla ENSGGOG00000036936
nomascus_leucogenys ENSNLEG00000012064
rhinopithecus_bieti ENSRBIG00000043372
rhinopithecus_roxellana ENSRROG00000033766
piliocolobus_tephrosceles ENSPTEG00000012951
cercocebus_atys ENSCATG00000031588
chlorocebus_sabaeus ENSCSAG00000014599
macaca_fascicularis ENSMFAG00000002537
macaca_nemestrina ENSMNEG00000036672
theropithecus_gelada ENSTGEG00000013630
papio_anubis ENSPANG00000020936
ursus_americanus ENSUAMG00000027573
ursus_maritimus ENSUMAG00000017993
ailuropoda_melanoleuca ENSAMEG00000015711
neovison_vison ENSNVIG00000020881
canis_lupus_familiaris ENSCAFG00000023666
canis_lupus_dingo ENSCAFG00020009527
vulpes_vulpes ENSVVUG00000019314
panthera_pardus ENSPPRG00000005265
felis_catus ENSFCAG00000026249
equus_asinus_asinus ENSEASG00005012472
equus_caballus ENSECAG00000004532
capra_hircus ENSCHIG00000025154
ovis_aries ENSOARG00000018873
bison_bison_bison ENSBBBG00000003079
bos_taurus ENSBTAG00000020578
sus_scrofa ENSSSCG00000014238
colobus_angolensis_palliatus ENSCANG00000000055
mandrillus_leucophaeus ENSMLEG00000038857
carlito_syrichta ENSTSYG00000009407
cavia_aperea ENSCAPG00000015858
