dromaius_novaehollandiae ENSDNVG00000013714
apteryx_owenii ENSAOWG00000000801
crocodylus_porosus ENSCPRG00005014990
cavia_porcellus ENSCPOG00000003023
cavia_aperea ENSCAPG00000014991
octodon_degus ENSODEG00000004447
chinchilla_lanigera ENSCLAG00000011746
heterocephalus_glaber_female ENSHGLG00000014369
heterocephalus_glaber_male ENSHGLG00100002219
fukomys_damarensis ENSFDAG00000017319
mus_musculus ENSMUSG00000028796
mus_spicilegus ENSMSIG00000003139
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027482
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026502
mus_pahari MGP_PahariEiJ_G0028833
rattus_norvegicus ENSRNOG00000006004
meriones_unguiculatus ENSMUGG00000004367
microtus_ochrogaster ENSMOCG00000013261
peromyscus_maniculatus_bairdii ENSPEMG00000000211
cricetulus_griseus_chok1gshd ENSCGRG00001023460
cricetulus_griseus_crigri-picr ENSCGRG00015008492
cricetulus_griseus_crigri ENSCGRG00000010158
mesocricetus_auratus ENSMAUG00000011040
nannospalax_galili ENSNGAG00000022610
spermophilus_dauricus ENSSDAG00000012548
urocitellus_parryii ENSUPAG00010005762
ictidomys_tridecemlineatus ENSSTOG00000005736
marmota_marmota_marmota ENSMMMG00000008473
oryctolagus_cuniculus ENSOCUG00000013332
ochotona_princeps ENSOPRG00000006209
pan_troglodytes ENSPTRG00000000505
pan_paniscus ENSPPAG00000023196
homo_sapiens ENSG00000134686
gorilla_gorilla ENSGGOG00000003599
pongo_abelii ENSPPYG00000001573
nomascus_leucogenys ENSNLEG00000003267
papio_anubis ENSPANG00000010025
theropithecus_gelada ENSTGEG00000017169
mandrillus_leucophaeus ENSMLEG00000031527
cercocebus_atys ENSCATG00000043790
macaca_nemestrina ENSMNEG00000008930
macaca_fascicularis ENSMFAG00000035555
macaca_mulatta ENSMMUG00000003269
chlorocebus_sabaeus ENSCSAG00000001073
colobus_angolensis_palliatus ENSCANG00000041033
piliocolobus_tephrosceles ENSPTEG00000022184
rhinopithecus_roxellana ENSRROG00000043017
rhinopithecus_bieti ENSRBIG00000003596
cebus_capucinus ENSCCAG00000033564
saimiri_boliviensis_boliviensis ENSSBOG00000014585
callithrix_jacchus ENSCJAG00000001193
aotus_nancymaae ENSANAG00000035651
carlito_syrichta ENSTSYG00000006633
prolemur_simus ENSPSMG00000021361
microcebus_murinus ENSMICG00000012486
propithecus_coquereli ENSPCOG00000011099
otolemur_garnettii ENSOGAG00000009239
ovis_aries ENSOARG00000020832
capra_hircus ENSCHIG00000017525
bos_mutus ENSBMUG00000009476
bos_taurus ENSBTAG00000004603
bison_bison_bison ENSBBBG00000002277
tursiops_truncatus ENSTTRG00000000957
sus_scrofa ENSSSCG00000025344
vicugna_pacos ENSVPAG00000004963
sorex_araneus ENSSARG00000003991
myotis_lucifugus ENSMLUG00000000813
pteropus_vampyrus ENSPVAG00000015029
erinaceus_europaeus ENSEEUG00000013969
ursus_americanus ENSUAMG00000010617
ursus_maritimus ENSUMAG00000008226
neovison_vison ENSNVIG00000017283
mustela_putorius_furo ENSMPUG00000015039
canis_lupus_dingo ENSCAFG00020025412
canis_lupus_familiaris ENSCAFG00000010340
vulpes_vulpes ENSVVUG00000015581
panthera_pardus ENSPPRG00000001794
panthera_tigris_altaica ENSPTIG00000022117
felis_catus ENSFCAG00000003574
equus_caballus ENSECAG00000017179
equus_asinus_asinus ENSEASG00005011780
procavia_capensis ENSPCAG00000014563
echinops_telfairi ENSETEG00000001631
bos_mutus ENSBMUG00000016518
bison_bison_bison ENSBBBG00000022273
ailuropoda_melanoleuca ENSAMEG00000007242
dipodomys_ordii ENSDORG00000024909
castor_canadensis ENSCCNG00000000239
jaculus_jaculus ENSJJAG00000020380
loxodonta_africana ENSLAFG00000005498
dasypus_novemcinctus ENSDNOG00000007239
choloepus_hoffmanni ENSCHOG00000000548
notamacropus_eugenii ENSMEUG00000007756
phascolarctos_cinereus ENSPCIG00000014123
monodelphis_domestica ENSMODG00000017114
sarcophilus_harrisii ENSSHAG00000002109
ornithorhynchus_anatinus ENSOANG00000007433
ornithorhynchus_anatinus ENSOANG00000006343
marmota_marmota_marmota ENSMMMG00000008460
junco_hyemalis ENSJHYG00000004749
junco_hyemalis ENSJHYG00000004742
calidris_pygmaea ENSCPGG00000015582
nothoprocta_perdicaria ENSNPEG00000012103
chelonoidis_abingdonii ENSCABG00000020687
gopherus_agassizii ENSGAGG00000005509
chrysemys_picta_bellii ENSCPBG00000007518
pelodiscus_sinensis ENSPSIG00000013420
gallus_gallus ENSGALG00000039532
coturnix_japonica ENSCJPG00005007093
anas_platyrhynchos_platyrhynchos ENSAPLG00000006579
anser_brachyrhynchus ENSABRG00000006542
lonchura_striata_domestica ENSLSDG00000016384
taeniopygia_guttata ENSTGUG00000014064
serinus_canaria ENSSCAG00000003395
ficedula_albicollis ENSFALG00000003823
cyanistes_caeruleus ENSCCEG00000005585
parus_major ENSPMJG00000009246
calidris_pugnax ENSCPUG00000015872
nothoprocta_perdicaria ENSNPEG00000012107
sphenodon_punctatus ENSSPUG00000005287
pogona_vitticeps ENSPVIG00000018059
anolis_carolinensis ENSACAG00000004241
salvator_merianae ENSSMRG00000007840
notechis_scutatus ENSNSUG00000018695
xenopus_tropicalis ENSXETG00000009494
latimeria_chalumnae ENSLACG00000014173
scleropages_formosus ENSSFOG00015016631
