crocodylus_porosus ENSCPRG00005002740
chrysemys_picta ENSCPBG00000004302
pogona_vitticeps ENSPVIG00000015594
anolis_carolinensis ENSACAG00000003820
notechis_scutatus ENSNSUG00000016995
xenopus_tropicalis ENSXETG00000020720
latimeria_chalumnae ENSLACG00000015850
scleropages_formosus ENSSFOG00015011817
paramormyrops_kingsleyae ENSPKIG00000012054
takifugu_rubripes ENSTRUG00000016279
tetraodon_nigroviridis ENSTNIG00000011721
mola_mola ENSMMOG00000020778
larimichthys_crocea ENSLCRG00005014762
labrus_bergylta ENSLBEG00000005087
cynoglossus_semilaevis ENSCSEG00000016548
parambassis_ranga ENSPRNG00000016929
seriola_lalandi ENSSLDG00000002174
seriola_dumerili ENSSDUG00000022809
lates_calcarifer ENSLCAG00010021827
maylandia_zebra ENSMZEG00005022821
astatotilapia_calliptera ENSACLG00000001878
haplochromis_burtoni ENSHBUG00000001711
pundamilia_nyererei ENSPNYG00000011794
neolamprologus_brichardi ENSNBRG00000019681
oreochromis_niloticus ENSONIG00000000999
amphilophus_citrinellus ENSACIG00000009721
gouania_willdenowi ENSGWIG00000003817
fundulus_heteroclitus ENSFHEG00000013006
cyprinodon_variegatus ENSCVAG00000012071
poecilia_formosa ENSPFOG00000009945
poecilia_latipinna ENSPLAG00000022181
poecilia_mexicana ENSPMEG00000002539
poecilia_reticulata ENSPREG00000011048
xiphophorus_couchianus ENSXCOG00000017235
xiphophorus_maculatus ENSXMAG00000008686
gambusia_affinis ENSGAFG00000001815
kryptolebias_marmoratus ENSKMAG00000020624
oryzias_latipes ENSORLG00020009235
oryzias_latipes ENSORLG00000003410
oryzias_latipes ENSORLG00015002060
oryzias_melastigma ENSOMEG00000022577
amphiprion_percula ENSAPEG00000003942
amphiprion_ocellaris ENSAOCG00000012659
acanthochromis_polyacanthus ENSAPOG00000019990
stegastes_partitus ENSSPAG00000015936
scophthalmus_maximus ENSSMAG00000009710
hippocampus_comes ENSHCOG00000005825
mastacembelus_armatus ENSMAMG00000022252
monopterus_albus ENSMALG00000007654
anabas_testudineus ENSATEG00000001010
betta_splendens ENSBSLG00000012873
cottoperca_gobio ENSCGOG00000020415
gasterosteus_aculeatus ENSGACG00000008937
periophthalmus_magnuspinnatus ENSPMGG00000002350
gadus_morhua ENSGMOG00000000180
hucho_hucho ENSHHUG00000040000
hucho_hucho ENSHHUG00000028020
esox_lucius ENSELUG00000017785
clupea_harengus ENSCHAG00000008815
electrophorus_electricus ENSEEEG00000023871
ictalurus_punctatus ENSIPUG00000012182
astyanax_mexicanus ENSAMXG00000039253
astyanax_mexicanus ENSAMXG00005019066
pygocentrus_nattereri ENSPNAG00000000706
danio_rerio ENSDARG00000011076
denticeps_clupeoides ENSDCDG00000004987
scleropages_formosus ENSSFOG00015023416
lepisosteus_oculatus ENSLOCG00000012737
erpetoichthys_calabaricus ENSECRG00000015917
callorhinchus_milii ENSCMIG00000008239
