sorex_araneus ENSSARG00000013435
pteropus_vampyrus ENSPVAG00000004291
equus_caballus ENSECAG00000036493
equus_asinus_asinus ENSEASG00005010974
myotis_lucifugus ENSMLUG00000016510
capra_hircus ENSCHIG00000008847
ovis_aries ENSOARG00000012655
bos_mutus ENSBMUG00000015151
bos_taurus ENSBTAG00000018456
bison_bison_bison ENSBBBG00000013390
tursiops_truncatus ENSTTRG00000013857
sus_scrofa ENSSSCG00000005890
ursus_americanus ENSUAMG00000007866
ursus_maritimus ENSUMAG00000019377
ailuropoda_melanoleuca ENSAMEG00000005420
mustela_putorius_furo ENSMPUG00000006051
neovison_vison ENSNVIG00000024178
canis_lupus_familiaris ENSCAFG00000030492
canis_lupus_dingo ENSCAFG00020021028
vulpes_vulpes ENSVVUG00000005516
panthera_pardus ENSPPRG00000010192
panthera_tigris_altaica ENSPTIG00000017685
felis_catus ENSFCAG00000012559
pan_troglodytes ENSPTRG00000020717
pan_paniscus ENSPPAG00000035568
homo_sapiens ENSG00000147789
gorilla_gorilla ENSGGOG00000008185
pongo_abelii ENSPPYG00000018994
piliocolobus_tephrosceles ENSPTEG00000022607
colobus_angolensis_palliatus ENSCANG00000030359
rhinopithecus_bieti ENSRBIG00000033015
rhinopithecus_roxellana ENSRROG00000034427
macaca_mulatta ENSMMUG00000011550
macaca_nemestrina ENSMNEG00000032262
macaca_fascicularis ENSMFAG00000034192
cercocebus_atys ENSCATG00000036771
theropithecus_gelada ENSTGEG00000019846
papio_anubis ENSPANG00000012142
mandrillus_leucophaeus ENSMLEG00000035597
chlorocebus_sabaeus ENSCSAG00000008197
cebus_capucinus ENSCCAG00000024294
saimiri_boliviensis_boliviensis ENSSBOG00000020600
callithrix_jacchus ENSCJAG00000021384
aotus_nancymaae ENSANAG00000008223
carlito_syrichta ENSTSYG00000030315
propithecus_coquereli ENSPCOG00000014626
microcebus_murinus ENSMICG00000000042
prolemur_simus ENSPSMG00000024963
tupaia_belangeri ENSTBEG00000000128
castor_canadensis ENSCCNG00000011850
castor_canadensis ENSCCNG00000011856
dipodomys_ordii ENSDORG00000011889
rattus_norvegicus ENSRNOG00000050695
rattus_norvegicus ENSRNOG00000050497
mus_spicilegus ENSMSIG00000024742
mus_musculus ENSMUSG00000033669
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020853
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019950
mus_pahari MGP_PahariEiJ_G0019960
meriones_unguiculatus ENSMUGG00000012259
cricetulus_griseus_chok1gshd ENSCGRG00001021423
cricetulus_griseus_crigri ENSCGRG00000007549
cricetulus_griseus_crigri-picr ENSCGRG00015022194
peromyscus_maniculatus_bairdii ENSPEMG00000030710
nannospalax_galili ENSNGAG00000010510
jaculus_jaculus ENSJJAG00000016143
urocitellus_parryii ENSUPAG00010000196
urocitellus_parryii ENSUPAG00010000206
marmota_marmota_marmota ENSMMMG00000008485
marmota_marmota_marmota ENSMMMG00000008483
spermophilus_dauricus ENSSDAG00000012463
heterocephalus_glaber_female ENSHGLG00000009858
heterocephalus_glaber_male ENSHGLG00100007811
chinchilla_lanigera ENSCLAG00000010199
octodon_degus ENSODEG00000012877
cavia_porcellus ENSCPOG00000010429
fukomys_damarensis ENSFDAG00000015088
oryctolagus_cuniculus ENSOCUG00000022081
loxodonta_africana ENSLAFG00000010535
echinops_telfairi ENSETEG00000010830
choloepus_hoffmanni ENSCHOG00000001749
dasypus_novemcinctus ENSDNOG00000043881
ailuropoda_melanoleuca ENSAMEG00000005415
ursus_maritimus ENSUMAG00000019374
mustela_putorius_furo ENSMPUG00000001313
notamacropus_eugenii ENSMEUG00000010540
erinaceus_europaeus ENSEEUG00000002773
microtus_ochrogaster ENSMOCG00000022968
nannospalax_galili ENSNGAG00000015607
jaculus_jaculus ENSJJAG00000006705
peromyscus_maniculatus_bairdii ENSPEMG00000023053
cricetulus_griseus_crigri-picr ENSCGRG00015022209
cavia_aperea ENSCAPG00000016956
octodon_degus ENSODEG00000013409
ictidomys_tridecemlineatus ENSSTOG00000033075
spermophilus_dauricus ENSSDAG00000012455
colobus_angolensis_palliatus ENSCANG00000029450
mandrillus_leucophaeus ENSMLEG00000041237
nomascus_leucogenys ENSNLEG00000011036
neovison_vison ENSNVIG00000024179
mus_musculus ENSMUSG00000116024
gopherus_agassizii ENSGAGG00000006879
