ursus_maritimus ENSUMAG00000016317
ursus_americanus ENSUAMG00000014888
panthera_tigris_altaica ENSPTIG00000007901
equus_asinus_asinus ENSEASG00005013982
equus_caballus ENSECAG00000029144
papio_anubis ENSPANG00000032840
cercocebus_atys ENSCATG00000018645
mandrillus_leucophaeus ENSMLEG00000011891
macaca_nemestrina ENSMNEG00000012312
macaca_fascicularis ENSMFAG00000028672
theropithecus_gelada ENSTGEG00000001705
colobus_angolensis_palliatus ENSCANG00000033237
saimiri_boliviensis_boliviensis ENSSBOG00000020239
