haplochromis_burtoni ENSHBUG00000020456
astatotilapia_calliptera ENSACLG00000006866
maylandia_zebra ENSMZEG00005023486
maylandia_zebra ENSMZEG00005014027
maylandia_zebra ENSMZEG00005018731
amphilophus_citrinellus ENSACIG00000021526
amphilophus_citrinellus ENSACIG00000003999
fundulus_heteroclitus ENSFHEG00000009226
xiphophorus_couchianus ENSXCOG00000009758
kryptolebias_marmoratus ENSKMAG00000005151
kryptolebias_marmoratus ENSKMAG00000015486
kryptolebias_marmoratus ENSKMAG00000015493
kryptolebias_marmoratus ENSKMAG00000015478
poecilia_latipinna ENSPLAG00000016689
gambusia_affinis ENSGAFG00000007487
monopterus_albus ENSMALG00000018043
monopterus_albus ENSMALG00000010471
mastacembelus_armatus ENSMAMG00000017557
seriola_dumerili ENSSDUG00000006313
seriola_lalandi_dorsalis ENSSLDG00000012421
