dromaius_novaehollandiae ENSDNVG00000004251
apteryx_owenii ENSAOWG00000010001
nothoprocta_perdicaria ENSNPEG00000013869
anser_brachyrhynchus ENSABRG00000012232
calidris_pugnax ENSCPUG00000010991
calidris_pygmaea ENSCPGG00000017446
parus_major ENSPMJG00000003378
cyanistes_caeruleus ENSCCEG00000022067
ficedula_albicollis ENSFALG00000009390
lepidothrix_coronata ENSLCOG00000002315
lonchura_striata_domestica ENSLSDG00000007058
serinus_canaria ENSSCAG00000008489
anas_platyrhynchos_platyrhynchos ENSAPLG00000020177
pelodiscus_sinensis ENSPSIG00000002346
gallus_gallus ENSGALG00000045212
coturnix_japonica ENSCJPG00005019032
meleagris_gallopavo ENSMGAG00000000712
numida_meleagris ENSNMEG00000004343
chelonoidis_abingdonii ENSCABG00000005357
gopherus_agassizii ENSGAGG00000015074
chrysemys_picta_bellii ENSCPBG00000008873
crocodylus_porosus ENSCPRG00005015493
anolis_carolinensis ENSACAG00000007219
pogona_vitticeps ENSPVIG00000019027
notechis_scutatus ENSNSUG00000015851
salvator_merianae ENSSMRG00000007473
capra_hircus ENSCHIG00000025100
ovis_aries ENSOARG00000009749
bos_mutus ENSBMUG00000001653
bos_taurus ENSBTAG00000006052
bison_bison_bison ENSBBBG00000019564
tursiops_truncatus ENSTTRG00000006273
sus_scrofa ENSSSCG00000017338
ursus_americanus ENSUAMG00000024045
ursus_maritimus ENSUMAG00000014451
ailuropoda_melanoleuca ENSAMEG00000018398
mustela_putorius_furo ENSMPUG00000008709
neovison_vison ENSNVIG00000022795
canis_lupus_dingo ENSCAFG00020009532
canis_lupus_familiaris ENSCAFG00000013924
vulpes_vulpes ENSVVUG00000018257
panthera_pardus ENSPPRG00000004265
panthera_tigris_altaica ENSPTIG00000015774
felis_catus ENSFCAG00000005473
pteropus_vampyrus ENSPVAG00000016166
myotis_lucifugus ENSMLUG00000000073
equus_asinus_asinus ENSEASG00005010411
equus_caballus ENSECAG00000020338
procavia_capensis ENSPCAG00000015581
loxodonta_africana ENSLAFG00000022912
propithecus_coquereli ENSPCOG00000024194
microcebus_murinus ENSMICG00000016661
prolemur_simus ENSPSMG00000014979
otolemur_garnettii ENSOGAG00000031628
pan_troglodytes ENSPTRG00000052044
