cricetulus_griseus_chok1gshd ENSCGRG00001014880
cricetulus_griseus_crigri-picr ENSCGRG00015017029
cricetulus_griseus_crigri ENSCGRG00000000995
mesocricetus_auratus ENSMAUG00000000709
peromyscus_maniculatus_bairdii ENSPEMG00000030780
meriones_unguiculatus ENSMUGG00000020003
mus_musculus ENSMUSG00000031227
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034484
mus_spicilegus ENSMSIG00000024640
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0033320
mus_pahari MGP_PahariEiJ_G0031857
rattus_norvegicus ENSRNOG00000002660
nannospalax_galili ENSNGAG00000010920
jaculus_jaculus ENSJJAG00000020183
dipodomys_ordii ENSDORG00000026617
spermophilus_dauricus ENSSDAG00000016191
marmota_marmota_marmota ENSMMMG00000017334
ictidomys_tridecemlineatus ENSSTOG00000010904
urocitellus_parryii ENSUPAG00010020065
chinchilla_lanigera ENSCLAG00000017388
octodon_degus ENSODEG00000000365
cavia_porcellus ENSCPOG00000039465
heterocephalus_glaber_female ENSHGLG00000020015
heterocephalus_glaber_male ENSHGLG00100020423
fukomys_damarensis ENSFDAG00000001277
spermophilus_dauricus ENSSDAG00000016148
spermophilus_dauricus ENSSDAG00000000335
castor_canadensis ENSCCNG00000004827
pan_troglodytes ENSPTRG00000050662
pan_troglodytes ENSPTRG00000028246
pan_paniscus ENSPPAG00000023414
homo_sapiens ENSG00000198934
pongo_abelii ENSPPYG00000020489
nomascus_leucogenys ENSNLEG00000001137
rhinopithecus_bieti ENSRBIG00000039644
rhinopithecus_roxellana ENSRROG00000040211
piliocolobus_tephrosceles ENSPTEG00000017119
colobus_angolensis_palliatus ENSCANG00000030824
theropithecus_gelada ENSTGEG00000001732
mandrillus_leucophaeus ENSMLEG00000034318
chlorocebus_sabaeus ENSCSAG00000000091
cercocebus_atys ENSCATG00000031411
papio_anubis ENSPANG00000015867
macaca_nemestrina ENSMNEG00000039780
macaca_fascicularis ENSMFAG00000038533
gorilla_gorilla ENSGGOG00000025599
macaca_mulatta ENSMMUG00000039056
callithrix_jacchus ENSCJAG00000048304
saimiri_boliviensis_boliviensis ENSSBOG00000028745
cebus_capucinus ENSCCAG00000020822
aotus_nancymaae ENSANAG00000037886
carlito_syrichta ENSTSYG00000012756
propithecus_coquereli ENSPCOG00000023864
prolemur_simus ENSPSMG00000023753
microcebus_murinus ENSMICG00000027953
otolemur_garnettii ENSOGAG00000027776
tupaia_belangeri ENSTBEG00000003185
