lepisosteus_oculatus ENSLOCG00000016281
erpetoichthys_calabaricus ENSECRG00000009243
oryctolagus_cuniculus ENSOCUG00000004936
ochotona_princeps ENSOPRG00000008159
tupaia_belangeri ENSTBEG00000003246
castor_canadensis ENSCCNG00000005489
dipodomys_ordii ENSDORG00000011080
mus_spicilegus ENSMSIG00000028730
mus_spretus MGP_SPRETEiJ_G0016614
mus_musculus ENSMUSG00000020181
mus_caroli MGP_CAROLIEiJ_G0015792
mus_pahari MGP_PahariEiJ_G0031295
rattus_norvegicus ENSRNOG00000052157
meriones_unguiculatus ENSMUGG00000004670
cricetulus_griseus ENSCGRG00000007239
cricetulus_griseus ENSCGRG00001022037
cricetulus_griseus ENSCGRG00015010425
mesocricetus_auratus ENSMAUG00000012505
microtus_ochrogaster ENSMOCG00000018391
peromyscus_maniculatus ENSPEMG00000003783
nannospalax_galili ENSNGAG00000024210
jaculus_jaculus ENSJJAG00000012332
heterocephalus_glaber ENSHGLG00000012083
heterocephalus_glaber ENSHGLG00100016785
fukomys_damarensis ENSFDAG00000019952
cavia_porcellus ENSCPOG00000015431
cavia_aperea ENSCAPG00000006708
chinchilla_lanigera ENSCLAG00000012036
octodon_degus ENSODEG00000010398
urocitellus_parryii ENSUPAG00010005261
spermophilus_dauricus ENSSDAG00000022905
ictidomys_tridecemlineatus ENSSTOG00000012725
marmota_marmota ENSMMMG00000002035
pan_paniscus ENSPPAG00000036134
pan_troglodytes ENSPTRG00000005247
homo_sapiens ENSG00000067798
gorilla_gorilla ENSGGOG00000006574
pongo_abelii ENSPPYG00000004792
nomascus_leucogenys ENSNLEG00000004917
colobus_angolensis ENSCANG00000037063
piliocolobus_tephrosceles ENSPTEG00000034198
rhinopithecus_roxellana ENSRROG00000033325
rhinopithecus_bieti ENSRBIG00000032816
cercocebus_atys ENSCATG00000032040
mandrillus_leucophaeus ENSMLEG00000033553
theropithecus_gelada ENSTGEG00000026054
papio_anubis ENSPANG00000007911
macaca_fascicularis ENSMFAG00000044289
macaca_mulatta ENSMMUG00000021329
macaca_nemestrina ENSMNEG00000043424
chlorocebus_sabaeus ENSCSAG00000003979
saimiri_boliviensis ENSSBOG00000036099
callithrix_jacchus ENSCJAG00000019176
aotus_nancymaae ENSANAG00000037686
cebus_capucinus ENSCCAG00000021309
carlito_syrichta ENSTSYG00000002601
prolemur_simus ENSPSMG00000004708
microcebus_murinus ENSMICG00000003403
propithecus_coquereli ENSPCOG00000028313
otolemur_garnettii ENSOGAG00000010604
ovis_aries ENSOARG00000014996
capra_hircus ENSCHIG00000012255
bos_indicus ENSBIXG00000024410
bos_indicus ENSBIXG00005000135
bos_taurus ENSBTAG00000009852
bos_mutus ENSBMUG00000012456
bison_bison ENSBBBG00000021636
tursiops_truncatus ENSTTRG00000007207
vicugna_pacos ENSVPAG00000007908
sus_scrofa ENSSSCG00000029249
sorex_araneus ENSSARG00000001226
equus_caballus ENSECAG00000000121
equus_asinus ENSEASG00005021551
pteropus_vampyrus ENSPVAG00000015072
myotis_lucifugus ENSMLUG00000010374
ursus_maritimus ENSUMAG00000021555
ailuropoda_melanoleuca ENSAMEG00000006673
neovison_vison ENSNVIG00000002412
mustela_putorius ENSMPUG00000017465
canis_lupus ENSCAFG00000005746
canis_lupus ENSCAFG00020015546
vulpes_vulpes ENSVVUG00000009882
panthera_pardus ENSPPRG00000022007
panthera_tigris ENSPTIG00000013673
felis_catus ENSFCAG00000013128
choloepus_hoffmanni ENSCHOG00000001765
dasypus_novemcinctus ENSDNOG00000005668
loxodonta_africana ENSLAFG00000001793
procavia_capensis ENSPCAG00000000255
echinops_telfairi ENSETEG00000007709
ornithorhynchus_anatinus ENSOANG00000002820
erinaceus_europaeus ENSEEUG00000001785
vombatus_ursinus ENSVURG00010001745
phascolarctos_cinereus ENSPCIG00000025666
notamacropus_eugenii ENSMEUG00000015070
sarcophilus_harrisii ENSSHAG00000001971
monodelphis_domestica ENSMODG00000020466
ornithorhynchus_anatinus ENSOANG00000007451
manacus_vitellinus ENSMVIG00005003340
lepidothrix_coronata ENSLCOG00000007123
calidris_pygmaea ENSCPGG00000009680
calidris_pugnax ENSCPUG00000003258
melopsittacus_undulatus ENSMUNG00000014855
serinus_canaria ENSSCAG00000008738
serinus_canaria ENSSCAG00000008755
zonotrichia_albicollis ENSZALG00000009914
junco_hyemalis ENSJHYG00000009510
taeniopygia_guttata ENSTGUG00000007519
lonchura_striata ENSLSDG00000014242
parus_major ENSPMJG00000012656
cyanistes_caeruleus ENSCCEG00000010220
ficedula_albicollis ENSFALG00000010449
calidris_pygmaea ENSCPGG00000009701
calidris_pugnax ENSCPUG00000003249
anser_brachyrhynchus ENSABRG00000002539
anas_platyrhynchos ENSAPLG00000014672
gallus_gallus ENSGALG00000010311
coturnix_japonica ENSCJPG00005016185
meleagris_gallopavo ENSMGAG00000010956
numida_meleagris ENSNMEG00000002011
dromaius_novaehollandiae ENSDNVG00000000436
nothoprocta_perdicaria ENSNPEG00000001993
apteryx_owenii ENSAOWG00000012487
apteryx_haastii ENSAHAG00000009108
apteryx_rowi ENSARWG00000004943
crocodylus_porosus ENSCPRG00005004050
chelonoidis_abingdonii ENSCABG00000001898
gopherus_agassizii ENSGAGG00000024067
chrysemys_picta ENSCPBG00000017880
pelodiscus_sinensis ENSPSIG00000009060
anolis_carolinensis ENSACAG00000014617
pogona_vitticeps ENSPVIG00000006797
notechis_scutatus ENSNSUG00000001737
salvator_merianae ENSSMRG00000002199
sphenodon_punctatus ENSSPUG00000006945
xenopus_tropicalis ENSXETG00000006144
latimeria_chalumnae ENSLACG00000001187
callorhinchus_milii ENSCMIG00000011099
paramormyrops_kingsleyae ENSPKIG00000020143
scleropages_formosus ENSSFOG00015018832
scleropages_formosus ENSSFOG00015005938
paramormyrops_kingsleyae ENSPKIG00000002193
paramormyrops_kingsleyae ENSPKIG00000003485
clupea_harengus ENSCHAG00000025811
denticeps_clupeoides ENSDCDG00000026354
electrophorus_electricus ENSEEEG00000014336
ictalurus_punctatus ENSIPUG00000024518
astyanax_mexicanus ENSAMXG00000016811
astyanax_mexicanus ENSAMXG00005011493
pygocentrus_nattereri ENSPNAG00000002385
danio_rerio ENSDARG00000005476
mastacembelus_armatus ENSMAMG00000023499
monopterus_albus ENSMALG00000011849
anabas_testudineus ENSATEG00000002447
seriola_lalandi ENSSLDG00000008238
seriola_dumerili ENSSDUG00000016499
scophthalmus_maximus ENSSMAG00000013542
lates_calcarifer ENSLCAG00010015471
neolamprologus_brichardi ENSNBRG00000005432
neolamprologus_brichardi ENSNBRG00000005464
pundamilia_nyererei ENSPNYG00000023930
astatotilapia_calliptera ENSACLG00000018218
haplochromis_burtoni ENSHBUG00000005748
maylandia_zebra ENSMZEG00005014007
oreochromis_niloticus ENSONIG00000012079
amphilophus_citrinellus ENSACIG00000010477
parambassis_ranga ENSPRNG00000020240
amphiprion_percula ENSAPEG00000021186
amphiprion_ocellaris ENSAOCG00000004414
acanthochromis_polyacanthus ENSAPOG00000017299
stegastes_partitus ENSSPAG00000000690
gasterosteus_aculeatus ENSGACG00000019472
cottoperca_gobio ENSCGOG00000022221
labrus_bergylta ENSLBEG00000010622
larimichthys_crocea ENSLCRG00005017148
mola_mola ENSMMOG00000010011
fundulus_heteroclitus ENSFHEG00000014704
fundulus_heteroclitus ENSFHEG00000014761
cyprinodon_variegatus ENSCVAG00000021937
xiphophorus_maculatus ENSXMAG00000006213
xiphophorus_couchianus ENSXCOG00000015229
gambusia_affinis ENSGAFG00000005445
poecilia_formosa ENSPFOG00000003407
poecilia_mexicana ENSPMEG00000011696
poecilia_latipinna ENSPLAG00000005927
poecilia_reticulata ENSPREG00000014206
kryptolebias_marmoratus ENSKMAG00000020918
oryzias_latipes ENSORLG00020021797
oryzias_latipes ENSORLG00015020373
oryzias_latipes ENSORLG00000012335
oryzias_melastigma ENSOMEG00000018648
gouania_willdenowi ENSGWIG00000005316
betta_splendens ENSBSLG00000010085
tetraodon_nigroviridis ENSTNIG00000005780
tetraodon_nigroviridis ENSTNIG00000004292
takifugu_rubripes ENSTRUG00000001974
poecilia_latipinna ENSPLAG00000000293
cynoglossus_semilaevis ENSCSEG00000017547
hippocampus_comes ENSHCOG00000009786
gadus_morhua ENSGMOG00000002402
hucho_hucho ENSHHUG00000010210
hucho_hucho ENSHHUG00000010032
