taeniopygia_guttata ENSTGUG00000014435
lonchura_striata ENSLSDG00000007833
serinus_canaria ENSSCAG00000007560
zonotrichia_albicollis ENSZALG00000003791
junco_hyemalis ENSJHYG00000003977
ficedula_albicollis ENSFALG00000002506
cyanistes_caeruleus ENSCCEG00000017936
parus_major ENSPMJG00000016953
manacus_vitellinus ENSMVIG00005005974
lepidothrix_coronata ENSLCOG00000001188
melopsittacus_undulatus ENSMUNG00000000381
calidris_pygmaea ENSCPGG00000008201
calidris_pugnax ENSCPUG00000001759
anser_brachyrhynchus ENSABRG00000004279
anas_platyrhynchos ENSAPLG00000012205
gallus_gallus ENSGALG00000046409
coturnix_japonica ENSCJPG00005002487
meleagris_gallopavo ENSMGAG00000016741
numida_meleagris ENSNMEG00000010825
apteryx_rowi ENSARWG00000017250
apteryx_owenii ENSAOWG00000014179
apteryx_haastii ENSAHAG00000010518
microtus_ochrogaster ENSMOCG00000018539
mesocricetus_auratus ENSMAUG00000013276
mus_spicilegus ENSMSIG00000030968
mus_musculus ENSMUSG00000071179
mus_spretus MGP_SPRETEiJ_G0018904
mus_caroli MGP_CAROLIEiJ_G0018059
mus_pahari MGP_PahariEiJ_G0029818
rattus_norvegicus ENSRNOG00000026297
nannospalax_galili ENSNGAG00000018563
castor_canadensis ENSCCNG00000013029
ictidomys_tridecemlineatus ENSSTOG00000023092
prolemur_simus ENSPSMG00000024192
otolemur_garnettii ENSOGAG00000031119
ursus_americanus ENSUAMG00000015797
ursus_maritimus ENSUMAG00000004344
ailuropoda_melanoleuca ENSAMEG00000006314
mustela_putorius ENSMPUG00000003242
neovison_vison ENSNVIG00000005752
xenopus_tropicalis ENSXETG00000020049
xenopus_tropicalis ENSXETG00000016938
xenopus_tropicalis ENSXETG00000019254
