erinaceus_europaeus ENSEEUG00000004974
sorex_araneus ENSSARG00000002641
bos_mutus ENSBMUG00000001675
ailuropoda_melanoleuca ENSAMEG00000000549
ursus_americanus ENSUAMG00000008265
mustela_putorius_furo ENSMPUG00000014033
rhinopithecus_bieti ENSRBIG00000031979
piliocolobus_tephrosceles ENSPTEG00000031189
saimiri_boliviensis_boliviensis ENSSBOG00000025866
tupaia_belangeri ENSTBEG00000017054
oryctolagus_cuniculus ENSOCUG00000012145
loxodonta_africana ENSLAFG00000032280
echinops_telfairi ENSETEG00000013370
scleropages_formosus ENSSFOG00015011339
