mesocricetus_auratus ENSMAUG00000013728
cricetulus_griseus_chok1gshd ENSCGRG00001024798
cricetulus_griseus_crigri ENSCGRG00000003576
microtus_ochrogaster ENSMOCG00000011065
peromyscus_maniculatus_bairdii ENSPEMG00000016890
mus_musculus ENSMUSG00000097187
mus_spicilegus ENSMSIG00000002632
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024648
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023728
mus_pahari MGP_PahariEiJ_G0025179
meriones_unguiculatus ENSMUGG00000018974
nannospalax_galili ENSNGAG00000022307
ictidomys_tridecemlineatus ENSSTOG00000033598
