rhinopithecus_roxellana ENSRROG00000029740
rhinopithecus_bieti ENSRBIG00000007617
chlorocebus_sabaeus ENSCSAG00000018304
piliocolobus_tephrosceles ENSPTEG00000036010
macaca_mulatta ENSMMUG00000039261
pan_troglodytes ENSPTRG00000046270
pan_troglodytes ENSPTRG00000049088
pan_troglodytes ENSPTRG00000047385
pan_troglodytes ENSPTRG00000045105
pan_troglodytes ENSPTRG00000050914
pan_troglodytes ENSPTRG00000047951
pan_troglodytes ENSPTRG00000043157
pan_troglodytes ENSPTRG00000051395
pan_troglodytes ENSPTRG00000046311
pan_troglodytes ENSPTRG00000042791
pan_troglodytes ENSPTRG00000051022
homo_sapiens ENSG00000234414
homo_sapiens ENSG00000244395
homo_sapiens ENSG00000242389
homo_sapiens ENSG00000242875
homo_sapiens ENSG00000226941
homo_sapiens ENSG00000169800
rhinopithecus_bieti ENSRBIG00000029066
piliocolobus_tephrosceles ENSPTEG00000017969
chlorocebus_sabaeus ENSCSAG00000018310
theropithecus_gelada ENSTGEG00000001818
mus_musculus ENSMUSG00000095852
mus_musculus ENSMUSG00000102053
mus_musculus ENSMUSG00000091987
mus_musculus ENSMUSG00000095948
mus_musculus ENSMUSG00000093987
mus_musculus ENSMUSG00000094658
mus_musculus ENSMUSG00000093918
mus_musculus ENSMUSG00000101667
mus_musculus ENSMUSG00000094511
mus_musculus ENSMUSG00000096520
mus_spicilegus ENSMSIG00000005029
rattus_norvegicus ENSRNOG00000060963
meriones_unguiculatus ENSMUGG00000008586
fukomys_damarensis ENSFDAG00000013847
fukomys_damarensis ENSFDAG00000005725
marmota_marmota_marmota ENSMMMG00000007452
urocitellus_parryii ENSUPAG00010009028
eptatretus_burgeri ENSEBUG00000014816
eptatretus_burgeri ENSEBUG00000007630
