scophthalmus_maximus ENSSMAG00000000426
cynoglossus_semilaevis ENSCSEG00000021811
takifugu_rubripes ENSTRUG00000025691
tetraodon_nigroviridis ENSTNIG00000008836
mastacembelus_armatus ENSMAMG00000012663
anabas_testudineus ENSATEG00000006388
labrus_bergylta ENSLBEG00000006088
haplochromis_burtoni ENSHBUG00000018797
pundamilia_nyererei ENSPNYG00000007491
maylandia_zebra ENSMZEG00005000354
astatotilapia_calliptera ENSACLG00000000208
oreochromis_niloticus ENSONIG00000010703
neolamprologus_brichardi ENSNBRG00000016983
amphilophus_citrinellus ENSACIG00000015013
kryptolebias_marmoratus ENSKMAG00000021083
mola_mola ENSMMOG00000010709
amphiprion_ocellaris ENSAOCG00000015389
monopterus_albus ENSMALG00000010227
seriola_lalandi_dorsalis ENSSLDG00000004326
seriola_dumerili ENSSDUG00000004003
amphiprion_percula ENSAPEG00000006276
acanthochromis_polyacanthus ENSAPOG00000011170
stegastes_partitus ENSSPAG00000023400
neolamprologus_brichardi ENSNBRG00000005681
oryzias_latipes ENSORLG00000023856
oryzias_latipes_asm223469v1 ENSORLG00015003138
oryzias_latipes ENSORLG00020012877
oryzias_melastigma ENSOMEG00000019852
cyprinodon_variegatus ENSCVAG00000021089
fundulus_heteroclitus ENSFHEG00000009000
amphiprion_ocellaris ENSAOCG00000019320
gasterosteus_aculeatus ENSGACG00000000457
gadus_morhua ENSGMOG00000004070
esox_lucius ENSELUG00000013056
pygocentrus_nattereri ENSPNAG00000019653
astyanax_mexicanus ENSAMXG00000034754
ictalurus_punctatus ENSIPUG00000015870
danio_rerio ENSDARG00000078847
scleropages_formosus ENSSFOG00015023292
lepisosteus_oculatus ENSLOCG00000002971
latimeria_chalumnae ENSLACG00000014397
anolis_carolinensis ENSACAG00000028435
