labrus_bergylta ENSLBEG00000011771
tetraodon_nigroviridis ENSTNIG00000000825
seriola_dumerili ENSSDUG00000019207
seriola_lalandi_dorsalis ENSSLDG00000005412
scophthalmus_maximus ENSSMAG00000003102
acanthochromis_polyacanthus ENSAPOG00000006168
amphiprion_percula ENSAPEG00000022650
stegastes_partitus ENSSPAG00000006999
poecilia_mexicana ENSPMEG00000018473
poecilia_latipinna ENSPLAG00000002991
poecilia_reticulata ENSPREG00000022935
xiphophorus_couchianus ENSXCOG00000017495
xiphophorus_maculatus ENSXMAG00000028696
fundulus_heteroclitus ENSFHEG00000019345
kryptolebias_marmoratus ENSKMAG00000015920
monopterus_albus ENSMALG00000022633
mastacembelus_armatus ENSMAMG00000013580
anabas_testudineus ENSATEG00000004287
esox_lucius ENSELUG00000011414
ictalurus_punctatus ENSIPUG00000001475
scleropages_formosus ENSSFOG00015005787
lepisosteus_oculatus ENSLOCG00000005797
ursus_maritimus ENSUMAG00000013490
ursus_americanus ENSUAMG00000020368
ailuropoda_melanoleuca ENSAMEG00000014789
neovison_vison ENSNVIG00000022599
mustela_putorius_furo ENSMPUG00000015948
canis_lupus_familiaris ENSCAFG00000032344
canis_lupus_dingo ENSCAFG00020019603
vulpes_vulpes ENSVVUG00000025926
panthera_tigris_altaica ENSPTIG00000007497
panthera_pardus ENSPPRG00000014179
felis_catus ENSFCAG00000000543
capra_hircus ENSCHIG00000017414
ovis_aries ENSOARG00000007977
bos_mutus ENSBMUG00000015055
bos_taurus ENSBTAG00000011196
bison_bison_bison ENSBBBG00000000810
sus_scrofa ENSSSCG00000033512
tursiops_truncatus ENSTTRG00000002652
pteropus_vampyrus ENSPVAG00000008620
myotis_lucifugus ENSMLUG00000003164
erinaceus_europaeus ENSEEUG00000009137
equus_asinus_asinus ENSEASG00005007247
equus_caballus ENSECAG00000019868
vicugna_pacos ENSVPAG00000002925
ochotona_princeps ENSOPRG00000003222
oryctolagus_cuniculus ENSOCUG00000015143
castor_canadensis ENSCCNG00000011037
tupaia_belangeri ENSTBEG00000003062
piliocolobus_tephrosceles ENSPTEG00000010995
colobus_angolensis_palliatus ENSCANG00000040243
rhinopithecus_roxellana ENSRROG00000038853
rhinopithecus_bieti ENSRBIG00000020453
macaca_fascicularis ENSMFAG00000038651
macaca_nemestrina ENSMNEG00000038237
macaca_mulatta ENSMMUG00000039764
theropithecus_gelada ENSTGEG00000003265
papio_anubis ENSPANG00000017892
mandrillus_leucophaeus ENSMLEG00000027801
cercocebus_atys ENSCATG00000032963
chlorocebus_sabaeus ENSCSAG00000000915
gorilla_gorilla ENSGGOG00000041359
homo_sapiens ENSG00000173369
pan_troglodytes ENSPTRG00000043586
pan_paniscus ENSPPAG00000039218
pongo_abelii ENSPPYG00000001748
nomascus_leucogenys ENSNLEG00000008329
cebus_capucinus ENSCCAG00000021430
saimiri_boliviensis_boliviensis ENSSBOG00000021816
callithrix_jacchus ENSCJAG00000048081
aotus_nancymaae ENSANAG00000032021
prolemur_simus ENSPSMG00000004435
propithecus_coquereli ENSPCOG00000028706
microcebus_murinus ENSMICG00000047215
otolemur_garnettii ENSOGAG00000011960
carlito_syrichta ENSTSYG00000032136
mus_spicilegus ENSMSIG00000005145
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027648
mus_musculus ENSMUSG00000036905
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026668
mus_pahari MGP_PahariEiJ_G0029001
rattus_norvegicus ENSRNOG00000012749
meriones_unguiculatus ENSMUGG00000020399
cricetulus_griseus_crigri ENSCGRG00000003324
cricetulus_griseus_chok1gshd ENSCGRG00001005823
cricetulus_griseus_crigri-picr ENSCGRG00015021289
mesocricetus_auratus ENSMAUG00000016429
microtus_ochrogaster ENSMOCG00000007179
peromyscus_maniculatus_bairdii ENSPEMG00000013227
nannospalax_galili ENSNGAG00000015245
jaculus_jaculus ENSJJAG00000017879
heterocephalus_glaber_female ENSHGLG00000016977
heterocephalus_glaber_male ENSHGLG00100007937
fukomys_damarensis ENSFDAG00000014218
cavia_aperea ENSCAPG00000016879
cavia_porcellus ENSCPOG00000008124
octodon_degus ENSODEG00000015143
chinchilla_lanigera ENSCLAG00000011016
dipodomys_ordii ENSDORG00000013748
spermophilus_dauricus ENSSDAG00000010189
marmota_marmota_marmota ENSMMMG00000019024
urocitellus_parryii ENSUPAG00010020826
ictidomys_tridecemlineatus ENSSTOG00000023153
dasypus_novemcinctus ENSDNOG00000039694
echinops_telfairi ENSETEG00000008876
procavia_capensis ENSPCAG00000001364
phascolarctos_cinereus ENSPCIG00000026420
monodelphis_domestica ENSMODG00000019606
sarcophilus_harrisii ENSSHAG00000014257
salvator_merianae ENSSMRG00000008818
notechis_scutatus ENSNSUG00000001857
sphenodon_punctatus ENSSPUG00000016810
apteryx_owenii ENSAOWG00000011964
apteryx_rowi ENSARWG00000000974
apteryx_haastii ENSAHAG00000015973
dromaius_novaehollandiae ENSDNVG00000015985
nothoprocta_perdicaria ENSNPEG00000004374
meleagris_gallopavo ENSMGAG00000006443
gallus_gallus ENSGALG00000004771
coturnix_japonica ENSCJPG00005006836
numida_meleagris ENSNMEG00000017446
anser_brachyrhynchus ENSABRG00000020957
anas_platyrhynchos_platyrhynchos ENSAPLG00000002995
lepidothrix_coronata ENSLCOG00000008236
manacus_vitellinus ENSMVIG00005002612
junco_hyemalis ENSJHYG00000015708
zonotrichia_albicollis ENSZALG00000011070
serinus_canaria ENSSCAG00000016420
lonchura_striata_domestica ENSLSDG00000015017
taeniopygia_guttata ENSTGUG00000017237
parus_major ENSPMJG00000002787
cyanistes_caeruleus ENSCCEG00000015572
ficedula_albicollis ENSFALG00000010401
calidris_pugnax ENSCPUG00000019929
calidris_pygmaea ENSCPGG00000004617
melopsittacus_undulatus ENSMUNG00000016261
crocodylus_porosus ENSCPRG00005014742
gopherus_agassizii ENSGAGG00000017828
chelonoidis_abingdonii ENSCABG00000014711
chrysemys_picta_bellii ENSCPBG00000010357
pelodiscus_sinensis ENSPSIG00000002084
xenopus_tropicalis ENSXETG00000010530
latimeria_chalumnae ENSLACG00000007752
