microtus_ochrogaster ENSMOCG00000014174
cricetulus_griseus_chok1gshd ENSCGRG00001009112
marmota_marmota_marmota ENSMMMG00000008308
spermophilus_dauricus ENSSDAG00000015308
piliocolobus_tephrosceles ENSPTEG00000017803
callithrix_jacchus ENSCJAG00000045962
prolemur_simus ENSPSMG00000016391
castor_canadensis ENSCCNG00000006271
bos_mutus ENSBMUG00000004965
bos_taurus ENSBTAG00000052931
bison_bison_bison ENSBBBG00000015021
rattus_norvegicus ENSRNOG00000047236
mus_spicilegus ENSMSIG00000016016
meriones_unguiculatus ENSMUGG00000015051
theropithecus_gelada ENSTGEG00000014644
vulpes_vulpes ENSVVUG00000021726
ursus_maritimus ENSUMAG00000008990
