saimiri_boliviensis_boliviensis ENSSBOG00000021195
callithrix_jacchus ENSCJAG00000017640
cebus_capucinus ENSCCAG00000028050
aotus_nancymaae ENSANAG00000020970
pan_troglodytes ENSPTRG00000011492
pan_paniscus ENSPPAG00000026460
gorilla_gorilla ENSGGOG00000009047
homo_sapiens ENSG00000080031
pongo_abelii ENSPPYG00000010405
nomascus_leucogenys ENSNLEG00000010869
rhinopithecus_bieti ENSRBIG00000039823
rhinopithecus_roxellana ENSRROG00000030480
colobus_angolensis_palliatus ENSCANG00000033006
piliocolobus_tephrosceles ENSPTEG00000039696
macaca_mulatta ENSMMUG00000028717
macaca_fascicularis ENSMFAG00000045778
macaca_nemestrina ENSMNEG00000045368
cercocebus_atys ENSCATG00000039286
chlorocebus_sabaeus ENSCSAG00000001754
mandrillus_leucophaeus ENSMLEG00000031052
papio_anubis ENSPANG00000016443
carlito_syrichta ENSTSYG00000008587
propithecus_coquereli ENSPCOG00000016743
prolemur_simus ENSPSMG00000007349
microcebus_murinus ENSMICG00000016632
otolemur_garnettii ENSOGAG00000016243
tupaia_belangeri ENSTBEG00000002298
ochotona_princeps ENSOPRG00000008808
chinchilla_lanigera ENSCLAG00000000594
octodon_degus ENSODEG00000012643
fukomys_damarensis ENSFDAG00000000219
heterocephalus_glaber_female ENSHGLG00000016036
cavia_porcellus ENSCPOG00000026559
ictidomys_tridecemlineatus ENSSTOG00000025588
spermophilus_dauricus ENSSDAG00000007868
urocitellus_parryii ENSUPAG00010017293
marmota_marmota_marmota ENSMMMG00000001933
castor_canadensis ENSCCNG00000022117
mus_musculus ENSMUSG00000035429
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030171
mus_spicilegus ENSMSIG00000002795
rattus_norvegicus ENSRNOG00000058906
meriones_unguiculatus ENSMUGG00000016772
cricetulus_griseus_crigri-picr ENSCGRG00015027518
cricetulus_griseus_crigri ENSCGRG00000002028
cricetulus_griseus_chok1gshd ENSCGRG00001021207
mesocricetus_auratus ENSMAUG00000001061
nannospalax_galili ENSNGAG00000018436
jaculus_jaculus ENSJJAG00000015231
sus_scrofa ENSSSCG00000024567
pteropus_vampyrus ENSPVAG00000007299
sorex_araneus ENSSARG00000010175
sorex_araneus ENSSARG00000014028
erinaceus_europaeus ENSEEUG00000013348
equus_asinus_asinus ENSEASG00005020951
equus_caballus ENSECAG00000009454
capra_hircus ENSCHIG00000017601
ovis_aries ENSOARG00000001713
bos_taurus ENSBTAG00000040559
ailuropoda_melanoleuca ENSAMEG00000003549
ursus_maritimus ENSUMAG00000024658
neovison_vison ENSNVIG00000011965
mustela_putorius_furo ENSMPUG00000007675
canis_lupus_familiaris ENSCAFG00000002611
canis_lupus_dingo ENSCAFG00020016679
panthera_tigris_altaica ENSPTIG00000016064
panthera_pardus ENSPPRG00000011709
felis_catus ENSFCAG00000005631
ursus_americanus ENSUAMG00000017656
vulpes_vulpes ENSVVUG00000007237
oryctolagus_cuniculus ENSOCUG00000006762
choloepus_hoffmanni ENSCHOG00000004653
dasypus_novemcinctus ENSDNOG00000036454
mustela_putorius_furo ENSMPUG00000001799
loxodonta_africana ENSLAFG00000003460
procavia_capensis ENSPCAG00000003514
echinops_telfairi ENSETEG00000003488
mus_pahari MGP_PahariEiJ_G0020987
phascolarctos_cinereus ENSPCIG00000013218
monodelphis_domestica ENSMODG00000016383
ornithorhynchus_anatinus ENSOANG00000029413
ornithorhynchus_anatinus ENSOANG00000028681
