seriola_lalandi_dorsalis ENSSLDG00000012335
scophthalmus_maximus ENSSMAG00000019788
anabas_testudineus ENSATEG00000007115
acanthochromis_polyacanthus ENSAPOG00000004238
amphiprion_percula ENSAPEG00000003391
stegastes_partitus ENSSPAG00000015985
xiphophorus_maculatus ENSXMAG00000026128
xiphophorus_couchianus ENSXCOG00000015108
poecilia_reticulata ENSPREG00000008904
cyprinodon_variegatus ENSCVAG00000007093
kryptolebias_marmoratus ENSKMAG00000005603
oryzias_latipes ENSORLG00000022595
oryzias_latipes ENSORLG00020001040
oryzias_latipes_asm223469v1 ENSORLG00015009134
oryzias_melastigma ENSOMEG00000006364
periophthalmus_magnuspinnatus ENSPMGG00000019630
esox_lucius ENSELUG00000021461
pygocentrus_nattereri ENSPNAG00000002092
ictalurus_punctatus ENSIPUG00000000123
astyanax_mexicanus ENSAMXG00000044115
danio_rerio ENSDARG00000093709
paramormyrops_kingsleyae ENSPKIG00000000929
lepisosteus_oculatus ENSLOCG00000000425
pelodiscus_sinensis ENSPSIG00000007998
apteryx_haastii ENSAHAG00000008674
