amphiprion_percula ENSAPEG00000009465
amphiprion_ocellaris ENSAOCG00000004787
amphilophus_citrinellus ENSACIG00000011928
oryzias_latipes ENSORLG00020006789
oryzias_latipes ENSORLG00000011576
oryzias_latipes_asm223469v1 ENSORLG00015012720
oryzias_melastigma ENSOMEG00000011537
poecilia_mexicana ENSPMEG00000024278
poecilia_reticulata ENSPREG00000008834
gambusia_affinis ENSGAFG00000013695
xiphophorus_maculatus ENSXMAG00000022465
xiphophorus_couchianus ENSXCOG00000019398
seriola_lalandi_dorsalis ENSSLDG00000022869
seriola_dumerili ENSSDUG00000009605
scophthalmus_maximus ENSSMAG00000012531
anabas_testudineus ENSATEG00000022272
monopterus_albus ENSMALG00000010132
periophthalmus_magnuspinnatus ENSPMGG00000022951
hippocampus_comes ENSHCOG00000019233
labrus_bergylta ENSLBEG00000016031
mola_mola ENSMMOG00000016616
paramormyrops_kingsleyae ENSPKIG00000001769
