amphilophus_citrinellus ENSACIG00000012076
acanthochromis_polyacanthus ENSAPOG00000008555
mastacembelus_armatus ENSMAMG00000017267
mastacembelus_armatus ENSMAMG00000017336
mastacembelus_armatus ENSMAMG00000013716
danio_rerio ENSDARG00000111601
danio_rerio ENSDARG00000110912
mastacembelus_armatus ENSMAMG00000006768
monopterus_albus ENSMALG00000012607
seriola_lalandi_dorsalis ENSSLDG00000007466
ictalurus_punctatus ENSIPUG00000009277
ictalurus_punctatus ENSIPUG00000004086
pygocentrus_nattereri ENSPNAG00000027199
danio_rerio ENSDARG00000109467
seriola_dumerili ENSSDUG00000001684
paramormyrops_kingsleyae ENSPKIG00000023892
eptatretus_burgeri ENSEBUG00000004632
