cricetulus_griseus_crigri ENSCGRG00000011566
cricetulus_griseus_chok1gshd ENSCGRG00001015763
cricetulus_griseus_crigri-picr ENSCGRG00015023606
mesocricetus_auratus ENSMAUG00000015457
microtus_ochrogaster ENSMOCG00000012220
peromyscus_maniculatus_bairdii ENSPEMG00000009549
mus_spicilegus ENSMSIG00000020611
mus_musculus ENSMUSG00000031554
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032035
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030916
mus_pahari MGP_PahariEiJ_G0021386
rattus_norvegicus ENSRNOG00000017518
meriones_unguiculatus ENSMUGG00000024857
nannospalax_galili ENSNGAG00000011179
jaculus_jaculus ENSJJAG00000004291
dipodomys_ordii ENSDORG00000002119
cavia_porcellus ENSCPOG00000010554
cavia_aperea ENSCAPG00000006211
chinchilla_lanigera ENSCLAG00000001686
heterocephalus_glaber_female ENSHGLG00000004079
heterocephalus_glaber_male ENSHGLG00100011573
urocitellus_parryii ENSUPAG00010010345
marmota_marmota_marmota ENSMMMG00000016303
tupaia_belangeri ENSTBEG00000010176
prolemur_simus ENSPSMG00000003090
pan_troglodytes ENSPTRG00000044354
pan_paniscus ENSPPAG00000039719
pongo_abelii ENSPPYG00000018533
nomascus_leucogenys ENSNLEG00000031652
rhinopithecus_roxellana ENSRROG00000031423
rhinopithecus_bieti ENSRBIG00000035802
piliocolobus_tephrosceles ENSPTEG00000035879
cercocebus_atys ENSCATG00000031933
mandrillus_leucophaeus ENSMLEG00000039836
theropithecus_gelada ENSTGEG00000010042
papio_anubis ENSPANG00000012877
macaca_fascicularis ENSMFAG00000044676
macaca_mulatta ENSMMUG00000001496
macaca_nemestrina ENSMNEG00000045553
chlorocebus_sabaeus ENSCSAG00000015309
callithrix_jacchus ENSCJAG00000002240
saimiri_boliviensis_boliviensis ENSSBOG00000031321
oryctolagus_cuniculus ENSOCUG00000005475
otolemur_garnettii ENSOGAG00000028744
echinops_telfairi ENSETEG00000009498
bison_bison_bison ENSBBBG00000002527
bos_mutus ENSBMUG00000004252
bos_taurus ENSBTAG00000040445
ovis_aries ENSOARG00000001975
sus_scrofa ENSSSCG00000015806
myotis_lucifugus ENSMLUG00000011321
ailuropoda_melanoleuca ENSAMEG00000002095
ursus_maritimus ENSUMAG00000009360
neovison_vison ENSNVIG00000010242
mustela_putorius_furo ENSMPUG00000009472
vulpes_vulpes ENSVVUG00000020250
canis_lupus_dingo ENSCAFG00020002493
canis_lupus_familiaris ENSCAFG00000005832
panthera_pardus ENSPPRG00000009638
panthera_tigris_altaica ENSPTIG00000018771
felis_catus ENSFCAG00000000589
tursiops_truncatus ENSTTRG00000014411
vicugna_pacos ENSVPAG00000008893
erinaceus_europaeus ENSEEUG00000000896
pteropus_vampyrus ENSPVAG00000008062
equus_caballus ENSECAG00000024117
equus_caballus ENSECAG00000023147
ochotona_princeps ENSOPRG00000002051
dasypus_novemcinctus ENSDNOG00000004538
choloepus_hoffmanni ENSCHOG00000001747
