amphilophus_citrinellus ENSACIG00000005704
neolamprologus_brichardi ENSNBRG00000008160
takifugu_rubripes ENSTRUG00000025193
periophthalmus_magnuspinnatus ENSPMGG00000009514
astatotilapia_calliptera ENSACLG00000000381
pundamilia_nyererei ENSPNYG00000024099
neolamprologus_brichardi ENSNBRG00000004096
poecilia_mexicana ENSPMEG00000023168
poecilia_latipinna ENSPLAG00000017642
xiphophorus_maculatus ENSXMAG00000029296
anabas_testudineus ENSATEG00000023042
monopterus_albus ENSMALG00000002451
scophthalmus_maximus ENSSMAG00000001569
labrus_bergylta ENSLBEG00000011495
periophthalmus_magnuspinnatus ENSPMGG00000013892
pygocentrus_nattereri ENSPNAG00000014540
