ursus_americanus ENSUAMG00000009478
ursus_maritimus ENSUMAG00000014139
ailuropoda_melanoleuca ENSAMEG00000007602
neovison_vison ENSNVIG00000011305
mustela_putorius_furo ENSMPUG00000015510
vulpes_vulpes ENSVVUG00000011100
vulpes_vulpes ENSVVUG00000010988
canis_lupus_familiaris ENSCAFG00000017201
felis_catus ENSFCAG00000040195
sorex_araneus ENSSARG00000009747
myotis_lucifugus ENSMLUG00000005613
pteropus_vampyrus ENSPVAG00000009704
equus_caballus ENSECAG00000001014
equus_asinus_asinus ENSEASG00005017052
capra_hircus ENSCHIG00000014984
ovis_aries ENSOARG00000003559
bos_mutus ENSBMUG00000019422
bos_taurus ENSBTAG00000020070
bison_bison_bison ENSBBBG00000016002
tursiops_truncatus ENSTTRG00000000220
sus_scrofa ENSSSCG00000017561
canis_lupus_dingo ENSCAFG00020024221
canis_lupus_dingo ENSCAFG00020024216
rattus_norvegicus ENSRNOG00000057978
panthera_tigris_altaica ENSPTIG00000013501
otolemur_garnettii ENSOGAG00000034471
felis_catus ENSFCAG00000012340
erinaceus_europaeus ENSEEUG00000000948
chinchilla_lanigera ENSCLAG00000011690
octodon_degus ENSODEG00000016316
cavia_porcellus ENSCPOG00000013296
cavia_aperea ENSCAPG00000016814
heterocephalus_glaber_female ENSHGLG00000011309
heterocephalus_glaber_male ENSHGLG00100018623
fukomys_damarensis ENSFDAG00000007121
ictidomys_tridecemlineatus ENSSTOG00000027974
urocitellus_parryii ENSUPAG00010001779
spermophilus_dauricus ENSSDAG00000013760
marmota_marmota_marmota ENSMMMG00000021416
castor_canadensis ENSCCNG00000004924
dipodomys_ordii ENSDORG00000004963
microtus_ochrogaster ENSMOCG00000011138
microtus_ochrogaster ENSMOCG00000013091
mesocricetus_auratus ENSMAUG00000001026
mesocricetus_auratus ENSMAUG00000011672
cricetulus_griseus_chok1gshd ENSCGRG00001010018
cricetulus_griseus_crigri ENSCGRG00000002230
cricetulus_griseus_crigri-picr ENSCGRG00015023192
peromyscus_maniculatus_bairdii ENSPEMG00000021277
mus_musculus ENSMUSG00000020865
mus_spicilegus ENSMSIG00000007369
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017825
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016979
mus_pahari MGP_PahariEiJ_G0018110
rattus_norvegicus ENSRNOG00000002948
meriones_unguiculatus ENSMUGG00000004532
nannospalax_galili ENSNGAG00000019992
jaculus_jaculus ENSJJAG00000011383
oryctolagus_cuniculus ENSOCUG00000002754
ochotona_princeps ENSOPRG00000013477
tupaia_belangeri ENSTBEG00000006360
pan_troglodytes ENSPTRG00000009406
pan_paniscus ENSPPAG00000037760
homo_sapiens ENSG00000108846
gorilla_gorilla ENSGGOG00000003404
pongo_abelii ENSPPYG00000008276
nomascus_leucogenys ENSNLEG00000007870
piliocolobus_tephrosceles ENSPTEG00000039254
colobus_angolensis_palliatus ENSCANG00000034530
rhinopithecus_bieti ENSRBIG00000036905
rhinopithecus_roxellana ENSRROG00000040108
mandrillus_leucophaeus ENSMLEG00000030466
cercocebus_atys ENSCATG00000045059
theropithecus_gelada ENSTGEG00000025235
macaca_mulatta ENSMMUG00000003414
macaca_fascicularis ENSMFAG00000040341
macaca_nemestrina ENSMNEG00000032187
papio_anubis ENSPANG00000022459
chlorocebus_sabaeus ENSCSAG00000005481
saimiri_boliviensis_boliviensis ENSSBOG00000034250
cebus_capucinus ENSCCAG00000030521
callithrix_jacchus ENSCJAG00000018609
aotus_nancymaae ENSANAG00000030499
carlito_syrichta ENSTSYG00000011928
prolemur_simus ENSPSMG00000009634
microcebus_murinus ENSMICG00000009822
propithecus_coquereli ENSPCOG00000022785
otolemur_garnettii ENSOGAG00000004530
otolemur_garnettii ENSOGAG00000032112
loxodonta_africana ENSLAFG00000007037
procavia_capensis ENSPCAG00000009225
echinops_telfairi ENSETEG00000009934
dasypus_novemcinctus ENSDNOG00000046300
