panthera_tigris_altaica ENSPTIG00000020343
panthera_pardus ENSPPRG00000024750
felis_catus ENSFCAG00000044514
bos_mutus ENSBMUG00000020451
bison_bison_bison ENSBBBG00000009999
capra_hircus ENSCHIG00000014087
mus_spicilegus ENSMSIG00000028849
castor_canadensis ENSCCNG00000001173
vulpes_vulpes ENSVVUG00000009944
ursus_americanus ENSUAMG00000003941
pan_troglodytes ENSPTRG00000045996
pan_troglodytes ENSPTRG00000047183
pan_paniscus ENSPPAG00000025234
nomascus_leucogenys ENSNLEG00000031754
macaca_mulatta ENSMMUG00000029385
macaca_fascicularis ENSMFAG00000045685
theropithecus_gelada ENSTGEG00000007425
callithrix_jacchus ENSCJAG00000047943
cebus_capucinus ENSCCAG00000029454
carlito_syrichta ENSTSYG00000031237
cercocebus_atys ENSCATG00000041154
macaca_fascicularis ENSMFAG00000046138
mandrillus_leucophaeus ENSMLEG00000037199
cercocebus_atys ENSCATG00000042776
papio_anubis ENSPANG00000035623
macaca_nemestrina ENSMNEG00000045511
theropithecus_gelada ENSTGEG00000007443
piliocolobus_tephrosceles ENSPTEG00000013753
piliocolobus_tephrosceles ENSPTEG00000020035
rhinopithecus_bieti ENSRBIG00000030605
rhinopithecus_roxellana ENSRROG00000012691
colobus_angolensis_palliatus ENSCANG00000009412
propithecus_coquereli ENSPCOG00000021230
microcebus_murinus ENSMICG00000042348
prolemur_simus ENSPSMG00000009077
