gallus_gallus ENSGALG00000001905
meleagris_gallopavo ENSMGAG00000003623
coturnix_japonica ENSCJPG00005009802
numida_meleagris ENSNMEG00000015075
anser_brachyrhynchus ENSABRG00000001492
calidris_pygmaea ENSCPGG00000017965
calidris_pugnax ENSCPUG00000004757
melopsittacus_undulatus ENSMUNG00000009983
lepidothrix_coronata ENSLCOG00000006317
manacus_vitellinus ENSMVIG00005010104
lonchura_striata_domestica ENSLSDG00000011892
taeniopygia_guttata ENSTGUG00000004526
serinus_canaria ENSSCAG00000006060
cyanistes_caeruleus ENSCCEG00000004867
parus_major ENSPMJG00000018974
zonotrichia_albicollis ENSZALG00000010572
junco_hyemalis ENSJHYG00000012981
ficedula_albicollis ENSFALG00000009561
apteryx_owenii ENSAOWG00000017534
apteryx_haastii ENSAHAG00000006565
apteryx_rowi ENSARWG00000005139
dromaius_novaehollandiae ENSDNVG00000007070
nothoprocta_perdicaria ENSNPEG00000001386
anas_platyrhynchos_platyrhynchos ENSAPLG00000022051
crocodylus_porosus ENSCPRG00005005904
chelonoidis_abingdonii ENSCABG00000001982
gopherus_agassizii ENSGAGG00000016122
chrysemys_picta_bellii ENSCPBG00000027779
pelodiscus_sinensis ENSPSIG00000010834
pogona_vitticeps ENSPVIG00000010176
anolis_carolinensis ENSACAG00000000996
salvator_merianae ENSSMRG00000003270
notechis_scutatus ENSNSUG00000009223
sphenodon_punctatus ENSSPUG00000006368
nomascus_leucogenys ENSNLEG00000008404
nomascus_leucogenys ENSNLEG00000027624
pan_troglodytes ENSPTRG00000019326
pan_troglodytes ENSPTRG00000045503
pan_troglodytes ENSPTRG00000043527
pan_troglodytes ENSPTRG00000043322
homo_sapiens ENSG00000091073
gorilla_gorilla ENSGGOG00000005455
pongo_abelii ENSPPYG00000017463
cercocebus_atys ENSCATG00000012083
mandrillus_leucophaeus ENSMLEG00000034927
papio_anubis ENSPANG00000023063
theropithecus_gelada ENSTGEG00000005853
macaca_mulatta ENSMMUG00000017570
macaca_nemestrina ENSMNEG00000035115
macaca_fascicularis ENSMFAG00000037159
chlorocebus_sabaeus ENSCSAG00000018121
rhinopithecus_bieti ENSRBIG00000033093
rhinopithecus_roxellana ENSRROG00000026439
colobus_angolensis_palliatus ENSCANG00000035495
piliocolobus_tephrosceles ENSPTEG00000019769
saimiri_boliviensis_boliviensis ENSSBOG00000026278
cebus_capucinus ENSCCAG00000019548
callithrix_jacchus ENSCJAG00000016235
aotus_nancymaae ENSANAG00000002837
carlito_syrichta ENSTSYG00000034820
carlito_syrichta ENSTSYG00000030365
propithecus_coquereli ENSPCOG00000028216
prolemur_simus ENSPSMG00000011286
microcebus_murinus ENSMICG00000014104
otolemur_garnettii ENSOGAG00000013063
castor_canadensis ENSCCNG00000017393
dipodomys_ordii ENSDORG00000014423
cricetulus_griseus_crigri-picr ENSCGRG00015005643
cricetulus_griseus_chok1gshd ENSCGRG00001016639
mesocricetus_auratus ENSMAUG00000018646
microtus_ochrogaster ENSMOCG00000021364
peromyscus_maniculatus_bairdii ENSPEMG00000008915
mus_spicilegus ENSMSIG00000011974
mus_musculus ENSMUSG00000004947
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028849
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027848
mus_pahari MGP_PahariEiJ_G0024430
rattus_norvegicus ENSRNOG00000001432
meriones_unguiculatus ENSMUGG00000001766
nannospalax_galili ENSNGAG00000023472
