ictalurus_punctatus ENSIPUG00000001450
electrophorus_electricus ENSEEEG00000020293
astyanax_mexicanus ENSAMXG00000043360
astyanax_mexicanus ENSAMXG00005006770
pygocentrus_nattereri ENSPNAG00000020973
danio_rerio ENSDARG00000100742
oryzias_latipes ENSORLG00015016865
oryzias_latipes ENSORLG00000014495
oryzias_latipes ENSORLG00020003582
oryzias_melastigma ENSOMEG00000012558
betta_splendens ENSBSLG00000014587
takifugu_rubripes ENSTRUG00000010796
tetraodon_nigroviridis ENSTNIG00000019441
labrus_bergylta ENSLBEG00000024745
pundamilia_nyererei ENSPNYG00000003758
xiphophorus_couchianus ENSXCOG00000016266
xiphophorus_maculatus ENSXMAG00000016377
gambusia_affinis ENSGAFG00000007874
poecilia_formosa ENSPFOG00000005207
poecilia_latipinna ENSPLAG00000000824
poecilia_mexicana ENSPMEG00000023415
poecilia_reticulata ENSPREG00000013185
cyprinodon_variegatus ENSCVAG00000002731
fundulus_heteroclitus ENSFHEG00000011777
kryptolebias_marmoratus ENSKMAG00000011733
gouania_willdenowi ENSGWIG00000024032
mola_mola ENSMMOG00000018844
scophthalmus_maximus ENSSMAG00000006975
cynoglossus_semilaevis ENSCSEG00000009866
larimichthys_crocea ENSLCRG00005022635
gasterosteus_aculeatus ENSGACG00000018641
parambassis_ranga ENSPRNG00000015242
anabas_testudineus ENSATEG00000010811
seriola_dumerili ENSSDUG00000018646
seriola_lalandi ENSSLDG00000017457
lates_calcarifer ENSLCAG00010013112
cottoperca_gobio ENSCGOG00000017324
amphiprion_ocellaris ENSAOCG00000023018
amphiprion_percula ENSAPEG00000013643
acanthochromis_polyacanthus ENSAPOG00000005799
stegastes_partitus ENSSPAG00000006976
haplochromis_burtoni ENSHBUG00000006137
maylandia_zebra ENSMZEG00005010944
astatotilapia_calliptera ENSACLG00000022805
neolamprologus_brichardi ENSNBRG00000007088
oreochromis_niloticus ENSONIG00000011217
amphilophus_citrinellus ENSACIG00000010680
mastacembelus_armatus ENSMAMG00000022750
monopterus_albus ENSMALG00000013357
hippocampus_comes ENSHCOG00000014231
periophthalmus_magnuspinnatus ENSPMGG00000005788
gadus_morhua ENSGMOG00000001465
hucho_hucho ENSHHUG00000006159
esox_lucius ENSELUG00000016783
denticeps_clupeoides ENSDCDG00000025181
tetraodon_nigroviridis ENSTNIG00000005966
scleropages_formosus ENSSFOG00015007125
paramormyrops_kingsleyae ENSPKIG00000024686
clupea_harengus ENSCHAG00000018041
lepisosteus_oculatus ENSLOCG00000009034
erpetoichthys_calabaricus ENSECRG00000005512
gallus_gallus ENSGALG00000023157
coturnix_japonica ENSCJPG00005009624
numida_meleagris ENSNMEG00000002052
anser_brachyrhynchus ENSABRG00000003205
calidris_pugnax ENSCPUG00000015682
melopsittacus_undulatus ENSMUNG00000001963
parus_major ENSPMJG00000012732
cyanistes_caeruleus ENSCCEG00000009665
serinus_canaria ENSSCAG00000014799
lonchura_striata ENSLSDG00000008439
taeniopygia_guttata ENSTGUG00000001029
ficedula_albicollis ENSFALG00000000044
lepidothrix_coronata ENSLCOG00000004455
manacus_vitellinus ENSMVIG00005018740
nothoprocta_perdicaria ENSNPEG00000009379
crocodylus_porosus ENSCPRG00005006525
dromaius_novaehollandiae ENSDNVG00000015249
apteryx_rowi ENSARWG00000000767
apteryx_haastii ENSAHAG00000010865
apteryx_owenii ENSAOWG00000013959
meleagris_gallopavo ENSMGAG00000006779
anas_platyrhynchos ENSAPLG00000002639
calidris_pygmaea ENSCPGG00000004076
chrysemys_picta ENSCPBG00000013901
gopherus_agassizii ENSGAGG00000025301
chelonoidis_abingdonii ENSCABG00000011267
pelodiscus_sinensis ENSPSIG00000013836
pogona_vitticeps ENSPVIG00000010951
pogona_vitticeps ENSPVIG00000025284
pogona_vitticeps ENSPVIG00000019875
anolis_carolinensis ENSACAG00000007552
notechis_scutatus ENSNSUG00000013152
salvator_merianae ENSSMRG00000002712
sphenodon_punctatus ENSSPUG00000015776
vombatus_ursinus ENSVURG00010015830
phascolarctos_cinereus ENSPCIG00000010249
notamacropus_eugenii ENSMEUG00000006088
sarcophilus_harrisii ENSSHAG00000013197
monodelphis_domestica ENSMODG00000013272
carlito_syrichta ENSTSYG00000011823
carlito_syrichta ENSTSYG00000036616
canis_lupus ENSCAFG00000007330
myotis_lucifugus ENSMLUG00000017082
spermophilus_dauricus ENSSDAG00000017434
urocitellus_parryii ENSUPAG00010021926
ictidomys_tridecemlineatus ENSSTOG00000028638
castor_canadensis ENSCCNG00000021826
heterocephalus_glaber ENSHGLG00100015841
heterocephalus_glaber ENSHGLG00000018574
fukomys_damarensis ENSFDAG00000020862
cavia_aperea ENSCAPG00000015490
cavia_porcellus ENSCPOG00000040258
octodon_degus ENSODEG00000003116
mus_spicilegus ENSMSIG00000003595
mus_spretus MGP_SPRETEiJ_G0022999
mus_musculus ENSMUSG00000005873
mus_caroli MGP_CAROLIEiJ_G0022087
mus_pahari MGP_PahariEiJ_G0018821
rattus_norvegicus ENSRNOG00000020167
meriones_unguiculatus ENSMUGG00000005059
cricetulus_griseus ENSCGRG00001011292
mesocricetus_auratus ENSMAUG00000017436
microtus_ochrogaster ENSMOCG00000013531
nannospalax_galili ENSNGAG00000023958
chlorocebus_sabaeus ENSCSAG00000014928
theropithecus_gelada ENSTGEG00000010708
colobus_angolensis ENSCANG00000030904
homo_sapiens ENSG00000129625
gorilla_gorilla ENSGGOG00000037456
nomascus_leucogenys ENSNLEG00000011580
piliocolobus_tephrosceles ENSPTEG00000037726
macaca_mulatta ENSMMUG00000020488
rhinopithecus_bieti ENSRBIG00000033571
rhinopithecus_roxellana ENSRROG00000023694
macaca_fascicularis ENSMFAG00000032842
macaca_nemestrina ENSMNEG00000045008
mandrillus_leucophaeus ENSMLEG00000040632
papio_anubis ENSPANG00000003025
cercocebus_atys ENSCATG00000044196
pan_troglodytes ENSPTRG00000017137
pan_paniscus ENSPPAG00000026840
cebus_capucinus ENSCCAG00000033540
callithrix_jacchus ENSCJAG00000016517
aotus_nancymaae ENSANAG00000031617
propithecus_coquereli ENSPCOG00000023768
prolemur_simus ENSPSMG00000025189
microcebus_murinus ENSMICG00000013779
microcebus_murinus ENSMICG00000027131
prolemur_simus ENSPSMG00000012727
otolemur_garnettii ENSOGAG00000008581
bos_indicus ENSBIXG00000014156
bos_taurus ENSBTAG00000012804
bos_indicus ENSBIXG00005021148
capra_hircus ENSCHIG00000021189
tursiops_truncatus ENSTTRG00000001691
equus_caballus ENSECAG00000007767
equus_asinus ENSEASG00005015179
erinaceus_europaeus ENSEEUG00000001892
pteropus_vampyrus ENSPVAG00000006293
mustela_putorius ENSMPUG00000012722
neovison_vison ENSNVIG00000021167
ursus_maritimus ENSUMAG00000016998
ursus_americanus ENSUAMG00000000123
ailuropoda_melanoleuca ENSAMEG00000012613
canis_lupus ENSCAFG00020014303
panthera_tigris ENSPTIG00000021387
panthera_pardus ENSPPRG00000017537
felis_catus ENSFCAG00000028504
choloepus_hoffmanni ENSCHOG00000013461
dasypus_novemcinctus ENSDNOG00000045143
loxodonta_africana ENSLAFG00000027602
pongo_abelii ENSPPYG00000015687
saimiri_boliviensis ENSSBOG00000028078
marmota_marmota ENSMMMG00000009004
dipodomys_ordii ENSDORG00000004706
peromyscus_maniculatus ENSPEMG00000024466
jaculus_jaculus ENSJJAG00000015726
chinchilla_lanigera ENSCLAG00000004739
ochotona_princeps ENSOPRG00000008309
tupaia_belangeri ENSTBEG00000014146
sorex_araneus ENSSARG00000000632
vulpes_vulpes ENSVVUG00000012411
oryctolagus_cuniculus ENSOCUG00000035847
oryctolagus_cuniculus ENSOCUG00000026476
cricetulus_griseus ENSCGRG00015001418
cricetulus_griseus ENSCGRG00000010109
bison_bison ENSBBBG00000021211
bos_mutus ENSBMUG00000003125
ovis_aries ENSOARG00000016050
sus_scrofa ENSSSCG00000022048
echinops_telfairi ENSETEG00000010270
canis_lupus ENSCAFG00000049827
zonotrichia_albicollis ENSZALG00000010026
ornithorhynchus_anatinus ENSOANG00000011140
latimeria_chalumnae ENSLACG00000001379
callorhinchus_milii ENSCMIG00000017606
xenopus_tropicalis ENSXETG00000000323
petromyzon_marinus ENSPMAG00000000854
eptatretus_burgeri ENSEBUG00000004181
drosophila_melanogaster FBgn0033906
drosophila_melanogaster FBgn0039371
