seriola_dumerili ENSSDUG00000002163
seriola_lalandi_dorsalis ENSSLDG00000015660
anabas_testudineus ENSATEG00000023947
amphiprion_percula ENSAPEG00000002867
amphiprion_ocellaris ENSAOCG00000013539
acanthochromis_polyacanthus ENSAPOG00000023994
stegastes_partitus ENSSPAG00000003278
maylandia_zebra ENSMZEG00005022440
pundamilia_nyererei ENSPNYG00000005912
astatotilapia_calliptera ENSACLG00000017629
haplochromis_burtoni ENSHBUG00000004761
neolamprologus_brichardi ENSNBRG00000005898
oreochromis_niloticus ENSONIG00000006217
amphilophus_citrinellus ENSACIG00000011199
fundulus_heteroclitus ENSFHEG00000018512
cyprinodon_variegatus ENSCVAG00000001843
poecilia_latipinna ENSPLAG00000011309
poecilia_latipinna ENSPLAG00000011341
poecilia_formosa ENSPFOG00000010100
poecilia_formosa ENSPFOG00000010353
poecilia_mexicana ENSPMEG00000011203
poecilia_reticulata ENSPREG00000016499
xiphophorus_couchianus ENSXCOG00000019590
xiphophorus_maculatus ENSXMAG00000028452
gambusia_affinis ENSGAFG00000015101
kryptolebias_marmoratus ENSKMAG00000003334
oryzias_latipes ENSORLG00020010999
oryzias_latipes_asm223469v1 ENSORLG00015016989
oryzias_latipes ENSORLG00000009461
oryzias_melastigma ENSOMEG00000006101
gasterosteus_aculeatus ENSGACG00000012247
scophthalmus_maximus ENSSMAG00000017733
cynoglossus_semilaevis ENSCSEG00000001878
labrus_bergylta ENSLBEG00000006010
mastacembelus_armatus ENSMAMG00000013253
monopterus_albus ENSMALG00000003023
gadus_morhua ENSGMOG00000008021
esox_lucius ENSELUG00000010813
pygocentrus_nattereri ENSPNAG00000020427
astyanax_mexicanus ENSAMXG00000039023
ictalurus_punctatus ENSIPUG00000008937
danio_rerio ENSDARG00000095796
scleropages_formosus ENSSFOG00015021017
