otolemur_garnettii ENSOGAG00000008196
prolemur_simus ENSPSMG00000017051
piliocolobus_tephrosceles ENSPTEG00000014168
colobus_angolensis_palliatus ENSCANG00000005225
rhinopithecus_bieti ENSRBIG00000026594
rhinopithecus_roxellana ENSRROG00000037990
macaca_fascicularis ENSMFAG00000018924
macaca_nemestrina ENSMNEG00000004089
macaca_mulatta ENSMMUG00000016467
cercocebus_atys ENSCATG00000015662
papio_anubis ENSPANG00000018181
theropithecus_gelada ENSTGEG00000003670
mandrillus_leucophaeus ENSMLEG00000027363
chlorocebus_sabaeus ENSCSAG00000019564
pan_paniscus ENSPPAG00000026637
pan_troglodytes ENSPTRG00000049150
homo_sapiens ENSG00000187682
gorilla_gorilla ENSGGOG00000004536
pongo_abelii ENSPPYG00000020321
nomascus_leucogenys ENSNLEG00000018585
callithrix_jacchus ENSCJAG00000040987
peromyscus_maniculatus_bairdii ENSPEMG00000018814
microtus_ochrogaster ENSMOCG00000017489
cricetulus_griseus_chok1gshd ENSCGRG00001013193
cricetulus_griseus_crigri ENSCGRG00000001013
cricetulus_griseus_crigri-picr ENSCGRG00015004253
cricetulus_griseus_crigri-picr ENSCGRG00015003349
cricetulus_griseus_crigri-picr ENSCGRG00015000538
cricetulus_griseus_chok1gshd ENSCGRG00001012888
cricetulus_griseus_crigri ENSCGRG00000017202
cricetulus_griseus_crigri-picr ENSCGRG00015004306
cricetulus_griseus_crigri-picr ENSCGRG00015009325
cricetulus_griseus_crigri ENSCGRG00000015793
cricetulus_griseus_chok1gshd ENSCGRG00001014250
cricetulus_griseus_crigri-picr ENSCGRG00015007112
cricetulus_griseus_crigri ENSCGRG00000019480
cricetulus_griseus_chok1gshd ENSCGRG00001001303
mesocricetus_auratus ENSMAUG00000003962
mus_musculus ENSMUSG00000031160
mus_spicilegus ENSMSIG00000019694
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034056
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032907
mus_pahari MGP_PahariEiJ_G0031456
rattus_norvegicus ENSRNOG00000042470
rattus_norvegicus ENSRNOG00000048396
meriones_unguiculatus ENSMUGG00000008870
meriones_unguiculatus ENSMUGG00000011031
nannospalax_galili ENSNGAG00000014397
jaculus_jaculus ENSJJAG00000017194
castor_canadensis ENSCCNG00000016675
marmota_marmota_marmota ENSMMMG00000012156
marmota_marmota_marmota ENSMMMG00000017720
urocitellus_parryii ENSUPAG00010002926
ictidomys_tridecemlineatus ENSSTOG00000028430
spermophilus_dauricus ENSSDAG00000021272
tupaia_belangeri ENSTBEG00000006022
ailuropoda_melanoleuca ENSAMEG00000019682
ursus_americanus ENSUAMG00000010942
neovison_vison ENSNVIG00000006780
canis_lupus_dingo ENSCAFG00020020329
vulpes_vulpes ENSVVUG00000017770
canis_lupus_familiaris ENSCAFG00000015652
panthera_pardus ENSPPRG00000022016
panthera_tigris_altaica ENSPTIG00000003826
pteropus_vampyrus ENSPVAG00000007641
myotis_lucifugus ENSMLUG00000028170
bos_taurus ENSBTAG00000012954
bos_mutus ENSBMUG00000005191
bison_bison_bison ENSBBBG00000021838
ovis_aries ENSOARG00000005739
sus_scrofa ENSSSCG00000028452
tursiops_truncatus ENSTTRG00000004724
equus_caballus ENSECAG00000003691
loxodonta_africana ENSLAFG00000003828
procavia_capensis ENSPCAG00000006544
dasypus_novemcinctus ENSDNOG00000014657
