mustela_putorius_furo ENSMPUG00000019199
lepidothrix_coronata ENSLCOG00000013244
xiphophorus_maculatus ENSXMAG00000028312
xiphophorus_maculatus ENSXMAG00000026580
xiphophorus_maculatus ENSXMAG00000023763
xiphophorus_maculatus ENSXMAG00000029513
xiphophorus_maculatus ENSXMAG00000025772
xiphophorus_maculatus ENSXMAG00000028228
xiphophorus_maculatus ENSXMAG00000027277
xiphophorus_maculatus ENSXMAG00000025158
xiphophorus_maculatus ENSXMAG00000027864
xiphophorus_maculatus ENSXMAG00000022726
xiphophorus_maculatus ENSXMAG00000022534
xiphophorus_maculatus ENSXMAG00000028569
poecilia_formosa ENSPFOG00000023522
poecilia_latipinna ENSPLAG00000011671
takifugu_rubripes ENSTRUG00000021044
periophthalmus_magnuspinnatus ENSPMGG00000018575
labrus_bergylta ENSLBEG00000007439
astyanax_mexicanus ENSAMXG00000042108
paramormyrops_kingsleyae ENSPKIG00000011410
