cebus_capucinus ENSCCAG00000019815
callithrix_jacchus ENSCJAG00000043056
saimiri_boliviensis_boliviensis ENSSBOG00000014954
aotus_nancymaae ENSANAG00000014076
gorilla_gorilla ENSGGOG00000042986
pan_troglodytes ENSPTRG00000042911
nomascus_leucogenys ENSNLEG00000032766
macaca_nemestrina ENSMNEG00000027359
macaca_fascicularis ENSMFAG00000040248
papio_anubis ENSPANG00000035279
cercocebus_atys ENSCATG00000022274
mandrillus_leucophaeus ENSMLEG00000027479
rhinopithecus_roxellana ENSRROG00000012963
rhinopithecus_bieti ENSRBIG00000022153
colobus_angolensis_palliatus ENSCANG00000037805
carlito_syrichta ENSTSYG00000035295
microcebus_murinus ENSMICG00000044429
propithecus_coquereli ENSPCOG00000012262
felis_catus ENSFCAG00000043508
panthera_pardus ENSPPRG00000007289
