hippocampus_comes ENSHCOG00000018386
labrus_bergylta ENSLBEG00000021852
seriola_lalandi_dorsalis ENSSLDG00000005049
seriola_dumerili ENSSDUG00000002096
anabas_testudineus ENSATEG00000017215
mastacembelus_armatus ENSMAMG00000018255
pundamilia_nyererei ENSPNYG00000007815
haplochromis_burtoni ENSHBUG00000020957
neolamprologus_brichardi ENSNBRG00000014038
maylandia_zebra ENSMZEG00005022612
amphilophus_citrinellus ENSACIG00000002217
cyprinodon_variegatus ENSCVAG00000011809
fundulus_heteroclitus ENSFHEG00000021368
poecilia_latipinna ENSPLAG00000013093
poecilia_mexicana ENSPMEG00000019469
gambusia_affinis ENSGAFG00000005164
oryzias_melastigma ENSOMEG00000007706
stegastes_partitus ENSSPAG00000020534
