rhinopithecus_roxellana ENSRROG00000040882
colobus_angolensis_palliatus ENSCANG00000006139
mandrillus_leucophaeus ENSMLEG00000039763
macaca_nemestrina ENSMNEG00000029783
pan_troglodytes ENSPTRG00000051331
pan_paniscus ENSPPAG00000035826
cercocebus_atys ENSCATG00000045182
cercocebus_atys ENSCATG00000025998
chlorocebus_sabaeus ENSCSAG00000005895
jaculus_jaculus ENSJJAG00000021830
cavia_aperea ENSCAPG00000013900
ursus_americanus ENSUAMG00000015718
myotis_lucifugus ENSMLUG00000028015
sorex_araneus ENSSARG00000006381
