canis_lupus_dingo ENSCAFG00020015133
canis_lupus_familiaris ENSCAFG00000030761
vulpes_vulpes ENSVVUG00000006535
mustela_putorius_furo ENSMPUG00000020189
felis_catus ENSFCAG00000044391
sus_scrofa ENSSSCG00000026045
bos_taurus ENSBTAG00000050395
ovis_aries ENSOARG00000000221
capra_hircus ENSCHIG00000011363
sus_scrofa ENSSSCG00000027741
pan_paniscus ENSPPAG00000011355
pan_troglodytes ENSPTRG00000024363
homo_sapiens ENSG00000127903
pongo_abelii ENSPPYG00000010454
nomascus_leucogenys ENSNLEG00000019189
macaca_mulatta ENSMMUG00000017851
piliocolobus_tephrosceles ENSPTEG00000001221
saimiri_boliviensis_boliviensis ENSSBOG00000021377
prolemur_simus ENSPSMG00000017315
