papio_anubis ENSPANG00000034501
mandrillus_leucophaeus ENSMLEG00000035211
cercocebus_atys ENSCATG00000023789
macaca_nemestrina ENSMNEG00000044598
macaca_mulatta ENSMMUG00000044718
macaca_fascicularis ENSMFAG00000003276
rhinopithecus_roxellana ENSRROG00000039733
rhinopithecus_bieti ENSRBIG00000035364
colobus_angolensis_palliatus ENSCANG00000043158
pan_paniscus ENSPPAG00000039655
pan_troglodytes ENSPTRG00000045393
gorilla_gorilla ENSGGOG00000042212
aotus_nancymaae ENSANAG00000027818
microcebus_murinus ENSMICG00000036096
urocitellus_parryii ENSUPAG00010001317
spermophilus_dauricus ENSSDAG00000015213
phascolarctos_cinereus ENSPCIG00000015110
chelonoidis_abingdonii ENSCABG00000005268
gopherus_agassizii ENSGAGG00000015921
chrysemys_picta_bellii ENSCPBG00000008845
