caenorhabditis_elegans WBGene00009783
drosophila_melanogaster FBgn0039303
latimeria_chalumnae ENSLACG00000009839
erpetoichthys_calabaricus ENSECRG00000019581
scleropages_formosus ENSSFOG00015008467
paramormyrops_kingsleyae ENSPKIG00000012231
scleropages_formosus ENSSFOG00015010714
paramormyrops_kingsleyae ENSPKIG00000013532
denticeps_clupeoides ENSDCDG00000021860
clupea_harengus ENSCHAG00000022408
pygocentrus_nattereri ENSPNAG00000026747
astyanax_mexicanus ENSAMXG00000040315
ictalurus_punctatus ENSIPUG00000020737
electrophorus_electricus ENSEEEG00000001229
danio_rerio ENSDARG00000012747
oryzias_latipes ENSORLG00015007134
oryzias_latipes ENSORLG00000029746
oryzias_latipes ENSORLG00020015382
oryzias_melastigma ENSOMEG00000004462
hippocampus_comes ENSHCOG00000000621
cynoglossus_semilaevis ENSCSEG00000019161
tetraodon_nigroviridis ENSTNIG00000001745
tetraodon_nigroviridis ENSTNIG00000011980
takifugu_rubripes ENSTRUG00000015012
mola_mola ENSMMOG00000014162
mastacembelus_armatus ENSMAMG00000018498
larimichthys_crocea ENSLCRG00005019104
fundulus_heteroclitus ENSFHEG00000002333
cyprinodon_variegatus ENSCVAG00000002505
xiphophorus_maculatus ENSXMAG00000017376
gambusia_affinis ENSGAFG00000019177
poecilia_mexicana ENSPMEG00000007326
poecilia_latipinna ENSPLAG00000017051
poecilia_reticulata ENSPREG00000023002
kryptolebias_marmoratus ENSKMAG00000013585
parambassis_ranga ENSPRNG00000010034
betta_splendens ENSBSLG00000003021
gasterosteus_aculeatus ENSGACG00000006541
maylandia_zebra ENSMZEG00005020344
astatotilapia_calliptera ENSACLG00000023248
pundamilia_nyererei ENSPNYG00000009414
pundamilia_nyererei ENSPNYG00000009289
haplochromis_burtoni ENSHBUG00000010150
neolamprologus_brichardi ENSNBRG00000003625
oreochromis_niloticus ENSONIG00000002100
amphilophus_citrinellus ENSACIG00000022115
cottoperca_gobio ENSCGOG00000000876
gouania_willdenowi ENSGWIG00000019337
anabas_testudineus ENSATEG00000013178
monopterus_albus ENSMALG00000000715
seriola_dumerili ENSSDUG00000001522
seriola_lalandi ENSSLDG00000024832
scophthalmus_maximus ENSSMAG00000015845
lates_calcarifer ENSLCAG00010027508
amphiprion_ocellaris ENSAOCG00000008610
amphiprion_percula ENSAPEG00000015269
acanthochromis_polyacanthus ENSAPOG00000017244
stegastes_partitus ENSSPAG00000019788
labrus_bergylta ENSLBEG00000019828
periophthalmus_magnuspinnatus ENSPMGG00000010013
gadus_morhua ENSGMOG00000015529
hucho_hucho ENSHHUG00000027702
hucho_hucho ENSHHUG00000036131
esox_lucius ENSELUG00000005707
erpetoichthys_calabaricus ENSECRG00000006055
callorhinchus_milii ENSCMIG00000004721
latimeria_chalumnae ENSLACG00000011768
notamacropus_eugenii ENSMEUG00000006273
phascolarctos_cinereus ENSPCIG00000028952
vombatus_ursinus ENSVURG00010023677
monodelphis_domestica ENSMODG00000008117
vombatus_ursinus ENSVURG00010011998
sarcophilus_harrisii ENSSHAG00000012541
ornithorhynchus_anatinus ENSOANG00000007034
salvator_merianae ENSSMRG00000009022
pogona_vitticeps ENSPVIG00000020800
sphenodon_punctatus ENSSPUG00000016213
chelonoidis_abingdonii ENSCABG00000006590
gopherus_agassizii ENSGAGG00000003995
chrysemys_picta ENSCPBG00000021418
pelodiscus_sinensis ENSPSIG00000003973
crocodylus_porosus ENSCPRG00005012853
anas_platyrhynchos ENSAPLG00000025171
anser_brachyrhynchus ENSABRG00000006714
coturnix_japonica ENSCJPG00005009506
gallus_gallus ENSGALG00000021683
meleagris_gallopavo ENSMGAG00000002196
numida_meleagris ENSNMEG00000006212
calidris_pygmaea ENSCPGG00000012625
calidris_pugnax ENSCPUG00000005901
lonchura_striata ENSLSDG00000005848
taeniopygia_guttata ENSTGUG00000002941
serinus_canaria ENSSCAG00000000125
zonotrichia_albicollis ENSZALG00000003168
junco_hyemalis ENSJHYG00000011338
lepidothrix_coronata ENSLCOG00000002465
manacus_vitellinus ENSMVIG00005002317
ficedula_albicollis ENSFALG00000009494
cyanistes_caeruleus ENSCCEG00000017892
parus_major ENSPMJG00000013345
melopsittacus_undulatus ENSMUNG00000015827
apteryx_rowi ENSARWG00000007021
apteryx_owenii ENSAOWG00000008246
apteryx_haastii ENSAHAG00000015157
nothoprocta_perdicaria ENSNPEG00000006306
dromaius_novaehollandiae ENSDNVG00000017776
notechis_scutatus ENSNSUG00000000780
canis_lupus ENSCAFG00000019395
gorilla_gorilla ENSGGOG00000043764
xenopus_tropicalis ENSXETG00000013983
loxodonta_africana ENSLAFG00000006713
procavia_capensis ENSPCAG00000011050
echinops_telfairi ENSETEG00000009569
dasypus_novemcinctus ENSDNOG00000047666
choloepus_hoffmanni ENSCHOG00000008666
ochotona_princeps ENSOPRG00000008439
oryctolagus_cuniculus ENSOCUG00000025867
carlito_syrichta ENSTSYG00000013331
ursus_americanus ENSUAMG00000022071
ursus_maritimus ENSUMAG00000010417
ailuropoda_melanoleuca ENSAMEG00000013416
canis_lupus ENSCAFG00020025406
canis_lupus ENSCAFG00000032664
canis_lupus ENSCAFG00020011288
vulpes_vulpes ENSVVUG00000027185
neovison_vison ENSNVIG00000004055
mustela_putorius ENSMPUG00000007701
panthera_tigris ENSPTIG00000005335
panthera_pardus ENSPPRG00000001314
panthera_pardus ENSPPRG00000010909
felis_catus ENSFCAG00000033807
equus_asinus ENSEASG00005014395
equus_caballus ENSECAG00000010508
erinaceus_europaeus ENSEEUG00000009389
sorex_araneus ENSSARG00000008490
ovis_aries ENSOARG00000018630
capra_hircus ENSCHIG00000008023
bos_indicus ENSBIXG00000018916
bos_indicus ENSBIXG00005015032
bos_taurus ENSBTAG00000009307
bos_mutus ENSBMUG00000023435
bison_bison ENSBBBG00000017719
tursiops_truncatus ENSTTRG00000003753
pteropus_vampyrus ENSPVAG00000014141
myotis_lucifugus ENSMLUG00000017649
sus_scrofa ENSSSCG00000026626
microcebus_murinus ENSMICG00000016433
propithecus_coquereli ENSPCOG00000018731
prolemur_simus ENSPSMG00000014987
otolemur_garnettii ENSOGAG00000001472
macaca_nemestrina ENSMNEG00000020875
macaca_fascicularis ENSMFAG00000032298
chlorocebus_sabaeus ENSCSAG00000000711
theropithecus_gelada ENSTGEG00000012489
colobus_angolensis ENSCANG00000031264
piliocolobus_tephrosceles ENSPTEG00000019091
rhinopithecus_bieti ENSRBIG00000044216
pan_troglodytes ENSPTRG00000000049
homo_sapiens ENSG00000157916
pongo_abelii ENSPPYG00000001980
mandrillus_leucophaeus ENSMLEG00000036454
cercocebus_atys ENSCATG00000031846
papio_anubis ENSPANG00000021945
macaca_mulatta ENSMMUG00000012346
pan_paniscus ENSPPAG00000031180
nomascus_leucogenys ENSNLEG00000030586
rhinopithecus_roxellana ENSRROG00000045400
cebus_capucinus ENSCCAG00000023091
saimiri_boliviensis ENSSBOG00000027418
aotus_nancymaae ENSANAG00000030574
callithrix_jacchus ENSCJAG00000002471
dipodomys_ordii ENSDORG00000010196
castor_canadensis ENSCCNG00000003455
peromyscus_maniculatus ENSPEMG00000003886
peromyscus_maniculatus ENSPEMG00000005508
cricetulus_griseus ENSCGRG00000014418
cricetulus_griseus ENSCGRG00001007835
cricetulus_griseus ENSCGRG00015014099
mesocricetus_auratus ENSMAUG00000014876
microtus_ochrogaster ENSMOCG00000019879
