macaca_fascicularis ENSMFAG00000001290
macaca_mulatta ENSMMUG00000049022
papio_anubis ENSPANG00000029675
rhinopithecus_bieti ENSRBIG00000034203
rhinopithecus_roxellana ENSRROG00000033991
colobus_angolensis_palliatus ENSCANG00000034364
pan_troglodytes ENSPTRG00000046187
microcebus_murinus ENSMICG00000044974
serinus_canaria ENSSCAG00000008366
lonchura_striata_domestica ENSLSDG00000001920
parus_major ENSPMJG00000007566
junco_hyemalis ENSJHYG00000004018
anas_platyrhynchos_platyrhynchos ENSAPLG00000028380
anser_brachyrhynchus ENSABRG00000017832
calidris_pugnax ENSCPUG00000000525
calidris_pygmaea ENSCPGG00000007309
numida_meleagris ENSNMEG00000006670
gallus_gallus ENSGALG00000049105
melopsittacus_undulatus ENSMUNG00000014900
lepidothrix_coronata ENSLCOG00000010972
apteryx_rowi ENSARWG00000006538
apteryx_haastii ENSAHAG00000004145
apteryx_owenii ENSAOWG00000000488
