theropithecus_gelada ENSTGEG00000005440
macaca_mulatta ENSMMUG00000017517
macaca_nemestrina ENSMNEG00000019834
macaca_fascicularis ENSMFAG00000031294
papio_anubis ENSPANG00000017786
chlorocebus_sabaeus ENSCSAG00000007320
homo_sapiens ENSG00000165509
pongo_abelii ENSPPYG00000020788
gorilla_gorilla ENSGGOG00000024624
nomascus_leucogenys ENSNLEG00000001381
colobus_angolensis_palliatus ENSCANG00000014833
mandrillus_leucophaeus ENSMLEG00000032275
chlorocebus_sabaeus ENSCSAG00000007328
pan_troglodytes ENSPTRG00000022341
pan_paniscus ENSPPAG00000030721
macaca_mulatta ENSMMUG00000037947
cebus_capucinus ENSCCAG00000019898
saimiri_boliviensis_boliviensis ENSSBOG00000034528
