takifugu_rubripes ENSTRUG00000010953
tetraodon_nigroviridis ENSTNIG00000010354
cynoglossus_semilaevis ENSCSEG00000014020
labrus_bergylta ENSLBEG00000004012
seriola_lalandi_dorsalis ENSSLDG00000004860
maylandia_zebra ENSMZEG00005006168
haplochromis_burtoni ENSHBUG00000016078
astatotilapia_calliptera ENSACLG00000027159
pundamilia_nyererei ENSPNYG00000009290
neolamprologus_brichardi ENSNBRG00000014200
oreochromis_niloticus ENSONIG00000011998
amphilophus_citrinellus ENSACIG00000018017
amphiprion_percula ENSAPEG00000017941
amphiprion_ocellaris ENSAOCG00000011948
acanthochromis_polyacanthus ENSAPOG00000006193
stegastes_partitus ENSSPAG00000001743
mola_mola ENSMMOG00000004363
fundulus_heteroclitus ENSFHEG00000007135
cyprinodon_variegatus ENSCVAG00000007795
poecilia_formosa ENSPFOG00000001632
poecilia_mexicana ENSPMEG00000008464
poecilia_latipinna ENSPLAG00000013028
poecilia_reticulata ENSPREG00000007513
xiphophorus_maculatus ENSXMAG00000007992
xiphophorus_couchianus ENSXCOG00000017427
gambusia_affinis ENSGAFG00000019633
kryptolebias_marmoratus ENSKMAG00000007207
oryzias_latipes_asm223469v1 ENSORLG00015017625
oryzias_latipes ENSORLG00000004118
oryzias_latipes ENSORLG00020000582
oryzias_melastigma ENSOMEG00000003680
gasterosteus_aculeatus ENSGACG00000014167
mastacembelus_armatus ENSMAMG00000009649
monopterus_albus ENSMALG00000008738
anabas_testudineus ENSATEG00000005263
seriola_dumerili ENSSDUG00000010463
seriola_lalandi_dorsalis ENSSLDG00000003945
scophthalmus_maximus ENSSMAG00000001807
periophthalmus_magnuspinnatus ENSPMGG00000015178
hippocampus_comes ENSHCOG00000012658
gadus_morhua ENSGMOG00000010833
esox_lucius ENSELUG00000002181
pygocentrus_nattereri ENSPNAG00000002928
astyanax_mexicanus ENSAMXG00000031841
ictalurus_punctatus ENSIPUG00000004451
danio_rerio ENSDARG00000088225
scleropages_formosus ENSSFOG00015012425
paramormyrops_kingsleyae ENSPKIG00000009985
lepisosteus_oculatus ENSLOCG00000010719
pogona_vitticeps ENSPVIG00000021954
anolis_carolinensis ENSACAG00000001347
notechis_scutatus ENSNSUG00000009604
salvator_merianae ENSSMRG00000020800
sphenodon_punctatus ENSSPUG00000003477
anas_platyrhynchos_platyrhynchos ENSAPLG00000014653
anser_brachyrhynchus ENSABRG00000013445
coturnix_japonica ENSCJPG00005015293
meleagris_gallopavo ENSMGAG00000007934
gallus_gallus ENSGALG00000008373
numida_meleagris ENSNMEG00000021363
calidris_pygmaea ENSCPGG00000001293
calidris_pugnax ENSCPUG00000008186
melopsittacus_undulatus ENSMUNG00000011109
lepidothrix_coronata ENSLCOG00000016043
manacus_vitellinus ENSMVIG00005018304
taeniopygia_guttata ENSTGUG00000015383
taeniopygia_guttata ENSTGUG00000010255
lonchura_striata_domestica ENSLSDG00000000160
serinus_canaria ENSSCAG00000002649
junco_hyemalis ENSJHYG00000008795
zonotrichia_albicollis ENSZALG00000017929
ficedula_albicollis ENSFALG00000004116
cyanistes_caeruleus ENSCCEG00000023253
parus_major ENSPMJG00000018187
apteryx_haastii ENSAHAG00000016497
apteryx_owenii ENSAOWG00000000192
apteryx_rowi ENSARWG00000004598
dromaius_novaehollandiae ENSDNVG00000015526
nothoprocta_perdicaria ENSNPEG00000008327
crocodylus_porosus ENSCPRG00005008312
chelonoidis_abingdonii ENSCABG00000012127
gopherus_agassizii ENSGAGG00000004112
chrysemys_picta_bellii ENSCPBG00000011698
pelodiscus_sinensis ENSPSIG00000008383
phascolarctos_cinereus ENSPCIG00000019067
notamacropus_eugenii ENSMEUG00000013977
monodelphis_domestica ENSMODG00000015216
pan_paniscus ENSPPAG00000030005
pan_troglodytes ENSPTRG00000050289
gorilla_gorilla ENSGGOG00000012183
homo_sapiens ENSG00000082146
pongo_abelii ENSPPYG00000013074
nomascus_leucogenys ENSNLEG00000006967
rhinopithecus_bieti ENSRBIG00000039112
rhinopithecus_roxellana ENSRROG00000034956
piliocolobus_tephrosceles ENSPTEG00000029052
theropithecus_gelada ENSTGEG00000029133
papio_anubis ENSPANG00000009089
macaca_fascicularis ENSMFAG00000040280
macaca_nemestrina ENSMNEG00000030956
macaca_mulatta ENSMMUG00000018141
cercocebus_atys ENSCATG00000031887
chlorocebus_sabaeus ENSCSAG00000010744
mandrillus_leucophaeus ENSMLEG00000034988
colobus_angolensis_palliatus ENSCANG00000040727
pan_troglodytes ENSPTRG00000048524
pan_troglodytes ENSPTRG00000051649
pan_paniscus ENSPPAG00000041448
gorilla_gorilla ENSGGOG00000037430
nomascus_leucogenys ENSNLEG00000031046
rhinopithecus_bieti ENSRBIG00000043323
colobus_angolensis_palliatus ENSCANG00000014736
piliocolobus_tephrosceles ENSPTEG00000022390
piliocolobus_tephrosceles ENSPTEG00000022418
piliocolobus_tephrosceles ENSPTEG00000022330
macaca_mulatta ENSMMUG00000043512
macaca_nemestrina ENSMNEG00000040317
theropithecus_gelada ENSTGEG00000003689
cercocebus_atys ENSCATG00000036445
papio_anubis ENSPANG00000032828
saimiri_boliviensis_boliviensis ENSSBOG00000028914
cebus_capucinus ENSCCAG00000020333
callithrix_jacchus ENSCJAG00000004661
aotus_nancymaae ENSANAG00000027419
carlito_syrichta ENSTSYG00000014648
propithecus_coquereli ENSPCOG00000017505
microcebus_murinus ENSMICG00000013292
prolemur_simus ENSPSMG00000018902
otolemur_garnettii ENSOGAG00000010744
tupaia_belangeri ENSTBEG00000017709
mus_musculus ENSMUSG00000026027
mus_spicilegus ENSMSIG00000008262
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0014979
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014172
mus_pahari MGP_PahariEiJ_G0027410
rattus_norvegicus ENSRNOG00000010728
meriones_unguiculatus ENSMUGG00000015727
cricetulus_griseus_chok1gshd ENSCGRG00001016031
cricetulus_griseus_crigri ENSCGRG00000003108
cricetulus_griseus_crigri-picr ENSCGRG00015028820
mesocricetus_auratus ENSMAUG00000003249
mesocricetus_auratus ENSMAUG00000012754
peromyscus_maniculatus_bairdii ENSPEMG00000023067
microtus_ochrogaster ENSMOCG00000018130
nannospalax_galili ENSNGAG00000016359
jaculus_jaculus ENSJJAG00000021748
dipodomys_ordii ENSDORG00000001838
octodon_degus ENSODEG00000010540
chinchilla_lanigera ENSCLAG00000012985
cavia_porcellus ENSCPOG00000013028
cavia_aperea ENSCAPG00000014998
heterocephalus_glaber_female ENSHGLG00000004703
heterocephalus_glaber_male ENSHGLG00100009150
heterocephalus_glaber_male ENSHGLG00100002281
heterocephalus_glaber_female ENSHGLG00000008990
fukomys_damarensis ENSFDAG00000018965
ictidomys_tridecemlineatus ENSSTOG00000021132
spermophilus_dauricus ENSSDAG00000023393
urocitellus_parryii ENSUPAG00010014591
marmota_marmota_marmota ENSMMMG00000012410
ochotona_princeps ENSOPRG00000015422
oryctolagus_cuniculus ENSOCUG00000022279
tursiops_truncatus ENSTTRG00000009309
sus_scrofa ENSSSCG00000031271
bos_taurus ENSBTAG00000019298
bos_mutus ENSBMUG00000017010
bison_bison_bison ENSBBBG00000001783
ovis_aries ENSOARG00000017141
capra_hircus ENSCHIG00000015673
vicugna_pacos ENSVPAG00000006693
vicugna_pacos ENSVPAG00000005285
ursus_americanus ENSUAMG00000010329
ursus_maritimus ENSUMAG00000021585
ailuropoda_melanoleuca ENSAMEG00000006175
mustela_putorius_furo ENSMPUG00000000249
neovison_vison ENSNVIG00000008385
canis_lupus_familiaris ENSCAFG00000012286
canis_lupus_dingo ENSCAFG00020003358
vulpes_vulpes ENSVVUG00000018875
panthera_pardus ENSPPRG00000015910
panthera_tigris_altaica ENSPTIG00000013805
felis_catus ENSFCAG00000029023
erinaceus_europaeus ENSEEUG00000000752
sorex_araneus ENSSARG00000003089
equus_caballus ENSECAG00000018298
equus_asinus_asinus ENSEASG00005002039
pteropus_vampyrus ENSPVAG00000003277
myotis_lucifugus ENSMLUG00000017558
choloepus_hoffmanni ENSCHOG00000000496
dasypus_novemcinctus ENSDNOG00000003778
loxodonta_africana ENSLAFG00000014838
procavia_capensis ENSPCAG00000013623
echinops_telfairi ENSETEG00000003047
ornithorhynchus_anatinus ENSOANG00000009606
xenopus_tropicalis ENSXETG00000004143
latimeria_chalumnae ENSLACG00000007552
