stegastes_partitus ENSSPAG00000002073
acanthochromis_polyacanthus ENSAPOG00000023907
pundamilia_nyererei ENSPNYG00000001018
haplochromis_burtoni ENSHBUG00000004216
astatotilapia_calliptera ENSACLG00000006023
maylandia_zebra ENSMZEG00005012871
neolamprologus_brichardi ENSNBRG00000009061
amphilophus_citrinellus ENSACIG00000014855
oryzias_melastigma ENSOMEG00000022985
oryzias_latipes_asm223469v1 ENSORLG00015009714
mola_mola ENSMMOG00000015874
scophthalmus_maximus ENSSMAG00000007225
mastacembelus_armatus ENSMAMG00000002739
poecilia_reticulata ENSPREG00000014025
poecilia_mexicana ENSPMEG00000001578
poecilia_formosa ENSPFOG00000017107
poecilia_latipinna ENSPLAG00000000460
gambusia_affinis ENSGAFG00000013777
xiphophorus_couchianus ENSXCOG00000000399
xiphophorus_maculatus ENSXMAG00000029183
periophthalmus_magnuspinnatus ENSPMGG00000007834
esox_lucius ENSELUG00000023644
pygocentrus_nattereri ENSPNAG00000028589
astyanax_mexicanus ENSAMXG00000041692
ictalurus_punctatus ENSIPUG00000004463
danio_rerio ENSDARG00000042577
scleropages_formosus ENSSFOG00015014379
lepisosteus_oculatus ENSLOCG00000000836
phascolarctos_cinereus ENSPCIG00000030036
notamacropus_eugenii ENSMEUG00000008010
monodelphis_domestica ENSMODG00000003055
sarcophilus_harrisii ENSSHAG00000011300
tursiops_truncatus ENSTTRG00000016583
sus_scrofa ENSSSCG00000026587
capra_hircus ENSCHIG00000019379
ovis_aries ENSOARG00000010458
bos_mutus ENSBMUG00000005942
bos_taurus ENSBTAG00000011982
bison_bison_bison ENSBBBG00000008830
myotis_lucifugus ENSMLUG00000025827
mustela_putorius_furo ENSMPUG00000013390
neovison_vison ENSNVIG00000004806
ursus_americanus ENSUAMG00000003121
ursus_maritimus ENSUMAG00000018055
ailuropoda_melanoleuca ENSAMEG00000001350
canis_lupus_familiaris ENSCAFG00000032161
canis_lupus_dingo ENSCAFG00020013939
vulpes_vulpes ENSVVUG00000007918
panthera_tigris_altaica ENSPTIG00000005700
panthera_pardus ENSPPRG00000002718
felis_catus ENSFCAG00000040785
equus_caballus ENSECAG00000011042
equus_asinus_asinus ENSEASG00005002814
pteropus_vampyrus ENSPVAG00000011828
pan_troglodytes ENSPTRG00000001965
pan_paniscus ENSPPAG00000028294
homo_sapiens ENSG00000123685
pongo_abelii ENSPPYG00000000234
piliocolobus_tephrosceles ENSPTEG00000037925
colobus_angolensis_palliatus ENSCANG00000041249
rhinopithecus_roxellana ENSRROG00000029174
rhinopithecus_bieti ENSRBIG00000044277
macaca_nemestrina ENSMNEG00000012965
macaca_mulatta ENSMMUG00000015056
macaca_fascicularis ENSMFAG00000031859
cercocebus_atys ENSCATG00000037195
papio_anubis ENSPANG00000033023
theropithecus_gelada ENSTGEG00000008100
chlorocebus_sabaeus ENSCSAG00000015412
cebus_capucinus ENSCCAG00000014441
saimiri_boliviensis_boliviensis ENSSBOG00000028690
aotus_nancymaae ENSANAG00000036250
nomascus_leucogenys ENSNLEG00000035858
gorilla_gorilla ENSGGOG00000042619
mandrillus_leucophaeus ENSMLEG00000012036
callithrix_jacchus ENSCJAG00000015732
carlito_syrichta ENSTSYG00000034285
otolemur_garnettii ENSOGAG00000008684
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015846
mus_musculus ENSMUSG00000026630
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015046
mus_pahari MGP_PahariEiJ_G0028278
rattus_norvegicus ENSRNOG00000003716
meriones_unguiculatus ENSMUGG00000005329
cricetulus_griseus_crigri-picr ENSCGRG00015005376
cricetulus_griseus_chok1gshd ENSCGRG00001017448
cricetulus_griseus_crigri ENSCGRG00000015732
mesocricetus_auratus ENSMAUG00000014205
peromyscus_maniculatus_bairdii ENSPEMG00000007835
microtus_ochrogaster ENSMOCG00000020540
nannospalax_galili ENSNGAG00000012341
jaculus_jaculus ENSJJAG00000018647
heterocephalus_glaber_female ENSHGLG00000007461
heterocephalus_glaber_male ENSHGLG00100013956
fukomys_damarensis ENSFDAG00000013637
chinchilla_lanigera ENSCLAG00000000562
cavia_porcellus ENSCPOG00000032323
cavia_aperea ENSCAPG00000011494
octodon_degus ENSODEG00000013720
octodon_degus ENSODEG00000018996
urocitellus_parryii ENSUPAG00010017257
spermophilus_dauricus ENSSDAG00000000987
ictidomys_tridecemlineatus ENSSTOG00000007136
marmota_marmota_marmota ENSMMMG00000000419
castor_canadensis ENSCCNG00000020483
ochotona_princeps ENSOPRG00000013285
microcebus_murinus ENSMICG00000027907
prolemur_simus ENSPSMG00000024644
propithecus_coquereli ENSPCOG00000020309
tupaia_belangeri ENSTBEG00000012725
loxodonta_africana ENSLAFG00000027351
echinops_telfairi ENSETEG00000010953
choloepus_hoffmanni ENSCHOG00000008458
dipodomys_ordii ENSDORG00000025907
ornithorhynchus_anatinus ENSOANG00000008505
anolis_carolinensis ENSACAG00000006345
pogona_vitticeps ENSPVIG00000002529
notechis_scutatus ENSNSUG00000012826
salvator_merianae ENSSMRG00000018602
sphenodon_punctatus ENSSPUG00000003485
chelonoidis_abingdonii ENSCABG00000015057
gopherus_agassizii ENSGAGG00000017144
chrysemys_picta_bellii ENSCPBG00000010172
pelodiscus_sinensis ENSPSIG00000017969
anser_brachyrhynchus ENSABRG00000016001
anas_platyrhynchos_platyrhynchos ENSAPLG00000025402
nothoprocta_perdicaria ENSNPEG00000012987
apteryx_owenii ENSAOWG00000002417
apteryx_rowi ENSARWG00000003448
apteryx_haastii ENSAHAG00000000837
dromaius_novaehollandiae ENSDNVG00000002554
lonchura_striata_domestica ENSLSDG00000016851
taeniopygia_guttata ENSTGUG00000003049
ficedula_albicollis ENSFALG00000012404
serinus_canaria ENSSCAG00000005934
parus_major ENSPMJG00000013565
cyanistes_caeruleus ENSCCEG00000015423
lepidothrix_coronata ENSLCOG00000009561
manacus_vitellinus ENSMVIG00005003191
zonotrichia_albicollis ENSZALG00000002414
junco_hyemalis ENSJHYG00000009356
coturnix_japonica ENSCJPG00005007466
gallus_gallus ENSGALG00000052425
numida_meleagris ENSNMEG00000014829
calidris_pygmaea ENSCPGG00000019017
calidris_pugnax ENSCPUG00000000231
melopsittacus_undulatus ENSMUNG00000000372
crocodylus_porosus ENSCPRG00005000509
latimeria_chalumnae ENSLACG00000002955
