urocitellus_parryii ENSUPAG00010018021
ictidomys_tridecemlineatus ENSSTOG00000022083
spermophilus_dauricus ENSSDAG00000014727
marmota_marmota_marmota ENSMMMG00000021622
chinchilla_lanigera ENSCLAG00000004938
octodon_degus ENSODEG00000016231
cavia_porcellus ENSCPOG00000010602
cavia_aperea ENSCAPG00000012572
heterocephalus_glaber_male ENSHGLG00100009985
heterocephalus_glaber_female ENSHGLG00000012896
castor_canadensis ENSCCNG00000009230
castor_canadensis ENSCCNG00000028688
castor_canadensis ENSCCNG00000028681
dipodomys_ordii ENSDORG00000023186
dipodomys_ordii ENSDORG00000029189
cricetulus_griseus_crigri-picr ENSCGRG00015001301
cricetulus_griseus_chok1gshd ENSCGRG00001017765
cricetulus_griseus_crigri ENSCGRG00000010576
mesocricetus_auratus ENSMAUG00000000874
microtus_ochrogaster ENSMOCG00000016948
peromyscus_maniculatus_bairdii ENSPEMG00000014383
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027721
mus_spicilegus ENSMSIG00000014099
mus_musculus ENSMUSG00000006216
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026741
mus_pahari MGP_PahariEiJ_G0029072
rattus_norvegicus ENSRNOG00000009897
meriones_unguiculatus ENSMUGG00000014952
nannospalax_galili ENSNGAG00000006923
jaculus_jaculus ENSJJAG00000011382
cricetulus_griseus_crigri-picr ENSCGRG00015001179
cricetulus_griseus_chok1gshd ENSCGRG00001008237
cricetulus_griseus_crigri ENSCGRG00000013458
mesocricetus_auratus ENSMAUG00000017605
microtus_ochrogaster ENSMOCG00000012067
peromyscus_maniculatus_bairdii ENSPEMG00000000336
mus_musculus ENSMUSG00000033770
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027720
mus_spicilegus ENSMSIG00000014055
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026740
mus_pahari MGP_PahariEiJ_G0029071
rattus_norvegicus ENSRNOG00000052368
meriones_unguiculatus ENSMUGG00000014917
nannospalax_galili ENSNGAG00000015479
jaculus_jaculus ENSJJAG00000022871
ochotona_princeps ENSOPRG00000015898
ochotona_princeps ENSOPRG00000015868
oryctolagus_cuniculus ENSOCUG00000004245
tupaia_belangeri ENSTBEG00000016949
rhinopithecus_roxellana ENSRROG00000041368
rhinopithecus_bieti ENSRBIG00000032787
colobus_angolensis_palliatus ENSCANG00000037261
theropithecus_gelada ENSTGEG00000005694
theropithecus_gelada ENSTGEG00000018936
papio_anubis ENSPANG00000014644
macaca_fascicularis ENSMFAG00000044767
macaca_mulatta ENSMMUG00000018235
macaca_nemestrina ENSMNEG00000030531
chlorocebus_sabaeus ENSCSAG00000000845
mandrillus_leucophaeus ENSMLEG00000040447
pan_troglodytes ENSPTRG00000034081
pan_paniscus ENSPPAG00000043677
homo_sapiens ENSG00000186510
gorilla_gorilla ENSGGOG00000007939
pongo_abelii ENSPPYG00000001830
nomascus_leucogenys ENSNLEG00000007673
callithrix_jacchus ENSCJAG00000008426
saimiri_boliviensis_boliviensis ENSSBOG00000034174
aotus_nancymaae ENSANAG00000023434
pan_troglodytes ENSPTRG00000000217
pan_paniscus ENSPPAG00000031706
homo_sapiens ENSG00000184908
pongo_abelii ENSPPYG00000001829
nomascus_leucogenys ENSNLEG00000029026
cercocebus_atys ENSCATG00000015545
mandrillus_leucophaeus ENSMLEG00000001661
chlorocebus_sabaeus ENSCSAG00000000846
macaca_fascicularis ENSMFAG00000033135
macaca_nemestrina ENSMNEG00000030409
rhinopithecus_roxellana ENSRROG00000035194
rhinopithecus_bieti ENSRBIG00000036735
colobus_angolensis_palliatus ENSCANG00000017064
callithrix_jacchus ENSCJAG00000004034
carlito_syrichta ENSTSYG00000029788
prolemur_simus ENSPSMG00000006934
propithecus_coquereli ENSPCOG00000024386
microcebus_murinus ENSMICG00000017850
otolemur_garnettii ENSOGAG00000007158
pteropus_vampyrus ENSPVAG00000013810
myotis_lucifugus ENSMLUG00000008328
equus_asinus_asinus ENSEASG00005015892
equus_caballus ENSECAG00000023589
capra_hircus ENSCHIG00000025898
ovis_aries ENSOARG00000012478
bos_taurus ENSBTAG00000034674
bos_mutus ENSBMUG00000004229
bison_bison_bison ENSBBBG00000019509
sus_scrofa ENSSSCG00000026345
tursiops_truncatus ENSTTRG00000015710
ursus_maritimus ENSUMAG00000021538
ursus_americanus ENSUAMG00000014748
ailuropoda_melanoleuca ENSAMEG00000011731
neovison_vison ENSNVIG00000012038
mustela_putorius_furo ENSMPUG00000016310
canis_lupus_familiaris ENSCAFG00000016098
canis_lupus_dingo ENSCAFG00020004915
vulpes_vulpes ENSVVUG00000028957
panthera_tigris_altaica ENSPTIG00000004645
panthera_pardus ENSPPRG00000000408
felis_catus ENSFCAG00000010168
fukomys_damarensis ENSFDAG00000016924
cebus_capucinus ENSCCAG00000022627
erinaceus_europaeus ENSEEUG00000008567
bos_mutus ENSBMUG00000004243
loxodonta_africana ENSLAFG00000013087
procavia_capensis ENSPCAG00000012112
echinops_telfairi ENSETEG00000004408
phascolarctos_cinereus ENSPCIG00000003755
