pelodiscus_sinensis ENSPSIG00000012234
chelonoidis_abingdonii ENSCABG00000003598
meleagris_gallopavo ENSMGAG00000008915
marmota_marmota_marmota ENSMMMG00000000711
rattus_norvegicus ENSRNOG00000047137
tupaia_belangeri ENSTBEG00000008450
pteropus_vampyrus ENSPVAG00000009762
erinaceus_europaeus ENSEEUG00000013827
notamacropus_eugenii ENSMEUG00000004019
poecilia_latipinna ENSPLAG00000008791
poecilia_mexicana ENSPMEG00000006789
poecilia_formosa ENSPFOG00000002040
meriones_unguiculatus ENSMUGG00000016171
meriones_unguiculatus ENSMUGG00000016153
mesocricetus_auratus ENSMAUG00000007836
panthera_pardus ENSPPRG00000022341
panthera_tigris_altaica ENSPTIG00000011749
felis_catus ENSFCAG00000023714
ursus_americanus ENSUAMG00000008332
equus_asinus_asinus ENSEASG00005007851
petromyzon_marinus ENSPMAG00000009799
ciona_intestinalis ENSCING00000018544
