neovison_vison ENSNVIG00000017044
canis_lupus ENSCAFG00000045785
panthera_tigris ENSPTIG00000003564
panthera_pardus ENSPPRG00000018784
bison_bison ENSBBBG00000017054
bos_taurus ENSBTAG00000050436
capra_hircus ENSCHIG00000023998
equus_asinus ENSEASG00005000146
equus_caballus ENSECAG00000032005
rhinopithecus_bieti ENSRBIG00000009618
rhinopithecus_roxellana ENSRROG00000024127
colobus_angolensis ENSCANG00000007977
piliocolobus_tephrosceles ENSPTEG00000021327
theropithecus_gelada ENSTGEG00000016726
theropithecus_gelada ENSTGEG00000016883
mandrillus_leucophaeus ENSMLEG00000022341
cercocebus_atys ENSCATG00000024206
macaca_mulatta ENSMMUG00000051938
macaca_nemestrina ENSMNEG00000028379
macaca_fascicularis ENSMFAG00000033752
papio_anubis ENSPANG00000031004
pan_paniscus ENSPPAG00000023559
pan_troglodytes ENSPTRG00000043422
homo_sapiens ENSG00000235387
gorilla_gorilla ENSGGOG00000039944
callithrix_jacchus ENSCJAG00000045403
prolemur_simus ENSPSMG00000003901
urocitellus_parryii ENSUPAG00010017615
spermophilus_dauricus ENSSDAG00000021647
castor_canadensis ENSCCNG00000028414
cricetulus_griseus ENSCGRG00000019398
cricetulus_griseus ENSCGRG00001003061
cricetulus_griseus ENSCGRG00015000340
peromyscus_maniculatus ENSPEMG00000030980
mus_spicilegus ENSMSIG00000019477
mus_musculus ENSMUSG00000028475
meriones_unguiculatus ENSMUGG00000006585
dasypus_novemcinctus ENSDNOG00000044089
