rhinopithecus_bieti ENSRBIG00000028148
macaca_mulatta ENSMMUG00000005019
otolemur_garnettii ENSOGAG00000034934
cricetulus_griseus_crigri-picr ENSCGRG00015022021
cricetulus_griseus_crigri ENSCGRG00000000475
cricetulus_griseus_chok1gshd ENSCGRG00001020527
mesocricetus_auratus ENSMAUG00000018219
peromyscus_maniculatus_bairdii ENSPEMG00000011345
microtus_ochrogaster ENSMOCG00000001514
mus_musculus ENSMUSG00000031085
mus_spicilegus ENSMSIG00000029184
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031859
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030751
mus_pahari MGP_PahariEiJ_G0013946
rattus_norvegicus ENSRNOG00000059303
meriones_unguiculatus ENSMUGG00000020638
jaculus_jaculus ENSJJAG00000000416
castor_canadensis ENSCCNG00000030638
octodon_degus ENSODEG00000017405
chinchilla_lanigera ENSCLAG00000016369
cavia_porcellus ENSCPOG00000022995
heterocephalus_glaber_male ENSHGLG00100012113
heterocephalus_glaber_female ENSHGLG00000013700
fukomys_damarensis ENSFDAG00000018348
ovis_aries ENSOARG00000001324
capra_hircus ENSCHIG00000020525
bos_taurus ENSBTAG00000004212
equus_caballus ENSECAG00000023320
mustela_putorius_furo ENSMPUG00000004796
ailuropoda_melanoleuca ENSAMEG00000007478
vulpes_vulpes ENSVVUG00000003507
canis_lupus_familiaris ENSCAFG00000010442
felis_catus ENSFCAG00000031056
loxodonta_africana ENSLAFG00000031144
