lates_calcarifer ENSLCAG00010020179
seriola_lalandi ENSSLDG00000010068
amphiprion_percula ENSAPEG00000008952
amphiprion_ocellaris ENSAOCG00000001062
acanthochromis_polyacanthus ENSAPOG00000021908
stegastes_partitus ENSSPAG00000011717
neolamprologus_brichardi ENSNBRG00000018921
gambusia_affinis ENSGAFG00000000235
poecilia_latipinna ENSPLAG00000005418
poecilia_reticulata ENSPREG00000012065
xiphophorus_maculatus ENSXMAG00000027655
xiphophorus_couchianus ENSXCOG00000018181
oryzias_melastigma ENSOMEG00000004392
oryzias_latipes ENSORLG00015012508
labrus_bergylta ENSLBEG00000026382
hippocampus_comes ENSHCOG00000002502
