ciona_intestinalis ENSCING00000001641
ciona_savignyi ENSCSAVG00000011160
anolis_carolinensis ENSACAG00000007662
anolis_carolinensis ENSACAG00000000254
pogona_vitticeps ENSPVIG00000008154
notechis_scutatus ENSNSUG00000009222
anolis_carolinensis ENSACAG00000010875
salvator_merianae ENSSMRG00000004403
sphenodon_punctatus ENSSPUG00000018966
calidris_pugnax ENSCPUG00000019331
calidris_pygmaea ENSCPGG00000006814
melopsittacus_undulatus ENSMUNG00000004687
zonotrichia_albicollis ENSZALG00000013607
junco_hyemalis ENSJHYG00000011476
serinus_canaria ENSSCAG00000003711
taeniopygia_guttata ENSTGUG00000010068
lonchura_striata_domestica ENSLSDG00000015699
ficedula_albicollis ENSFALG00000012525
parus_major ENSPMJG00000009950
cyanistes_caeruleus ENSCCEG00000019622
lepidothrix_coronata ENSLCOG00000013064
manacus_vitellinus ENSMVIG00005007648
anas_platyrhynchos_platyrhynchos ENSAPLG00000011686
anser_brachyrhynchus ENSABRG00000017796
gallus_gallus ENSGALG00000033753
coturnix_japonica ENSCJPG00005015416
meleagris_gallopavo ENSMGAG00000010298
numida_meleagris ENSNMEG00000009250
apteryx_haastii ENSAHAG00000018290
apteryx_owenii ENSAOWG00000007912
apteryx_rowi ENSARWG00000005799
dromaius_novaehollandiae ENSDNVG00000008493
nothoprocta_perdicaria ENSNPEG00000011570
crocodylus_porosus ENSCPRG00005010991
gopherus_agassizii ENSGAGG00000010945
chelonoidis_abingdonii ENSCABG00000021834
chrysemys_picta_bellii ENSCPBG00000012531
pelodiscus_sinensis ENSPSIG00000009051
phascolarctos_cinereus ENSPCIG00000001071
notamacropus_eugenii ENSMEUG00000006666
sarcophilus_harrisii ENSSHAG00000000151
monodelphis_domestica ENSMODG00000010015
castor_canadensis ENSCCNG00000019785
dipodomys_ordii ENSDORG00000006342
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024922
mus_musculus ENSMUSG00000010914
mus_spicilegus ENSMSIG00000006094
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024012
mus_pahari MGP_PahariEiJ_G0025448
rattus_norvegicus ENSRNOG00000006947
meriones_unguiculatus ENSMUGG00000018498
cricetulus_griseus_crigri ENSCGRG00000004098
cricetulus_griseus_chok1gshd ENSCGRG00001020048
cricetulus_griseus_crigri-picr ENSCGRG00015010885
mesocricetus_auratus ENSMAUG00000002883
microtus_ochrogaster ENSMOCG00000021084
peromyscus_maniculatus_bairdii ENSPEMG00000015465
nannospalax_galili ENSNGAG00000023421
jaculus_jaculus ENSJJAG00000007859
heterocephalus_glaber_male ENSHGLG00100016294
heterocephalus_glaber_female ENSHGLG00000010978
heterocephalus_glaber_female ENSHGLG00000008051
heterocephalus_glaber_male ENSHGLG00100002973
fukomys_damarensis ENSFDAG00000014448
chinchilla_lanigera ENSCLAG00000014466
octodon_degus ENSODEG00000016591
cavia_porcellus ENSCPOG00000003099
cavia_aperea ENSCAPG00000000039
spermophilus_dauricus ENSSDAG00000022552
ictidomys_tridecemlineatus ENSSTOG00000004403
urocitellus_parryii ENSUPAG00010000084
marmota_marmota_marmota ENSMMMG00000010279
ochotona_princeps ENSOPRG00000003112
oryctolagus_cuniculus ENSOCUG00000008004
carlito_syrichta ENSTSYG00000002558
tupaia_belangeri ENSTBEG00000013871
microcebus_murinus ENSMICG00000003700
prolemur_simus ENSPSMG00000025782
propithecus_coquereli ENSPCOG00000018230
otolemur_garnettii ENSOGAG00000015641
pan_paniscus ENSPPAG00000030642
pan_troglodytes ENSPTRG00000003500
homo_sapiens ENSG00000110435
gorilla_gorilla ENSGGOG00000001206
pongo_abelii ENSPPYG00000003360
nomascus_leucogenys ENSNLEG00000017930
theropithecus_gelada ENSTGEG00000003566
papio_anubis ENSPANG00000008468
cercocebus_atys ENSCATG00000031099
mandrillus_leucophaeus ENSMLEG00000032133
macaca_nemestrina ENSMNEG00000041540
macaca_mulatta ENSMMUG00000006448
macaca_fascicularis ENSMFAG00000042807
chlorocebus_sabaeus ENSCSAG00000005431
rhinopithecus_bieti ENSRBIG00000040537
rhinopithecus_roxellana ENSRROG00000045075
piliocolobus_tephrosceles ENSPTEG00000026848
colobus_angolensis_palliatus ENSCANG00000036936
saimiri_boliviensis_boliviensis ENSSBOG00000007623
saimiri_boliviensis_boliviensis ENSSBOG00000019846
cebus_capucinus ENSCCAG00000026050
callithrix_jacchus ENSCJAG00000010888
aotus_nancymaae ENSANAG00000015605
aotus_nancymaae ENSANAG00000019724
cebus_capucinus ENSCCAG00000024775
capra_hircus ENSCHIG00000013247
ovis_aries ENSOARG00000018745
bos_taurus ENSBTAG00000018261
bos_mutus ENSBMUG00000008856
bison_bison_bison ENSBBBG00000008496
tursiops_truncatus ENSTTRG00000001075
sus_scrofa ENSSSCG00000013298
vicugna_pacos ENSVPAG00000003554
ursus_americanus ENSUAMG00000020943
ursus_maritimus ENSUMAG00000018023
ailuropoda_melanoleuca ENSAMEG00000007973
neovison_vison ENSNVIG00000011353
mustela_putorius_furo ENSMPUG00000011686
canis_lupus_dingo ENSCAFG00020005609
canis_lupus_familiaris ENSCAFG00000006898
vulpes_vulpes ENSVVUG00000007134
panthera_pardus ENSPPRG00000001608
panthera_tigris_altaica ENSPTIG00000012744
felis_catus ENSFCAG00000023884
equus_asinus_asinus ENSEASG00005020238
equus_caballus ENSECAG00000008611
pteropus_vampyrus ENSPVAG00000001611
myotis_lucifugus ENSMLUG00000011702
erinaceus_europaeus ENSEEUG00000008363
sorex_araneus ENSSARG00000007621
choloepus_hoffmanni ENSCHOG00000003998
dasypus_novemcinctus ENSDNOG00000008267
loxodonta_africana ENSLAFG00000013165
procavia_capensis ENSPCAG00000007991
echinops_telfairi ENSETEG00000016760
ornithorhynchus_anatinus ENSOANG00000007393
xenopus_tropicalis ENSXETG00000007557
latimeria_chalumnae ENSLACG00000010390
pygocentrus_nattereri ENSPNAG00000029803
astyanax_mexicanus ENSAMXG00000017601
ictalurus_punctatus ENSIPUG00000024098
danio_rerio ENSDARG00000051756
fundulus_heteroclitus ENSFHEG00000009802
cyprinodon_variegatus ENSCVAG00000008521
xiphophorus_maculatus ENSXMAG00000000802
xiphophorus_couchianus ENSXCOG00000020585
gambusia_affinis ENSGAFG00000021802
poecilia_mexicana ENSPMEG00000019248
poecilia_formosa ENSPFOG00000013974
poecilia_latipinna ENSPLAG00000013470
poecilia_reticulata ENSPREG00000019081
oryzias_latipes ENSORLG00000012036
oryzias_latipes ENSORLG00020019627
oryzias_melastigma ENSOMEG00000012101
hippocampus_comes ENSHCOG00000009799
takifugu_rubripes ENSTRUG00000002330
tetraodon_nigroviridis ENSTNIG00000011374
mola_mola ENSMMOG00000017779
anabas_testudineus ENSATEG00000020262
cynoglossus_semilaevis ENSCSEG00000013712
amphiprion_percula ENSAPEG00000009229
amphiprion_ocellaris ENSAOCG00000021723
acanthochromis_polyacanthus ENSAPOG00000023280
stegastes_partitus ENSSPAG00000014621
kryptolebias_marmoratus ENSKMAG00000002229
monopterus_albus ENSMALG00000021502
mastacembelus_armatus ENSMAMG00000004692
seriola_dumerili ENSSDUG00000017124
seriola_lalandi_dorsalis ENSSLDG00000025160
scophthalmus_maximus ENSSMAG00000008380
maylandia_zebra ENSMZEG00005017679
astatotilapia_calliptera ENSACLG00000000724
haplochromis_burtoni ENSHBUG00000017589
pundamilia_nyererei ENSPNYG00000014936
neolamprologus_brichardi ENSNBRG00000005863
oreochromis_niloticus ENSONIG00000014588
amphilophus_citrinellus ENSACIG00000001382
seriola_lalandi_dorsalis ENSSLDG00000002767
