anabas_testudineus ENSATEG00000005077
mastacembelus_armatus ENSMAMG00000002016
seriola_dumerili ENSSDUG00000011589
seriola_lalandi_dorsalis ENSSLDG00000001718
scophthalmus_maximus ENSSMAG00000003659
acanthochromis_polyacanthus ENSAPOG00000013335
oryzias_latipes ENSORLG00000027915
oryzias_latipes ENSORLG00020010312
oryzias_melastigma ENSOMEG00000016615
poecilia_reticulata ENSPREG00000018835
poecilia_latipinna ENSPLAG00000016874
gambusia_affinis ENSGAFG00000000705
xiphophorus_couchianus ENSXCOG00000002715
pundamilia_nyererei ENSPNYG00000007212
haplochromis_burtoni ENSHBUG00000005877
maylandia_zebra ENSMZEG00005005440
astatotilapia_calliptera ENSACLG00000023008
cynoglossus_semilaevis ENSCSEG00000020100
hippocampus_comes ENSHCOG00000001835
periophthalmus_magnuspinnatus ENSPMGG00000021537
mola_mola ENSMMOG00000004921
esox_lucius ENSELUG00000017259
danio_rerio ENSDARG00000089338
