hippocampus_comes ENSHCOG00000000973
periophthalmus_magnuspinnatus ENSPMGG00000017761
tetraodon_nigroviridis ENSTNIG00000007035
takifugu_rubripes ENSTRUG00000012568
gasterosteus_aculeatus ENSGACG00000006111
scophthalmus_maximus ENSSMAG00000011544
seriola_dumerili ENSSDUG00000023624
seriola_lalandi_dorsalis ENSSLDG00000008539
cynoglossus_semilaevis ENSCSEG00000018855
monopterus_albus ENSMALG00000010923
mastacembelus_armatus ENSMAMG00000008666
anabas_testudineus ENSATEG00000025047
mola_mola ENSMMOG00000006151
amphiprion_percula ENSAPEG00000009963
amphiprion_ocellaris ENSAOCG00000002724
acanthochromis_polyacanthus ENSAPOG00000021199
stegastes_partitus ENSSPAG00000015019
pundamilia_nyererei ENSPNYG00000012903
haplochromis_burtoni ENSHBUG00000008538
maylandia_zebra ENSMZEG00005005533
astatotilapia_calliptera ENSACLG00000020056
neolamprologus_brichardi ENSNBRG00000005873
oreochromis_niloticus ENSONIG00000011514
amphilophus_citrinellus ENSACIG00000015642
xiphophorus_maculatus ENSXMAG00000005971
xiphophorus_couchianus ENSXCOG00000010096
gambusia_affinis ENSGAFG00000014155
poecilia_formosa ENSPFOG00000003624
poecilia_mexicana ENSPMEG00000004334
poecilia_latipinna ENSPLAG00000012448
poecilia_reticulata ENSPREG00000009263
cyprinodon_variegatus ENSCVAG00000008580
fundulus_heteroclitus ENSFHEG00000016647
kryptolebias_marmoratus ENSKMAG00000013565
oryzias_latipes_asm223469v1 ENSORLG00015011992
oryzias_latipes ENSORLG00000005880
oryzias_latipes ENSORLG00020016263
oryzias_melastigma ENSOMEG00000017272
labrus_bergylta ENSLBEG00000023633
gadus_morhua ENSGMOG00000007840
esox_lucius ENSELUG00000021955
pygocentrus_nattereri ENSPNAG00000009924
astyanax_mexicanus ENSAMXG00000016537
ictalurus_punctatus ENSIPUG00000023596
danio_rerio ENSDARG00000005050
paramormyrops_kingsleyae ENSPKIG00000017012
labrus_bergylta ENSLBEG00000009500
neolamprologus_brichardi ENSNBRG00000018732
periophthalmus_magnuspinnatus ENSPMGG00000005995
paramormyrops_kingsleyae ENSPKIG00000020061
scleropages_formosus ENSSFOG00015008443
lepisosteus_oculatus ENSLOCG00000010337
