apteryx_owenii ENSAOWG00000013300
apteryx_haastii ENSAHAG00000003186
apteryx_rowi ENSARWG00000002791
dromaius_novaehollandiae ENSDNVG00000000704
nothoprocta_perdicaria ENSNPEG00000003864
gallus_gallus ENSGALG00000011664
coturnix_japonica ENSCJPG00005001709
meleagris_gallopavo ENSMGAG00000010205
numida_meleagris ENSNMEG00000019022
anser_brachyrhynchus ENSABRG00000007244
anas_platyrhynchos ENSAPLG00000012335
serinus_canaria ENSSCAG00000004840
zonotrichia_albicollis ENSZALG00000003955
cyanistes_caeruleus ENSCCEG00000021524
parus_major ENSPMJG00000000450
taeniopygia_guttata ENSTGUG00000011147
lonchura_striata ENSLSDG00000018032
ficedula_albicollis ENSFALG00000008108
lepidothrix_coronata ENSLCOG00000013102
manacus_vitellinus ENSMVIG00005019136
melopsittacus_undulatus ENSMUNG00000009201
calidris_pugnax ENSCPUG00000003323
calidris_pygmaea ENSCPGG00000002252
crocodylus_porosus ENSCPRG00005007267
gopherus_agassizii ENSGAGG00000017515
chrysemys_picta ENSCPBG00000019627
pelodiscus_sinensis ENSPSIG00000009126
sphenodon_punctatus ENSSPUG00000008520
phascolarctos_cinereus ENSPCIG00000007058
vombatus_ursinus ENSVURG00010009622
notamacropus_eugenii ENSMEUG00000001598
monodelphis_domestica ENSMODG00000019181
sarcophilus_harrisii ENSSHAG00000015429
chinchilla_lanigera ENSCLAG00000000047
octodon_degus ENSODEG00000000901
cavia_porcellus ENSCPOG00000008834
cavia_aperea ENSCAPG00000009275
fukomys_damarensis ENSFDAG00000001224
heterocephalus_glaber ENSHGLG00000014878
dipodomys_ordii ENSDORG00000014674
mus_caroli MGP_CAROLIEiJ_G0027391
mus_spretus MGP_SPRETEiJ_G0028388
mus_spicilegus ENSMSIG00000018101
mus_musculus ENSMUSG00000029370
rattus_norvegicus ENSRNOG00000002866
meriones_unguiculatus ENSMUGG00000017903
cricetulus_griseus ENSCGRG00001008520
cricetulus_griseus ENSCGRG00000012078
cricetulus_griseus ENSCGRG00015010421
mesocricetus_auratus ENSMAUG00000019397
microtus_ochrogaster ENSMOCG00000014864
peromyscus_maniculatus ENSPEMG00000015534
nannospalax_galili ENSNGAG00000019907
jaculus_jaculus ENSJJAG00000024318
urocitellus_parryii ENSUPAG00010004844
ictidomys_tridecemlineatus ENSSTOG00000000133
spermophilus_dauricus ENSSDAG00000007122
marmota_marmota ENSMMMG00000024697
oryctolagus_cuniculus ENSOCUG00000011827
ochotona_princeps ENSOPRG00000002222
cercocebus_atys ENSCATG00000042058
mandrillus_leucophaeus ENSMLEG00000035594
papio_anubis ENSPANG00000013796
theropithecus_gelada ENSTGEG00000014799
macaca_fascicularis ENSMFAG00000036430
macaca_nemestrina ENSMNEG00000033823
macaca_mulatta ENSMMUG00000003833
chlorocebus_sabaeus ENSCSAG00000004786
rhinopithecus_bieti ENSRBIG00000035781
rhinopithecus_roxellana ENSRROG00000028301
colobus_angolensis ENSCANG00000031006
piliocolobus_tephrosceles ENSPTEG00000013262
pan_troglodytes ENSPTRG00000016153
pan_paniscus ENSPPAG00000027211
homo_sapiens ENSG00000169435
gorilla_gorilla ENSGGOG00000003160
pongo_abelii ENSPPYG00000014825
nomascus_leucogenys ENSNLEG00000007915
cebus_capucinus ENSCCAG00000033423
saimiri_boliviensis ENSSBOG00000033185
callithrix_jacchus ENSCJAG00000013949
aotus_nancymaae ENSANAG00000031646
carlito_syrichta ENSTSYG00000010678
prolemur_simus ENSPSMG00000013161
microcebus_murinus ENSMICG00000005083
propithecus_coquereli ENSPCOG00000024275
otolemur_garnettii ENSOGAG00000010686
tupaia_belangeri ENSTBEG00000015341
bos_indicus ENSBIXG00000025237
bos_indicus ENSBIXG00005026005
bos_taurus ENSBTAG00000011935
bison_bison ENSBBBG00000004254
bos_mutus ENSBMUG00000001797
capra_hircus ENSCHIG00000020445
ovis_aries ENSOARG00000014363
sus_scrofa ENSSSCG00000008952
tursiops_truncatus ENSTTRG00000006588
vicugna_pacos ENSVPAG00000001335
ursus_maritimus ENSUMAG00000006666
ursus_americanus ENSUAMG00000016108
ailuropoda_melanoleuca ENSAMEG00000004832
mustela_putorius ENSMPUG00000009247
neovison_vison ENSNVIG00000015053
canis_lupus ENSCAFG00000003025
canis_lupus ENSCAFG00020026911
vulpes_vulpes ENSVVUG00000014759
panthera_tigris ENSPTIG00000016517
panthera_pardus ENSPPRG00000023924
felis_catus ENSFCAG00000013297
equus_caballus ENSECAG00000019471
equus_asinus ENSEASG00005016571
sorex_araneus ENSSARG00000001564
erinaceus_europaeus ENSEEUG00000007113
pteropus_vampyrus ENSPVAG00000016340
myotis_lucifugus ENSMLUG00000004718
choloepus_hoffmanni ENSCHOG00000002717
dasypus_novemcinctus ENSDNOG00000008619
procavia_capensis ENSPCAG00000012265
loxodonta_africana ENSLAFG00000002583
echinops_telfairi ENSETEG00000012130
ornithorhynchus_anatinus ENSOANG00000006909
xenopus_tropicalis ENSXETG00000011541
latimeria_chalumnae ENSLACG00000002916
astyanax_mexicanus ENSAMXG00000041828
astyanax_mexicanus ENSAMXG00005019804
pygocentrus_nattereri ENSPNAG00000027662
electrophorus_electricus ENSEEEG00000002570
ictalurus_punctatus ENSIPUG00000024892
danio_rerio ENSDARG00000000804
clupea_harengus ENSCHAG00000006925
denticeps_clupeoides ENSDCDG00000016858
hucho_hucho ENSHHUG00000004710
hucho_hucho ENSHHUG00000004809
esox_lucius ENSELUG00000013400
fundulus_heteroclitus ENSFHEG00000005305
cyprinodon_variegatus ENSCVAG00000005257
poecilia_formosa ENSPFOG00000012523
poecilia_latipinna ENSPLAG00000015740
poecilia_mexicana ENSPMEG00000009772
poecilia_reticulata ENSPREG00000001087
xiphophorus_maculatus ENSXMAG00000004159
xiphophorus_couchianus ENSXCOG00000005103
gambusia_affinis ENSGAFG00000003939
kryptolebias_marmoratus ENSKMAG00000015365
oryzias_latipes ENSORLG00020008906
oryzias_latipes ENSORLG00000012038
oryzias_latipes ENSORLG00015022692
oryzias_melastigma ENSOMEG00000020192
gouania_willdenowi ENSGWIG00000002307
pundamilia_nyererei ENSPNYG00000009623
haplochromis_burtoni ENSHBUG00000000368
astatotilapia_calliptera ENSACLG00000025728
maylandia_zebra ENSMZEG00005016261
neolamprologus_brichardi ENSNBRG00000010943
oreochromis_niloticus ENSONIG00000013115
amphilophus_citrinellus ENSACIG00000000433
parambassis_ranga ENSPRNG00000008679
anabas_testudineus ENSATEG00000000772
betta_splendens ENSBSLG00000011862
monopterus_albus ENSMALG00000006339
tetraodon_nigroviridis ENSTNIG00000000060
takifugu_rubripes ENSTRUG00000003254
mola_mola ENSMMOG00000021120
cynoglossus_semilaevis ENSCSEG00000020010
larimichthys_crocea ENSLCRG00005002296
gasterosteus_aculeatus ENSGACG00000018236
labrus_bergylta ENSLBEG00000021247
seriola_lalandi ENSSLDG00000013990
