parus_major ENSPMJG00000003290
cyanistes_caeruleus ENSCCEG00000017054
ficedula_albicollis ENSFALG00000002751
lonchura_striata_domestica ENSLSDG00000013679
taeniopygia_guttata ENSTGUG00000012515
serinus_canaria ENSSCAG00000003554
zonotrichia_albicollis ENSZALG00000016978
junco_hyemalis ENSJHYG00000015507
lepidothrix_coronata ENSLCOG00000016010
manacus_vitellinus ENSMVIG00005004019
melopsittacus_undulatus ENSMUNG00000008213
calidris_pugnax ENSCPUG00000009934
calidris_pygmaea ENSCPGG00000016574
anser_brachyrhynchus ENSABRG00000007921
anas_platyrhynchos_platyrhynchos ENSAPLG00000011840
coturnix_japonica ENSCJPG00005004299
meleagris_gallopavo ENSMGAG00000013724
gallus_gallus ENSGALG00000052460
numida_meleagris ENSNMEG00000011541
apteryx_haastii ENSAHAG00000007692
apteryx_owenii ENSAOWG00000018834
apteryx_rowi ENSARWG00000005203
dromaius_novaehollandiae ENSDNVG00000017743
crocodylus_porosus ENSCPRG00005016608
gopherus_agassizii ENSGAGG00000005604
pelodiscus_sinensis ENSPSIG00000013755
pogona_vitticeps ENSPVIG00000006301
anolis_carolinensis ENSACAG00000003963
salvator_merianae ENSSMRG00000017470
sphenodon_punctatus ENSSPUG00000005422
chrysemys_picta_bellii ENSCPBG00000007363
notechis_scutatus ENSNSUG00000001519
oryctolagus_cuniculus ENSOCUG00000007137
ochotona_princeps ENSOPRG00000006939
urocitellus_parryii ENSUPAG00010016579
ictidomys_tridecemlineatus ENSSTOG00000009367
spermophilus_dauricus ENSSDAG00000011727
marmota_marmota_marmota ENSMMMG00000008655
pan_paniscus ENSPPAG00000041199
pan_troglodytes ENSPTRG00000018385
homo_sapiens ENSG00000065615
gorilla_gorilla ENSGGOG00000002913
pongo_abelii ENSPPYG00000016811
nomascus_leucogenys ENSNLEG00000012756
colobus_angolensis_palliatus ENSCANG00000036477
piliocolobus_tephrosceles ENSPTEG00000019420
rhinopithecus_roxellana ENSRROG00000038851
rhinopithecus_bieti ENSRBIG00000027662
papio_anubis ENSPANG00000023290
chlorocebus_sabaeus ENSCSAG00000017380
mandrillus_leucophaeus ENSMLEG00000034850
macaca_mulatta ENSMMUG00000009585
macaca_fascicularis ENSMFAG00000036090
macaca_nemestrina ENSMNEG00000038845
theropithecus_gelada ENSTGEG00000017788
cercocebus_atys ENSCATG00000042723
saimiri_boliviensis_boliviensis ENSSBOG00000034068
cebus_capucinus ENSCCAG00000038092
callithrix_jacchus ENSCJAG00000015140
aotus_nancymaae ENSANAG00000020813
carlito_syrichta ENSTSYG00000010340
prolemur_simus ENSPSMG00000023965
propithecus_coquereli ENSPCOG00000023580
microcebus_murinus ENSMICG00000012777
mus_spicilegus ENSMSIG00000020010
mus_spicilegus ENSMSIG00000026587
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033641
mus_musculus ENSMUSG00000032872
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032502
mus_pahari MGP_PahariEiJ_G0015369
rattus_norvegicus ENSRNOG00000010024
meriones_unguiculatus ENSMUGG00000012826
cricetulus_griseus_crigri-picr ENSCGRG00015008756
cricetulus_griseus_chok1gshd ENSCGRG00001024358
cricetulus_griseus_crigri ENSCGRG00000006739
mesocricetus_auratus ENSMAUG00000019154
microtus_ochrogaster ENSMOCG00000014145
peromyscus_maniculatus_bairdii ENSPEMG00000021926
jaculus_jaculus ENSJJAG00000010025
dipodomys_ordii ENSDORG00000010582
chinchilla_lanigera ENSCLAG00000012246
octodon_degus ENSODEG00000008222
cavia_porcellus ENSCPOG00000000052
heterocephalus_glaber_male ENSHGLG00100017061
heterocephalus_glaber_female ENSHGLG00000018293
heterocephalus_glaber_female ENSHGLG00000010377
fukomys_damarensis ENSFDAG00000006980
aotus_nancymaae ENSANAG00000035247
tupaia_belangeri ENSTBEG00000010284
pteropus_vampyrus ENSPVAG00000003346
myotis_lucifugus ENSMLUG00000010379
ovis_aries ENSOARG00000009692
ovis_aries ENSOARG00000013436
capra_hircus ENSCHIG00000025247
bos_taurus ENSBTAG00000013591
bos_mutus ENSBMUG00000011063
bison_bison_bison ENSBBBG00000021936
tursiops_truncatus ENSTTRG00000010538
sus_scrofa ENSSSCG00000022994
vicugna_pacos ENSVPAG00000006216
