homo_sapiens ENSG00000240021
pan_paniscus ENSPPAG00000033252
pongo_abelii ENSPPYG00000000472
nomascus_leucogenys ENSNLEG00000015529
rhinopithecus_roxellana ENSRROG00000037745
rhinopithecus_bieti ENSRBIG00000030489
piliocolobus_tephrosceles ENSPTEG00000008850
theropithecus_gelada ENSTGEG00000001904
pan_troglodytes ENSPTRG00000001720
gorilla_gorilla ENSGGOG00000005423
macaca_fascicularis ENSMFAG00000046254
macaca_mulatta ENSMMUG00000021077
macaca_nemestrina ENSMNEG00000027948
chlorocebus_sabaeus ENSCSAG00000012053
papio_anubis ENSPANG00000005098
cercocebus_atys ENSCATG00000036588
mandrillus_leucophaeus ENSMLEG00000031023
colobus_angolensis_palliatus ENSCANG00000004209
cebus_capucinus ENSCCAG00000024467
saimiri_boliviensis_boliviensis ENSSBOG00000028682
callithrix_jacchus ENSCJAG00000008446
aotus_nancymaae ENSANAG00000019449
otolemur_garnettii ENSOGAG00000001062
propithecus_coquereli ENSPCOG00000023391
microcebus_murinus ENSMICG00000031350
carlito_syrichta ENSTSYG00000012917
tupaia_belangeri ENSTBEG00000012732
urocitellus_parryii ENSUPAG00010002849
marmota_marmota_marmota ENSMMMG00000017108
ictidomys_tridecemlineatus ENSSTOG00000034454
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015549
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014742
mus_spicilegus ENSMSIG00000015333
mus_pahari MGP_PahariEiJ_G0027978
mus_musculus ENSMUSG00000026592
rattus_norvegicus ENSRNOG00000038921
heterocephalus_glaber_female ENSHGLG00000013167
heterocephalus_glaber_male ENSHGLG00100008837
castor_canadensis ENSCCNG00000001190
dipodomys_ordii ENSDORG00000027618
cricetulus_griseus_crigri ENSCGRG00000005909
cricetulus_griseus_crigri-picr ENSCGRG00015013788
cricetulus_griseus_chok1gshd ENSCGRG00001021516
mesocricetus_auratus ENSMAUG00000018275
microtus_ochrogaster ENSMOCG00000004939
peromyscus_maniculatus_bairdii ENSPEMG00000019597
meriones_unguiculatus ENSMUGG00000013652
nannospalax_galili ENSNGAG00000008698
jaculus_jaculus ENSJJAG00000014267
chinchilla_lanigera ENSCLAG00000010004
octodon_degus ENSODEG00000001833
cavia_aperea ENSCAPG00000016361
cavia_porcellus ENSCPOG00000005385
fukomys_damarensis ENSFDAG00000006864
oryctolagus_cuniculus ENSOCUG00000007863
ochotona_princeps ENSOPRG00000004202
neovison_vison ENSNVIG00000007495
mustela_putorius_furo ENSMPUG00000005135
ailuropoda_melanoleuca ENSAMEG00000014530
canis_lupus_familiaris ENSCAFG00000014010
vulpes_vulpes ENSVVUG00000012721
canis_lupus_dingo ENSCAFG00020015675
vulpes_vulpes ENSVVUG00000010161
panthera_pardus ENSPPRG00000011118
panthera_tigris_altaica ENSPTIG00000010845
felis_catus ENSFCAG00000040386
equus_caballus ENSECAG00000024386
equus_asinus_asinus ENSEASG00005016790
bos_mutus ENSBMUG00000026615
bos_taurus ENSBTAG00000004941
bison_bison_bison ENSBBBG00000003185
ovis_aries ENSOARG00000016100
capra_hircus ENSCHIG00000019821
tursiops_truncatus ENSTTRG00000014934
sus_scrofa ENSSSCG00000031220
pteropus_vampyrus ENSPVAG00000009391
myotis_lucifugus ENSMLUG00000007125
choloepus_hoffmanni ENSCHOG00000003265
dasypus_novemcinctus ENSDNOG00000018108
loxodonta_africana ENSLAFG00000017454
procavia_capensis ENSPCAG00000010155
monodelphis_domestica ENSMODG00000029027
