caenorhabditis_elegans WBGene00016258
drosophila_melanogaster FBgn0039058
drosophila_melanogaster FBgn0285910
petromyzon_marinus ENSPMAG00000004955
eptatretus_burgeri ENSEBUG00000000429
fundulus_heteroclitus ENSFHEG00000022363
cyprinodon_variegatus ENSCVAG00000006618
poecilia_formosa ENSPFOG00000010180
poecilia_mexicana ENSPMEG00000004992
poecilia_latipinna ENSPLAG00000003178
poecilia_reticulata ENSPREG00000018365
xiphophorus_couchianus ENSXCOG00000000917
xiphophorus_couchianus ENSXCOG00000000910
xiphophorus_maculatus ENSXMAG00000018770
gambusia_affinis ENSGAFG00000014596
kryptolebias_marmoratus ENSKMAG00000000274
maylandia_zebra ENSMZEG00005015650
astatotilapia_calliptera ENSACLG00000008763
pundamilia_nyererei ENSPNYG00000004140
neolamprologus_brichardi ENSNBRG00000010437
oreochromis_niloticus ENSONIG00000006935
amphilophus_citrinellus ENSACIG00000006081
tetraodon_nigroviridis ENSTNIG00000018789
takifugu_rubripes ENSTRUG00000023401
cynoglossus_semilaevis ENSCSEG00000009188
anabas_testudineus ENSATEG00000017085
betta_splendens ENSBSLG00000014931
monopterus_albus ENSMALG00000002671
seriola_dumerili ENSSDUG00000018360
seriola_lalandi ENSSLDG00000003344
lates_calcarifer ENSLCAG00010001939
cottoperca_gobio ENSCGOG00000019523
gasterosteus_aculeatus ENSGACG00000017358
larimichthys_crocea ENSLCRG00005000233
labrus_bergylta ENSLBEG00000025653
labrus_bergylta ENSLBEG00000008828
mola_mola ENSMMOG00000001005
amphiprion_ocellaris ENSAOCG00000007398
amphiprion_percula ENSAPEG00000000164
acanthochromis_polyacanthus ENSAPOG00000016647
stegastes_partitus ENSSPAG00000000202
scophthalmus_maximus ENSSMAG00000006292
hippocampus_comes ENSHCOG00000000254
oryzias_latipes ENSORLG00000026745
oryzias_latipes ENSORLG00015009429
oryzias_latipes ENSORLG00020000163
oryzias_melastigma ENSOMEG00000019877
gadus_morhua ENSGMOG00000009493
esox_lucius ENSELUG00000017444
hucho_hucho ENSHHUG00000006051
astyanax_mexicanus ENSAMXG00000029719
astyanax_mexicanus ENSAMXG00005015469
pygocentrus_nattereri ENSPNAG00000014089
electrophorus_electricus ENSEEEG00000021465
ictalurus_punctatus ENSIPUG00000017280
danio_rerio ENSDARG00000069090
clupea_harengus ENSCHAG00000012154
denticeps_clupeoides ENSDCDG00000034130
paramormyrops_kingsleyae ENSPKIG00000021144
gouania_willdenowi ENSGWIG00000000136
lepisosteus_oculatus ENSLOCG00000008166
scleropages_formosus ENSSFOG00015010215
periophthalmus_magnuspinnatus ENSPMGG00000020497
pogona_vitticeps ENSPVIG00000018451
anolis_carolinensis ENSACAG00000009818
notechis_scutatus ENSNSUG00000004595
salvator_merianae ENSSMRG00000004396
myotis_lucifugus ENSMLUG00000005187
pteropus_vampyrus ENSPVAG00000008207
ursus_maritimus ENSUMAG00000019723
ursus_americanus ENSUAMG00000015919
ailuropoda_melanoleuca ENSAMEG00000017393
neovison_vison ENSNVIG00000010093
mustela_putorius ENSMPUG00000006345
canis_lupus ENSCAFG00000020360
canis_lupus ENSCAFG00020018180
vulpes_vulpes ENSVVUG00000012104
panthera_tigris ENSPTIG00000013473
panthera_pardus ENSPPRG00000009684
felis_catus ENSFCAG00000003433
bos_indicus ENSBIXG00005003697
bos_indicus ENSBIXG00000006271
bison_bison ENSBBBG00000015106
bos_mutus ENSBMUG00000003696
ovis_aries ENSOARG00000002996
capra_hircus ENSCHIG00000017558
sus_scrofa ENSSSCG00000002776
tursiops_truncatus ENSTTRG00000009070
equus_caballus ENSECAG00000015817
equus_asinus ENSEASG00005012742
erinaceus_europaeus ENSEEUG00000010148
oryctolagus_cuniculus ENSOCUG00000011850
ochotona_princeps ENSOPRG00000013411
heterocephalus_glaber ENSHGLG00000011430
heterocephalus_glaber ENSHGLG00100016926
heterocephalus_glaber ENSHGLG00000013737
heterocephalus_glaber ENSHGLG00100012983
fukomys_damarensis ENSFDAG00000017077
