oryzias_latipes_asm223469v1 ENSORLG00015004770
neolamprologus_brichardi ENSNBRG00000023924
astyanax_mexicanus ENSAMXG00000032774
pygocentrus_nattereri ENSPNAG00000016650
danio_rerio ENSDARG00000097952
lepisosteus_oculatus ENSLOCG00000013285
latimeria_chalumnae ENSLACG00000014923
paramormyrops_kingsleyae ENSPKIG00000004481
scleropages_formosus ENSSFOG00015022778
pygocentrus_nattereri ENSPNAG00000013658
astyanax_mexicanus ENSAMXG00000008439
ictalurus_punctatus ENSIPUG00000021813
ictalurus_punctatus ENSIPUG00000021622
danio_rerio ENSDARG00000094492
danio_rerio ENSDARG00000091997
danio_rerio ENSDARG00000093214
chrysemys_picta_bellii ENSCPBG00000008850
chrysemys_picta_bellii ENSCPBG00000026442
